MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",80.087774,104.815000,79.626008,19.801555,0.110671,0.000000,0.461766,73.672653,39.101274,-nan,0.000000,-nan,0.000000,84.086066,60.436960,-nan,0.000000,79.626008,11.419167,1.548442,6.738539,0.000000,79.626008,9.395602,6.050661,4.355293,3,11
"a_ha/Hunting_High_and_Low/01-Take_On_Me",48.907456,228.000000,44.353509,43.775877,6.060088,1.256579,4.553947,89.018457,30.202193,6.966355,6.283333,9.144701,16.307018,52.830560,15.603509,28.284786,25.793421,44.353509,32.879386,6.318421,2.402193,2.088158,44.353509,31.436842,2.271930,10.067105,13,21
"abba/Arrival/02-Dancing_Queen",78.739565,230.000000,77.076957,20.401304,0.859130,0.000000,1.662609,88.544177,71.613478,0.000000,0.873478,24.453943,10.171739,82.681455,13.328261,6.807251,2.350435,77.076957,12.664348,6.355652,1.381304,0.000000,77.076957,13.001739,5.425652,1.973913,11,16
"abba/Live/03-I_Have_A_Dream",63.511246,250.310000,61.417442,34.804842,1.337941,0.345971,2.093804,93.927224,49.438297,-nan,0.000000,31.132216,48.121929,-nan,0.000000,-nan,0.000000,61.417442,32.625544,0.596860,1.582438,0.000000,61.417442,32.625544,0.673964,1.505333,3,6
"abba/Live/06-Thank_You_for_The_Music",44.100846,203.597000,40.230946,50.393179,5.505975,0.000000,3.869900,73.209727,31.550563,-nan,0.000000,10.867006,27.118769,52.165462,24.258216,11.599702,13.202552,40.230946,32.614429,9.032058,3.961257,3.578147,40.230946,35.966149,3.283938,11.143091,15,33
"abba/Live/08-Fernando",59.717593,324.000000,52.644753,32.001852,7.556790,0.723765,7.072840,91.642356,46.974074,-nan,0.000000,7.143614,34.953086,69.088452,10.276235,-nan,0.000000,52.644753,29.642593,1.181790,1.146605,0.000000,52.644753,29.428086,0.959568,1.614198,10,12
"abba/Live/10-Super_Trouper",85.462357,263.000000,82.088973,10.040304,4.497338,0.000000,3.373384,87.242753,75.603042,-nan,0.000000,-nan,0.000000,76.727194,21.023574,-nan,0.000000,82.088973,4.350570,5.291635,0.398099,0.000000,82.088973,2.827376,4.973384,2.239544,7,17
"ac_dc/Back_In_Black/01-Hells_Bells",35.598225,56.559000,13.338284,50.202443,0.000000,14.199332,22.259941,28.555799,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.053624,45.764600,13.338284,36.079139,13.242808,0.880496,0.000000,13.338284,37.852508,11.966265,0.383670,3,8
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",45.169735,106.961000,39.466722,54.221632,0.000000,0.608633,5.703013,52.631973,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,39.466722,14.787633,35.329700,4.104300,0.000000,39.466722,14.787633,33.179383,6.254616,3,5
"aerosmith/Nine_Lives/02-Falling_In_Love",22.801249,72.075000,7.123136,34.347555,0.000000,42.851197,15.678113,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.176313,41.470690,-nan,0.000000,7.123136,21.807839,11.696150,0.843566,0.000000,7.123136,2.833160,7.145335,24.369060,2,9
"alanis_morissette/MTV_Unplugged/08-Ironic",73.868988,208.530000,60.100705,24.448281,0.138589,1.544142,13.768283,87.928132,49.003980,22.671657,13.325661,-nan,0.000000,-nan,0.000000,62.578556,22.357934,60.100705,14.364840,5.814511,4.110200,0.158730,60.100705,14.465065,5.001199,4.982017,7,14
"alanis_morissette/MTV_Unplugged/12-Uninvited",82.274193,92.103000,27.272727,6.663192,11.062615,0.000000,55.001466,49.837004,16.319772,-nan,0.000000,45.805523,8.296147,75.257018,20.382615,-nan,0.000000,27.272727,5.396133,1.158486,0.108574,0.000000,27.272727,5.581794,0.568928,0.512470,3,6
"all_saints/All_Saints/01-Never_Ever",65.909561,387.000000,64.633592,30.272351,3.814470,0.003618,1.275969,81.333650,65.217054,-nan,0.000000,43.405125,22.135659,-nan,0.000000,17.436865,11.367700,64.633592,22.274935,4.950904,2.813953,0.180879,64.633592,24.072351,2.588630,3.611370,9,19
"aqua/Aquarium/05-Doctor_Jones",76.961763,189.294000,73.427578,22.227329,0.692045,0.118863,3.534185,84.859028,83.360804,-nan,0.000000,-nan,0.000000,20.702140,12.986149,-nan,0.000000,73.427578,9.246463,8.120701,4.860165,0.000000,73.427578,7.901465,10.193667,4.132196,4,13
"backstreet_boys/Millennium/02-I_Want_It_That_Way",87.384168,208.492000,85.739501,12.508394,0.082018,0.025421,1.644667,92.590177,58.107745,-nan,0.000000,0.000000,3.321950,86.550810,36.900217,-nan,0.000000,85.739501,7.520193,2.683077,1.934846,0.370278,85.739501,4.576195,3.762255,4.169944,11,19
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",82.128195,232.864000,80.881115,17.444088,0.427717,0.000000,1.247080,88.079489,44.861808,-nan,0.000000,32.013939,16.143758,95.897611,37.747355,-nan,0.000000,80.881115,12.498712,1.316648,3.306222,0.322506,80.881115,12.442026,2.177666,2.824395,12,22
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",62.282856,218.691000,60.423611,36.350833,1.158713,0.207599,1.859244,69.243075,54.593467,57.869326,20.267867,0.000000,2.320169,41.520291,4.529679,55.553050,16.221975,60.423611,14.142329,12.087832,8.322245,0.609536,60.423611,15.102588,11.923673,9.324572,21,35
"beach_boys/Pet_Sounds/08-God_Only_Knows",61.820193,146.457000,59.157295,31.420144,1.297309,5.462354,2.662898,85.543374,64.148521,-nan,0.000000,23.877746,1.429771,90.588235,0.696450,12.930414,25.600005,59.157295,15.861311,11.594529,3.599009,0.134510,59.157295,19.867948,7.499812,4.052384,10,21
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",90.461111,126.000000,88.188095,8.161111,1.377778,0.000000,2.273016,90.239248,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.188095,2.766667,4.033333,1.361111,0.000000,88.188095,2.687302,4.907143,0.566667,4,10
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",64.134979,130.598000,60.699245,27.599198,8.265823,0.000000,3.435734,62.858910,96.564266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.699245,15.955834,2.748128,8.895236,0.000000,60.699245,15.955834,11.366177,0.277186,3,6
"beck/Mellow_Gold/01-Loser",82.670961,183.507000,77.003057,5.247756,11.075872,1.005411,5.667904,88.309075,87.197219,-nan,0.000000,0.000000,6.129466,-nan,0.000000,-nan,0.000000,77.003057,1.248454,2.898527,1.100775,0.000000,77.003057,1.397767,3.403140,0.446849,2,11
"bette_midler/The_Rose/12-The_Rose",60.901106,181.821000,58.415695,10.883231,28.215663,0.000000,2.485411,64.621353,86.192464,0.000000,1.978319,0.000000,1.302380,54.934526,3.444047,17.944730,4.597379,58.415695,6.805595,3.049703,1.027934,0.000000,58.415695,6.106555,1.992069,2.784607,7,12
