MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",78.043219,104.815000,77.581453,20.548586,1.408195,0.000000,0.461766,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.330178,39.101274,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.336780,60.436960,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.581453,10.919239,0.935935,8.693412,0.000000,77.581453,2.930878,4.654868,12.962839,3,7
"a_ha/Hunting_High_and_Low/01-Take_On_Me",36.910526,228.000000,33.603947,59.335088,1.250439,2.503947,3.306579,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.308825,30.202193,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.283333,-nan,0.000000,-nan,0.000000,0.000000,1.248684,-nan,0.000000,0.000000,15.058333,-nan,0.000000,0.000000,10.005702,-nan,0.000000,91.475358,5.597807,-nan,0.000000,-nan,0.000000,0.000000,0.614474,-nan,0.000000,0.000000,25.178947,39.270175,41.441667,5.809211,3.714474,2.703509,33.603947,42.938158,1.684211,14.712719,16,7
"abba/Arrival/02-Dancing_Queen",53.476957,230.000000,51.833478,46.486522,0.017391,0.019130,1.643478,-nan,0.000000,0.000000,28.949565,0.000000,1.575652,95.290097,41.088261,-nan,0.000000,-nan,0.000000,0.000000,0.406087,-nan,0.000000,0.000000,0.467391,-nan,0.000000,0.000000,0.254783,0.000000,3.136957,-nan,0.000000,0.000000,6.780000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.139455,13.328261,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.350435,77.768261,12.695217,6.417826,1.438696,0.000000,51.833478,38.460435,1.190435,6.835652,16,7
"abba/Live/03-I_Have_A_Dream",50.351165,250.310000,48.109544,49.271304,0.179378,0.198154,2.241620,-nan,0.000000,0.000000,0.339179,-nan,0.000000,97.984540,49.099117,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,48.121929,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.448724,47.292957,0.810195,0.828972,0.000000,48.109544,47.632136,0.810195,0.828972,4,3
"abba/Live/06-Thank_You_for_The_Music",45.441239,203.597000,41.571339,50.819511,3.739250,0.000000,3.869900,-nan,0.000000,-nan,0.000000,0.000000,2.882164,85.121985,28.668399,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.691086,-nan,0.000000,0.000000,25.427683,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.772844,24.258216,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.033935,0.000000,10.168617,43.562037,37.417545,3.919508,5.777099,1.714662,41.571339,39.469147,3.308988,8.041376,19,14
"abba/Live/08-Fernando",59.741667,324.000000,52.172840,28.352469,11.678086,0.227778,7.568827,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.668638,46.974074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.317593,0.000000,3.453704,0.000000,31.181790,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.673975,10.276235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.172840,26.274074,1.301543,0.776852,0.000000,52.172840,26.174691,1.237037,0.940741,11,8
"abba/Live/10-Super_Trouper",86.119392,263.000000,82.746008,9.584791,4.295817,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,94.245019,69.888213,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.782890,83.395638,20.240684,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.472243,1.319392,4.382129,0.157034,0.000000,82.746008,3.733840,2.155133,3.695817,10,7
"ac_dc/Back_In_Black/01-Hells_Bells",24.415212,56.559000,5.001856,58.538871,0.000000,17.045917,19.413356,-nan,0.000000,-nan,0.000000,0.000000,12.360544,92.360431,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,45.764600,5.001856,42.587387,14.521120,1.430365,0.000000,5.001856,45.764600,0.413727,12.360544,4,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",36.072026,106.961000,32.313647,61.374707,0.000000,2.553267,3.758379,-nan,0.000000,0.000000,29.293855,-nan,0.000000,70.720029,45.692355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.276802,0.000000,5.425342,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.287011,5.425342,33.110199,13.865802,0.000000,32.313647,14.398706,12.434439,34.541562,4,5
"aerosmith/Nine_Lives/02-Falling_In_Love",15.414499,72.075000,0.000000,41.470690,0.000000,43.114811,15.414499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,5.645508,27.206382,6.887270,1.731530,0.000000,0.000000,5.732917,0.000000,35.737773,2,6
