MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",78.877069,104.815000,78.415303,21.012260,0.110671,0.000000,0.461766,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.576322,39.101274,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.086066,60.436960,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.626008,11.419167,1.548442,6.738539,0.000000,78.415303,10.606306,5.817870,4.588084,3,15
"a_ha/Hunting_High_and_Low/01-Take_On_Me",44.617982,228.000000,40.064035,48.065351,6.060088,1.256579,4.553947,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.018457,30.202193,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.966355,6.283333,-nan,0.000000,-nan,0.000000,0.000000,1.248684,-nan,0.000000,9.903009,15.058333,-nan,0.000000,0.000000,10.005702,-nan,0.000000,70.633864,5.597807,-nan,0.000000,-nan,0.000000,0.000000,0.614474,-nan,0.000000,28.975056,25.178947,44.353509,32.879386,6.318421,2.402193,2.088158,40.064035,35.726316,1.996053,10.342982,16,24
"abba/Arrival/02-Dancing_Queen",61.112174,230.000000,59.449565,38.028696,0.859130,0.000000,1.662609,-nan,0.000000,26.953923,28.949565,22.075055,1.575652,92.115594,41.088261,-nan,0.000000,-nan,0.000000,0.000000,0.406087,-nan,0.000000,0.000000,0.467391,-nan,0.000000,0.000000,0.254783,0.000000,3.136957,-nan,0.000000,33.480826,6.780000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.681455,13.328261,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.807251,2.350435,77.076957,12.664348,6.355652,1.381304,0.000000,59.449565,30.629130,0.785217,6.614348,16,20
"abba/Live/03-I_Have_A_Dream",63.249571,250.310000,61.155767,35.066518,1.337941,0.345971,2.093804,-nan,0.000000,22.850412,0.339179,-nan,0.000000,93.885273,49.099117,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.132216,48.121929,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.417442,32.625544,0.596860,1.582438,0.000000,61.155767,32.887220,0.673964,1.505333,4,8
"abba/Live/06-Thank_You_for_The_Music",43.361641,203.597000,39.491741,51.132384,5.505975,0.000000,3.869900,-nan,0.000000,-nan,0.000000,69.870484,2.882164,72.981771,28.668399,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.691086,-nan,0.000000,11.589724,25.427683,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.165462,24.258216,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.033935,9.380283,10.168617,40.230946,32.614429,9.032058,3.961257,3.578147,39.491741,36.705354,2.887567,11.539463,19,38
"abba/Live/08-Fernando",58.115741,324.000000,51.042901,33.603704,7.556790,0.723765,7.072840,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.736918,46.974074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.317593,0.000000,3.453704,5.740926,31.181790,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.088452,10.276235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.644753,29.642593,1.181790,1.146605,0.000000,51.042901,31.029938,0.959568,1.614198,11,15
"abba/Live/10-Super_Trouper",84.742205,263.000000,81.368821,10.760456,4.497338,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,74.773229,3.101901,90.027529,69.888213,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.782890,79.694926,20.240684,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.088973,4.350570,5.291635,0.398099,0.000000,81.368821,3.547529,3.342966,3.869962,10,23
"ac_dc/Back_In_Black/01-Hells_Bells",35.598225,56.559000,13.338284,50.202443,0.000000,14.199332,22.259941,-nan,0.000000,-nan,0.000000,2.860821,12.360544,87.202089,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.053624,45.764600,13.338284,36.079139,13.242808,0.880496,0.000000,13.338284,37.852508,1.934263,10.415672,4,11
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",40.284777,106.961000,34.581763,59.106590,0.000000,0.608633,5.703013,-nan,0.000000,7.659656,29.293855,-nan,0.000000,70.773229,45.692355,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.276802,0.000000,5.425342,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.466722,14.787633,35.329700,4.104300,0.000000,34.581763,19.672591,17.839212,21.594787,4,7
"aerosmith/Nine_Lives/02-Falling_In_Love",15.678113,72.075000,0.000000,41.470690,0.000000,42.851197,15.678113,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,7.123136,21.807839,11.696150,0.843566,0.000000,0.000000,9.956296,0.000000,31.514395,2,9
"alanis_morissette/MTV_Unplugged/08-Ironic",69.678224,208.530000,55.909941,28.639045,0.138589,1.544142,13.768283,-nan,0.000000,9.038902,1.257373,68.512654,16.807654,88.136460,30.938954,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,22.671657,13.325661,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.578556,22.357934,60.100705,14.364840,5.814511,4.110200,0.158730,55.909941,18.655829,3.678128,6.305088,9,18
