Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"3_doors_down/The_Better_Life/01-Kryptonite",233.750000,140,139,0.950775,0.953267,0.950775,0.955771
"a_ha/Hunting_High_and_Low/01-Take_On_Me",228.000000,156,144,0.862026,0.894070,0.862026,0.928589
"abba/Arrival/02-Dancing_Queen",230.000000,123,98,0.843083,0.892791,0.843083,0.948727
"abba/Live/03-I_Have_A_Dream",263.000000,73,68,0.921661,0.939513,0.921661,0.958071
"abba/Live/06-Thank_You_for_The_Music",219.000000,139,137,0.887750,0.896110,0.887750,0.904629
"abba/Live/08-Fernando",324.000000,75,68,0.934203,0.942919,0.934203,0.951799
"abba/Live/10-Super_Trouper",263.000000,87,87,0.971906,0.975216,0.971906,0.978549
"ac_dc/Back_In_Black/01-Hells_Bells",312.000000,218,137,0.647750,0.752515,0.647750,0.897705
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",239.000000,133,99,0.763488,0.826069,0.763488,0.899825
"aerosmith/Nine_Lives/02-Falling_In_Love",205.000000,131,126,0.829578,0.839023,0.848687,0.829578
"alanis_morissette/MTV_Unplugged/08-Ironic",253.000000,150,145,0.810563,0.838116,0.867607,0.810563
"alanis_morissette/MTV_Unplugged/12-Uninvited",277.000000,24,56,0.565981,0.717282,0.978991,0.565981
"all_saints/All_Saints/01-Never_Ever",387.000000,100,100,0.900392,0.902812,0.905246,0.900392
"aqua/Aquarium/05-Doctor_Jones",203.000000,190,172,0.858232,0.899444,0.858232,0.944814
"backstreet_boys/Millennium/02-I_Want_It_That_Way",213.000000,127,126,0.903912,0.909255,0.903912,0.914662
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",235.000000,122,116,0.935317,0.947892,0.935317,0.960809
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",223.000000,173,117,0.798349,0.870623,0.798349,0.957284
"beach_boys/Pet_Sounds/08-God_Only_Knows",171.000000,86,87,0.932654,0.941795,0.951118,0.932654
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",126.000000,52,51,0.965694,0.973784,0.965694,0.982011
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",149.394000,63,54,0.899849,0.929732,0.899849,0.961667
"beck/Mellow_Gold/01-Loser",235.000000,138,15,0.237542,0.378634,0.237542,0.932524
"bette_midler/The_Rose/12-The_Rose",220.000000,56,54,0.925873,0.943375,0.925873,0.961552
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",298.000000,93,102,0.847031,0.868283,0.890630,0.847031
"billy_joel/Piano_Man/02-Piano_Man",338.000000,314,258,0.747155,0.802351,0.747155,0.866354
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",290.000000,177,151,0.837726,0.888212,0.837726,0.945175
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",235.000000,158,131,0.879197,0.910192,0.879197,0.943453
