MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",71.818853,235.998912,70.022496,17.181927,0.793024,10.206196,1.796357,79.573327,87.997446,87.204422,70.022496,0.000000,17.181927,-0.000000,7,4
"1003",67.568393,217.521633,63.835676,18.534832,12.707778,1.188997,3.732717,67.140121,95.078286,82.370508,63.835676,0.000000,18.534832,0.000000,7,8
"1006",90.049431,164.048980,87.949951,5.804457,0.368672,3.777439,2.099481,93.441429,94.123080,93.754408,87.949951,0.000000,5.804457,-0.000000,3,4
"1007",91.553969,218.331429,89.759015,6.805873,0.005716,1.634441,1.794954,92.946518,96.570605,96.564889,89.759015,0.000000,6.805873,-0.000000,6,6
"1009",84.986250,181.482404,79.982132,14.393182,0.062161,0.558408,5.004117,84.693213,94.437475,94.375314,79.982132,0.000000,14.393182,-0.000000,7,7
"1011",86.911757,252.813061,85.751968,12.453929,0.308489,0.320659,1.164956,87.045123,98.514385,98.205897,85.751968,0.000000,12.453929,-0.000000,5,5
"1012",68.340062,295.523265,67.480907,30.600505,0.959991,0.099441,0.859155,68.134038,99.041404,98.081412,67.480907,0.000000,30.600505,0.000000,7,7
"1013",44.223187,247.797551,41.545297,21.998522,33.373133,0.405158,2.677889,42.866904,96.916952,63.543819,41.545297,0.000000,21.998522,-0.000000,10,10
"1014",74.389537,198.635102,72.603489,3.499878,21.541148,0.569437,1.786048,74.354908,97.644515,76.103367,72.603489,0.000000,3.499878,0.000000,4,6
"1016",87.459600,217.372200,83.768110,11.390333,1.137095,0.000000,3.704463,86.990646,96.295537,95.158443,83.768110,0.000000,11.390333,0.000000,4,7
"1018",83.287549,159.085714,80.228253,10.864982,0.067141,5.780328,3.059296,88.007813,91.160376,91.093235,80.228253,0.000000,10.864982,0.000000,5,5
"1019",51.146254,267.964082,49.844289,10.335797,37.794350,0.723599,1.301965,50.874791,97.974436,60.180086,49.844289,0.000000,10.335797,-0.000000,7,8
"1020",32.721798,211.200000,31.264710,20.008017,47.270185,0.000000,1.457088,31.727001,98.542912,51.272727,31.264710,0.000000,20.008017,-0.000000,5,6
