Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1002",239.830204,164,106,0.743406,0.815026,0.743406,0.901917
"1003",217.521633,96,162,0.750710,0.810196,0.879920,0.750710
"1006",164.048980,50,56,0.854314,0.876100,0.854314,0.899027
"1007",218.331429,62,69,0.905646,0.910267,0.905646,0.914935
"1009",181.482404,127,131,0.863623,0.873814,0.863623,0.884249
"1011",252.813061,97,133,0.884219,0.897469,0.911123,0.884219
"1012",295.523265,269,203,0.612019,0.719941,0.612019,0.874073
"1013",247.797551,197,264,0.683768,0.726942,0.683768,0.775935
"1014",198.635102,15,32,0.853289,0.884596,0.918287,0.853289
"1016",217.372200,57,95,0.865968,0.899893,0.936584,0.865968
"1018",159.085714,120,125,0.842956,0.866601,0.891611,0.842956
"1019",267.964082,156,173,0.693983,0.753859,0.693983,0.825044
"1020",211.200000,58,107,0.756892,0.824058,0.904307,0.756892
"1021",160.208980,15,19,0.823253,0.851201,0.823253,0.881113
"1022",256.000000,109,134,0.896456,0.902713,0.909057,0.896456
"1024",170.499478,41,77,0.665448,0.773768,0.924209,0.665448
"1025",307.644082,163,172,0.708343,0.747705,0.791700,0.708343
"1032",286.380408,148,158,0.726941,0.729431,0.731938,0.726941
"1033",207.960816,56,54,0.816428,0.863527,0.816428,0.916394
"1034",199.131429,155,98,0.577192,0.713221,0.577192,0.933138
"1037",172.120816,81,108,0.745821,0.760009,0.745821,0.774746
"1039",237.871020,77,73,0.876079,0.904171,0.876079,0.934125
"1040",230.844082,50,70,0.788998,0.834310,0.885143,0.788998
"1041",169.613061,56,73,0.815416,0.850323,0.888353,0.815416
"1042",221.657846,104,169,0.784225,0.830064,0.881593,0.784225
"1043",250.409796,181,149,0.676580,0.753614,0.676580,0.850443
"1044",169.195102,113,118,0.832852,0.850582,0.832852,0.869083
"1045",197.877551,107,135,0.883671,0.907585,0.932829,0.883671
"1046",145.240816,90,112,0.820997,0.828738,0.836627,0.820997
"1048",191.190204,108,115,0.771689,0.802829,0.771689,0.836588
"1051",211.173878,71,90,0.868797,0.885477,0.902811,0.868797
"1052",239.960816,33,77,0.670290,0.770613,0.906255,0.670290
"1053",207.275261,173,154,0.739082,0.793718,0.739082,0.857076
"1054",200.228571,39,57,0.816409,0.849838,0.886121,0.816409
"1055",155.491633,64,54,0.773470,0.825580,0.773470,0.885218
"1056",280.894694,161,162,0.661491,0.727945,0.661491,0.809241
"1058",126.380408,56,62,0.802798,0.832246,0.863936,0.802798
"1059",166.767120,52,58,0.892181,0.898603,0.892181,0.905117
"1061",274.808163,127,126,0.763190,0.801068,0.763190,0.842903
"1062",202.579592,63,21,0.603256,0.740885,0.603256,0.959877
"1063",158.432653,79,83,0.883229,0.887404,0.883229,0.891618
"1066",274.233469,115,99,0.831292,0.872391,0.831292,0.917765
"1067",222.693878,84,142,0.735563,0.794110,0.862783,0.735563
"1068",178.050612,59,74,0.777181,0.798092,0.777181,0.820159
"1069",180.580159,114,89,0.781390,0.840579,0.781390,0.909468
"1070",243.304626,118,172,0.829287,0.852783,0.877650,0.829287
"1071",215.693991,93,87,0.912869,0.922858,0.912869,0.933067
"1072",135.915102,78,73,0.879729,0.896280,0.879729,0.913466
"1073",215.353469,110,96,0.751026,0.820069,0.751026,0.903091
"1076",216.482562,95,167,0.690593,0.774998,0.882908,0.690593
"1078",216.973061,93,111,0.706873,0.729458,0.706873,0.753534
"1082",223.973878,90,78,0.663358,0.765186,0.663358,0.903943
"1084",269.844898,106,162,0.861080,0.884213,0.908622,0.861080
"1086",221.701224,140,156,0.768624,0.771834,0.768624,0.775070
"1087",195.134694,79,135,0.766873,0.797706,0.831123,0.766873
"1089",245.420408,91,89,0.933831,0.936432,0.933831,0.939048
"1091",156.780249,72,97,0.880022,0.900289,0.921511,0.880022
"1094",143.177143,67,93,0.873531,0.898829,0.925636,0.873531
"1096",195.787755,14,45,0.695732,0.789969,0.913735,0.695732
"1097",280.894694,161,162,0.661491,0.727945,0.661491,0.809241
"1098",433.606531,265,317,0.787938,0.793215,0.787938,0.798564
"1099",136.097959,56,124,0.643039,0.747743,0.893177,0.643039
"1100",146.233469,111,131,0.837721,0.857991,0.879266,0.837721
"1101",146.677551,45,60,0.857047,0.884161,0.913048,0.857047
"1102",204.564898,74,63,0.717214,0.746876,0.717214,0.779097
"1103",156.299456,46,42,0.878252,0.895412,0.878252,0.913256
"1106",265.236032,160,110,0.652300,0.742424,0.652300,0.861443
"1107",189.011270,89,90,0.854777,0.877577,0.854777,0.901626
"1110",197.250612,72,78,0.832587,0.837193,0.832587,0.841849
"1111",149.133061,4,29,0.418005,0.588444,0.993565,0.418005
"1112",324.497324,179,212,0.793244,0.798898,0.804633,0.793244
"1113",129.541224,148,42,0.335167,0.495571,0.335167,0.950427
"1114",187.428571,66,89,0.839400,0.862960,0.887881,0.839400
"1116",186.266213,68,67,0.769100,0.828665,0.769100,0.898231
"1117",146.233469,111,131,0.837721,0.857991,0.879266,0.837721
"1118",164.963265,63,110,0.732714,0.773148,0.818306,0.732714
"1119",222.774830,71,70,0.899511,0.920855,0.899511,0.943236
"1120",236.930612,76,124,0.830483,0.871661,0.917135,0.830483
"1121",137.521814,58,78,0.835784,0.860064,0.885797,0.835784
"1123",129.541224,148,42,0.335167,0.495571,0.335167,0.950427
"1124",214.778776,92,91,0.740563,0.799778,0.740563,0.869287
"1125",126.432653,38,46,0.850199,0.854895,0.859642,0.850199
"1126",209.345306,174,135,0.652702,0.727902,0.652702,0.822687
"1127",210.703673,118,136,0.682754,0.737177,0.682754,0.801029
"1133",270.027755,91,154,0.855949,0.895939,0.939848,0.855949
"1134",158.040816,70,92,0.787318,0.824082,0.864448,0.787318
"1136",276.767347,73,82,0.928952,0.938748,0.948752,0.928952
"1139",176.431020,84,83,0.931614,0.933235,0.931614,0.934862
"1141",158.511020,48,92,0.795280,0.868018,0.955401,0.795280
"1142",153.469388,90,95,0.854130,0.862071,0.854130,0.870161
"1143",190.432653,102,97,0.845445,0.872010,0.845445,0.900298
"1145",257.593469,93,125,0.833834,0.834887,0.833834,0.835943
"1146",199.862857,100,145,0.829152,0.850646,0.873284,0.829152
"1147",197.773061,39,84,0.749672,0.836997,0.947347,0.749672
"1148",228.126803,69,75,0.728082,0.756721,0.728082,0.787705
"1149",254.223673,78,105,0.753798,0.777824,0.803431,0.753798
"1150",204.564898,74,63,0.717214,0.746876,0.717214,0.779097
"1151",188.786939,90,95,0.858365,0.880084,0.858365,0.902931
"1152",165.773061,50,61,0.919062,0.927545,0.919062,0.936186
"1153",189.361633,63,81,0.894287,0.918998,0.945112,0.894287
"1154",139.937959,61,61,0.942724,0.942724,0.942724,0.942724
"1155",299.311020,168,136,0.665916,0.753411,0.665916,0.867376
"1157",264.333061,140,194,0.811871,0.830285,0.849554,0.811871
"1160",125.309388,29,42,0.890821,0.925543,0.963082,0.890821
"1161",180.819592,80,121,0.825450,0.852303,0.880961,0.825450
"1162",270.027755,91,154,0.855949,0.895939,0.939848,0.855949
"1163",247.771429,77,143,0.795727,0.842988,0.896219,0.795727
"1164",196.388571,57,132,0.610172,0.724763,0.892345,0.610172
