MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",89.514733,172.863864,86.672247,8.728926,0.000000,1.756341,2.842487,-nan,0.000000,0.000000,0.975147,0.000000,1.633335,93.404175,92.792690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.072301,0.000000,6.692855,0.191736,86.672247,1.400054,6.061726,1.267145,5,6
"1302",56.788230,152.328747,55.991028,41.043411,0.043086,2.123558,0.798917,-nan,0.000000,0.000000,0.432032,-nan,0.000000,24.310325,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.741279,43.659517,56.127065,27.132587,12.860845,0.913943,55.991028,17.987340,2.831032,20.225039,7,8
"1305",20.291307,280.118277,20.233282,76.744823,2.854838,0.109032,0.058025,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.486591,96.310005,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.267778,3.522937,20.233282,69.961227,3.584947,3.198649,20.233282,69.888097,4.108361,2.748365,3,7
"1306",82.607161,144.247435,82.000494,16.501237,0.331403,0.560199,0.606667,-nan,0.000000,0.000000,0.413980,-nan,0.000000,83.005032,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.976040,2.804154,82.414474,0.168921,6.951199,8.967137,82.000494,0.502716,15.714004,0.284517,10,11
"1309",65.626063,211.202647,61.882313,26.158164,7.973353,0.242421,3.743750,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.451458,96.013829,61.882313,3.849744,17.354886,4.953533,61.882313,1.364927,19.794607,4.998630,3,10
"1310",54.043777,126.102248,50.518277,41.632018,3.921322,0.402884,3.525500,-nan,0.000000,0.000000,0.791179,0.000000,3.984211,70.197845,69.889247,-nan,0.000000,-nan,0.000000,0.000000,0.788343,7.069003,20.618636,52.516652,16.303089,19.314940,4.015614,50.518277,12.468120,12.435760,16.728138,12,9
"1311",89.916528,323.683265,89.837617,9.333118,0.158359,0.591996,0.078910,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.444414,99.329094,89.837617,2.689049,5.339090,1.304979,89.837617,1.146800,6.248621,1.937697,2,8
"1312",59.214780,147.644082,47.210179,36.079736,0.000000,4.705485,12.004600,-nan,0.000000,0.000000,4.476663,-nan,0.000000,58.737747,74.292336,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.022374,4.520916,47.210179,7.977779,26.170407,1.931550,47.210179,0.948381,23.556641,11.574714,7,7
"1313",69.578347,167.444898,67.296245,11.716485,2.151596,16.541092,2.294582,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.673457,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.122518,23.453598,67.296245,1.192289,1.956609,8.567588,67.296245,0.523986,8.380212,2.812288,4,12
"1318",60.810105,189.092744,60.564512,29.691185,0.092865,9.405845,0.245593,-nan,0.000000,0.000000,1.316442,-nan,0.000000,73.292271,80.694713,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.049961,8.337407,60.784023,6.322542,11.024994,12.124137,60.564512,2.120090,21.458860,6.112235,8,8
"1319",58.298053,84.627163,57.076314,26.446709,15.255238,0.000000,1.221739,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,23.723798,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.046529,75.054463,57.076314,17.931876,8.117535,0.397298,57.076314,0.000000,8.514833,17.931876,4,5
"1321",76.967993,138.830927,73.826012,17.008121,4.905582,1.118304,3.141981,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.778404,68.673118,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.806689,27.066598,73.826012,3.856428,9.470373,3.681320,73.826012,2.418786,10.253102,4.336233,9,11
"1322",26.159360,190.856372,24.615622,72.418716,1.406868,0.000000,1.558793,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.005405,98.441207,24.615622,41.609199,10.796460,20.013057,24.615622,41.609199,9.444800,21.364717,2,4
"1324",88.941282,237.533605,87.177487,10.849996,0.000000,0.208722,1.763795,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.231484,88.746991,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.280491,87.177487,4.497382,1.382173,4.970441,87.177487,0.000000,1.569505,9.280491,5,4
"1327",43.933165,171.937959,39.246806,40.039648,14.838101,1.189086,4.686359,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.913515,34.724893,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.246683,59.399662,39.246806,5.995167,33.590794,0.453686,39.246806,5.995167,29.385090,4.659390,5,8
"1329",78.700915,216.737959,78.583068,16.659042,0.059325,4.565049,0.133515,-nan,0.000000,0.000000,5.956539,-nan,0.000000,87.954737,89.344896,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.583068,0.000000,8.288303,8.370739,78.583068,0.000000,10.702503,5.956539,7,5
"1330",82.328267,198.542154,80.118600,15.509810,0.111251,2.043544,2.216796,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.992693,77.060028,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.532129,18.679632,80.118600,7.899624,6.627786,0.982400,80.118600,6.707450,6.836547,1.965813,4,9
"1331",82.853399,128.040249,81.459581,16.271469,0.137145,0.737987,1.393818,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.233967,97.868194,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.459581,0.000000,13.224336,3.047132,81.459581,0.000000,16.271469,0.000000,4,8
"1332",84.485007,253.866667,83.720389,14.026139,1.488854,0.000000,0.764618,-nan,0.000000,0.000000,4.577259,0.000000,1.887575,90.244578,92.770547,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.669273,0.000000,8.228839,0.848416,83.720389,4.948884,7.671519,1.405735,9,4
"1333",80.935639,142.106122,80.305533,17.234704,0.090482,1.720792,0.648489,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.182787,65.924216,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.769593,31.706503,80.305533,6.830766,7.923769,2.480169,80.305533,1.341254,9.895018,5.998431,7,8
"1334",80.713835,160.792092,77.431065,18.467776,0.253981,0.564408,3.282770,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.158167,88.447038,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.353469,7.705783,77.431065,7.878878,6.792253,3.796645,77.431065,5.900879,8.894937,3.671959,8,10
"1335",63.526133,189.717936,59.782315,35.170519,0.877092,0.426256,3.743818,-nan,0.000000,0.000000,1.135363,0.000000,9.622232,85.344765,41.296536,-nan,0.000000,0.000000,1.466681,-nan,0.000000,57.996685,42.309114,64.034929,11.983037,11.642518,6.820070,59.782315,8.186358,8.029595,18.954566,11,15
"1336",69.661825,182.229116,67.372534,28.748357,0.000000,1.589818,2.289291,-nan,0.000000,0.000000,0.849870,0.000000,6.723269,79.883362,75.357615,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.391681,13.190137,68.071133,13.797560,12.501133,1.751065,67.372534,7.425069,10.048712,11.274576,5,10
"1337",67.352152,163.023596,61.150645,24.638381,7.773729,0.235738,6.201508,-nan,0.000000,-nan,0.000000,0.000000,1.970708,60.353014,26.512420,-nan,0.000000,-nan,0.000000,0.000000,7.874043,78.925162,57.205584,61.150645,7.210899,12.580745,4.846737,61.150645,3.149353,12.097561,9.391467,11,14
"1339",73.813136,243.304626,72.770564,25.939431,0.000000,0.247433,1.042572,-nan,0.000000,-nan,0.000000,0.000000,2.567883,80.697664,57.515921,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.234943,38.626191,72.928391,10.909867,8.204695,6.667041,72.770564,9.854413,6.549526,9.535492,14,19
"1340",64.174326,215.652019,62.274969,34.311967,1.187098,0.319127,1.906839,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.688235,71.556262,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.870636,26.217772,62.274969,11.463282,7.376441,15.472245,62.274969,9.028925,17.682700,7.600342,5,9
"1342",72.040073,188.081633,69.563685,24.418744,0.680556,2.860627,2.476389,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.510976,89.746883,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.916101,69.563685,6.155011,12.633810,5.629924,69.563685,4.843794,18.073476,1.501474,5,7
"1344",82.858987,156.792477,79.907112,10.605782,6.508574,0.000000,2.978532,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.625986,51.720286,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.623626,45.301183,79.907112,2.959175,3.462661,4.183945,79.907112,2.709400,4.361452,3.534929,9,13
"1345",84.044703,113.343336,82.103873,12.371585,0.257872,3.325840,1.940829,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.298280,73.922022,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.463004,20.811308,82.103873,1.789556,2.182850,8.399179,82.103873,1.184616,7.543146,3.643823,5,8
"1346",81.941149,210.827269,81.864053,13.340367,1.558484,3.159999,0.077096,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.703489,38.248939,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.151545,58.513965,81.864053,5.789748,4.471983,3.078636,81.864053,2.792276,4.597115,5.950976,9,13
"1347",75.377537,121.736372,72.864304,23.403487,0.535978,0.676120,2.520111,-nan,0.000000,-nan,0.000000,0.000000,1.732160,81.841866,72.017986,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.395888,23.053623,73.082980,5.478157,9.419090,8.287565,72.864304,1.805242,11.242002,10.356243,15,18
"1350",82.762104,239.194764,80.284130,13.855550,0.000000,3.382346,2.477974,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.281924,94.139680,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.284130,0.000000,5.840720,8.014829,80.284130,0.000000,13.855550,-0.000000,3,3
"1353",13.128761,120.945113,10.618867,86.627415,0.000000,0.243824,2.509894,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.919561,97.246282,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.618867,0.000000,7.607762,79.019653,10.618867,0.000000,86.627415,-0.000000,8,9
"1354",71.847009,193.558651,70.941313,26.425150,1.697060,0.000000,0.936476,-nan,0.000000,-nan,0.000000,0.000000,0.230474,35.041371,24.945044,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.181766,73.888006,70.941313,9.083981,12.218110,5.123060,70.941313,2.357151,14.195078,9.872922,7,10
"1355",47.056255,112.550771,46.870579,11.960856,40.366549,0.616341,0.185676,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.636545,82.652203,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.297693,16.545781,46.870579,3.752973,0.568632,7.639251,46.870579,3.752973,8.207883,0.000000,4,5
"1357",86.974024,128.866105,83.229519,7.214357,0.271181,5.540438,3.744504,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.748296,90.715058,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.229519,0.000000,4.597111,2.617246,83.229519,0.000000,7.214357,0.000000,4,4
"1358",42.466232,150.573304,39.015171,28.045702,0.173493,29.314573,3.451061,-nan,0.000000,0.000000,7.211445,0.000000,7.211445,73.876311,52.811476,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.904444,0.239034,16.091361,1.826034,39.015171,10.128307,13.383779,4.533616,10,4
"1359",70.115045,160.357891,66.621174,23.432277,6.452678,0.000000,3.493871,-nan,0.000000,0.000000,0.943556,0.000000,0.927008,70.856453,88.887508,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.302073,5.748057,66.942249,7.597689,9.367781,6.145731,66.621174,5.650883,14.277692,3.503702,8,10
"1360",66.457003,205.056729,63.474347,31.570130,1.804710,0.168157,2.982656,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.260971,74.475442,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.794772,22.373746,63.474347,13.064949,8.832849,9.672333,63.474347,6.065548,13.651070,11.853512,8,12
"1361",82.939590,166.983785,80.039247,12.585450,0.000000,4.474960,2.900343,-nan,0.000000,0.000000,2.149607,-nan,0.000000,91.707575,87.276594,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.198497,81.336708,2.455073,7.980770,0.852146,80.039247,3.522571,4.554451,4.508428,5,7
"1362",72.977699,190.145306,70.946790,23.519750,0.628797,2.873754,2.030909,-nan,0.000000,0.000000,1.441740,-nan,0.000000,75.243842,90.736691,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.638774,2.916906,72.225811,0.166742,19.074159,2.999828,70.946790,1.346339,21.612510,0.560901,8,8
"1364",84.303081,328.919586,84.186335,15.225965,0.000000,0.470954,0.116746,-nan,0.000000,0.000000,1.266357,0.000000,6.763080,93.679194,80.598771,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.507992,10.784092,87.940491,4.293190,3.753473,3.347314,84.186335,4.203361,4.398296,6.624308,15,21
"1366",61.211908,243.382770,58.858517,34.634378,3.221368,0.923760,2.361977,-nan,0.000000,0.000000,14.359908,0.000000,2.339950,76.071829,75.327473,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.188674,4.686933,60.175363,3.607354,29.274026,0.436153,58.858517,3.292539,17.040131,14.301709,6,6
"1367",10.791230,264.103764,5.271075,76.746693,3.101811,9.360265,5.520156,-nan,0.000000,-nan,0.000000,0.000000,5.496999,6.827146,48.901565,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.290461,30.721015,5.271075,0.517204,12.105960,62.233364,5.271075,0.513675,63.000233,13.232785,7,23
"1368",48.415886,242.320249,45.932630,37.030075,13.188709,1.365329,2.483256,-nan,0.000000,-nan,0.000000,0.000000,1.668909,60.284087,17.354248,-nan,0.000000,0.000000,0.276499,-nan,0.000000,46.154806,76.851759,45.932630,14.000904,5.976060,17.053112,45.932630,10.171730,8.943431,17.914915,10,11
"1369",88.322762,127.841769,84.601836,10.882378,0.000000,0.794860,3.720926,-nan,0.000000,0.000000,1.451944,-nan,0.000000,93.674200,73.898573,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.379110,20.133697,85.793402,4.311630,3.501762,1.877420,84.601836,5.503196,2.230583,3.148599,7,9
"1370",84.699397,212.174972,84.518414,15.010352,0.000000,0.290252,0.180983,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.632050,75.628747,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.332128,23.900019,84.518414,5.701200,8.203678,0.502199,84.518414,3.822318,5.715471,5.472564,8,14
"1371",2.391458,178.594806,0.000000,93.443917,0.000000,4.164625,2.391458,-nan,0.000000,0.000000,1.648454,0.000000,10.097205,0.000000,79.803598,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.894659,0.000000,0.215012,5.337154,87.891751,0.000000,0.000000,78.783827,14.660090,6,7
"1372",75.398741,202.588374,74.073202,20.727511,0.000000,3.873749,1.325539,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.091477,87.907066,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.195863,6.893646,74.073202,2.490091,7.760038,10.477382,74.073202,2.161522,17.129767,1.436221,4,8
"1373",55.221818,160.228414,45.870790,43.778464,0.421278,0.578440,9.351028,-nan,0.000000,0.000000,11.242186,0.000000,7.555367,78.839876,46.573499,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.054630,24.699480,49.101309,9.930405,23.050681,7.566860,45.870790,7.824425,11.075341,24.878699,11,12
"1376",92.815454,231.209796,90.638299,4.189268,0.000000,2.995278,2.177155,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.582225,94.827567,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.638299,0.000000,3.212707,0.976561,90.638299,0.000000,4.189268,-0.000000,3,3
