MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",90.428114,174.001633,90.192914,5.238330,0.000000,4.333557,0.235200,94.510886,95.431243,95.431243,90.192914,0.000000,5.238330,0.000000,3,5
"1302",78.766747,158.850612,78.399483,18.798030,0.000000,2.435223,0.367264,80.659968,97.197512,97.197512,78.399483,0.000000,18.798030,-0.000000,6,8
"1305",71.471677,289.986667,71.318311,28.492048,0.028268,0.008007,0.153365,71.433586,99.838627,99.810360,71.318311,0.000000,28.492048,0.000000,4,10
"1306",74.471814,154.697143,73.957723,24.263774,0.690457,0.573954,0.514091,74.771268,98.911955,98.221498,73.957723,0.000000,24.263774,0.000000,9,10
"1309",46.333502,258.638367,45.385703,51.080422,0.278789,2.307287,0.947798,46.912753,96.744915,96.466126,45.385703,0.000000,51.080422,0.000000,4,7
"1310",78.629195,132.054807,78.292892,17.955802,0.000000,3.415003,0.336303,81.344368,96.248694,96.248694,78.292892,0.000000,17.955802,0.000000,7,7
"1311",90.634612,323.683265,90.506382,8.822712,0.000000,0.542677,0.128229,91.117696,99.329094,99.329094,90.506382,0.000000,8.822712,0.000000,2,5
"1312",71.393302,147.644082,59.999105,23.290810,0.000000,5.315888,11.394197,72.036459,83.289915,83.289915,59.999105,0.000000,23.290810,-0.000000,5,7
"1313",71.802392,167.444898,71.369042,9.795284,0.000000,18.402324,0.433351,87.931540,81.164326,81.164326,71.369042,0.000000,9.795284,0.000000,4,7
"1318",63.589031,228.988390,63.226953,28.803137,0.000000,7.607833,0.362078,68.702479,92.030090,92.030090,63.226953,0.000000,28.803137,0.000000,7,10
"1319",43.416932,223.869388,43.113548,56.424610,0.000000,0.158458,0.303384,43.313588,99.538158,99.538158,43.113548,0.000000,56.424610,0.000000,5,9
"1321",70.944752,168.751020,70.566355,25.928722,0.000000,3.126526,0.378397,73.129487,96.495077,96.495077,70.566355,0.000000,25.928722,-0.000000,7,9
"1322",57.543133,208.796735,57.241480,34.916936,6.416726,1.123205,0.301653,58.068879,98.575142,92.158416,57.241480,0.000000,34.916936,0.000000,2,6
