MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",87.108446,172.863864,84.265959,11.135213,0.000000,1.756341,2.842487,89.744029,92.562201,-nan,0.000000,42.160024,2.838971,-nan,0.000000,-nan,0.000000,84.265959,3.806342,6.159976,0.724615,0.000000,84.265959,3.806342,6.055525,1.273346,4,7
"1302",18.015741,152.328747,17.218539,79.815900,0.043086,2.123558,0.798917,-nan,0.000000,-nan,0.000000,23.739156,53.418009,-nan,0.000000,10.393048,43.659517,17.218539,38.910818,28.106578,12.586538,0.211967,17.218539,56.759830,1.761496,21.294575,6,11
"1305",2.241789,280.118277,2.183763,94.794341,2.854838,0.109032,0.058025,12.763156,4.221087,-nan,0.000000,1.240513,92.088918,-nan,0.000000,14.267778,3.522937,2.183763,86.626592,1.521238,6.646511,0.000000,2.183763,87.937616,1.863301,4.993425,3,8
"1306",82.750967,144.247435,82.144300,16.357431,0.331403,0.560199,0.606667,82.796951,96.028979,-nan,0.000000,-nan,0.000000,93.976040,2.804154,-nan,0.000000,82.144300,0.439095,6.951199,8.967137,0.000000,82.144300,0.358910,15.185550,0.812971,9,13
"1309",65.626063,211.202647,61.882313,26.158164,7.973353,0.242421,3.743750,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.451458,96.013829,61.882313,1.862396,16.361837,7.727308,0.206623,61.882313,1.364927,19.794607,4.998630,3,10
"1310",32.239501,113.025541,28.306113,62.935996,4.375006,0.449496,3.933389,16.882021,51.256845,-nan,0.000000,74.934269,24.056760,1.234862,11.478976,16.821451,8.824533,28.306113,30.204144,20.443830,11.571262,0.716759,28.306113,31.620116,8.607136,22.708743,10,18
"1311",62.147341,323.683265,62.068431,37.102304,0.158359,0.591996,0.078910,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.289453,49.936586,41.456736,49.392508,62.068431,30.181421,5.615904,1.304979,0.000000,62.068431,28.915986,6.248621,1.937697,3,10
"1312",49.004311,147.644082,36.999711,46.290204,0.000000,4.705485,12.004600,50.762501,71.350811,-nan,0.000000,10.518132,7.418188,-nan,0.000000,0.000000,4.520916,36.999711,17.239866,27.118788,1.931550,0.000000,36.999711,11.158849,28.033303,7.098051,7,9
"1313",69.578347,167.444898,67.296245,11.716485,2.151596,16.541092,2.294582,85.673457,57.710728,-nan,0.000000,-nan,0.000000,76.122518,23.453598,-nan,0.000000,67.296245,1.192289,1.956609,8.567588,0.000000,67.296245,0.523986,8.380212,2.812288,4,12
"1318",45.995678,189.092744,45.750085,44.505612,0.092865,9.405845,0.245593,67.297192,67.982159,-nan,0.000000,0.000000,14.028995,-nan,0.000000,0.000000,8.337407,45.750085,19.455902,12.806074,12.243636,0.000000,45.750085,16.934517,22.139210,5.431885,7,8
"1319",76.430199,64.550385,74.828469,11.163158,12.406643,0.000000,1.601730,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.046529,98.398270,74.828469,0.000000,10.642290,0.520868,0.000000,74.828469,0.000000,11.163158,0.000000,3,5
"1321",61.174737,136.437412,57.977637,32.695700,4.991641,1.137923,3.197100,0.000000,7.307322,75.371006,53.609508,23.432102,7.206722,-nan,0.000000,57.669218,27.541426,57.977637,18.137560,10.283043,4.275097,0.000000,57.977637,18.075391,8.852475,5.767834,10,19
"1322",26.159360,190.856372,24.615622,72.418716,1.406868,0.000000,1.558793,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.005405,98.441207,-nan,0.000000,24.615622,41.609199,10.461130,20.348387,0.000000,24.615622,41.609199,9.109469,21.700048,2,5
"1324",88.941282,237.533605,87.177487,10.849996,0.000000,0.208722,1.763795,98.231484,88.746991,-nan,0.000000,-nan,0.000000,0.000000,9.280491,-nan,0.000000,87.177487,4.497382,1.382173,4.970441,0.000000,87.177487,0.000000,1.569505,9.280491,5,4
"1327",43.933165,171.937959,39.246806,40.039648,14.838101,1.189086,4.686359,-nan,0.000000,-nan,0.000000,33.913515,34.724893,-nan,0.000000,46.246683,59.399662,39.246806,5.250713,25.313695,9.475241,0.000000,39.246806,5.995167,29.385090,4.659390,5,8
"1329",57.766907,216.737959,57.649060,37.593050,0.059325,4.565049,0.133515,50.376230,68.896470,-nan,0.000000,86.883717,26.404966,-nan,0.000000,-nan,0.000000,57.649060,20.934008,2.159859,14.370769,0.128414,57.649060,20.934008,2.815372,13.843670,7,9
"1330",82.328267,198.542154,80.118600,15.509810,0.111251,2.043544,2.216796,90.992693,77.060028,-nan,0.000000,-nan,0.000000,53.532129,18.679632,-nan,0.000000,80.118600,7.899624,6.627786,0.982400,0.000000,80.118600,6.707450,6.836547,1.965813,4,9
"1331",59.098351,128.040249,57.704533,40.026517,0.137145,0.737987,1.393818,-nan,0.000000,-nan,0.000000,58.961477,97.868194,-nan,0.000000,-nan,0.000000,57.704533,23.755048,0.000000,15.707868,0.563601,57.704533,23.755048,10.074154,6.197314,4,12
"1332",89.433891,253.866667,88.669273,9.077255,1.488854,0.000000,0.764618,89.352478,99.235382,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.669273,0.000000,8.228839,0.848416,0.000000,88.669273,0.000000,9.077255,0.000000,6,4
"1333",75.232601,142.106122,74.602494,22.937743,0.090482,1.720792,0.648489,81.531886,65.924216,-nan,0.000000,-nan,0.000000,65.769593,31.706503,-nan,0.000000,74.602494,12.228945,7.931381,2.777417,0.000000,74.602494,7.044293,9.839584,6.053866,7,10
