MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",89.786467,218.800000,89.669465,10.118286,0.000000,0.095247,0.117002,91.026623,73.256714,86.639480,26.531037,89.669465,2.669022,4.180233,3.269031,89.669465,0.760512,5.790676,3.567098,5,9
"25",59.182663,251.400010,52.793757,39.046514,1.455171,0.315652,6.388906,59.709383,46.393725,53.499854,46.901717,52.793757,4.623918,27.943953,6.478643,52.793757,3.300119,29.034629,6.711766,7,10
"37",56.480668,164.600000,51.924137,42.787892,0.731440,0.000000,4.556531,54.403028,95.443469,-nan,0.000000,51.924137,21.362959,20.007819,1.417114,51.924137,19.141835,20.080723,3.565334,3,8
"43",78.191333,204.800000,77.669790,19.580210,2.228457,0.000000,0.521543,78.677560,82.165537,75.226769,17.312920,77.669790,4.948545,5.654180,8.977485,77.669790,0.620464,13.266304,5.693442,14,15
"74",58.300315,180.800000,54.222694,40.609165,1.090520,0.000000,4.077622,62.744231,86.418612,0.000000,9.503767,54.222694,0.313368,7.496637,32.799159,54.222694,0.313368,31.105398,9.190398,6,4
"78",28.681760,257.284000,24.489634,61.711999,9.606241,0.000000,4.192126,35.866912,58.696946,9.261024,37.110928,24.489634,7.812989,28.254186,25.644824,24.489634,1.544974,27.938430,32.228596,4,9
"92",55.133638,243.000000,54.445638,42.476173,2.390189,0.000000,0.688000,92.738140,26.225185,41.217953,73.086815,54.445638,25.912111,8.805189,7.758872,54.445638,15.548292,4.947992,21.979889,5,11
"99",72.520821,276.600000,67.445127,21.506609,1.264147,4.708424,5.075694,73.609505,48.018134,76.068552,42.197748,67.445127,6.288359,10.621171,4.597079,67.445127,2.826417,12.475362,6.204830,8,10
"114",59.490148,245.400010,57.873197,35.698295,1.522416,3.289140,1.616952,60.858995,95.093908,-nan,0.000000,57.873197,0.000000,25.264714,10.433581,57.873197,0.000000,35.698295,-0.000000,5,7
"147",75.320214,116.600000,74.951801,22.200858,2.478928,0.000000,0.368413,79.798645,93.926158,0.000000,5.705429,74.951801,3.236063,17.182976,1.781818,74.951801,0.000000,16.495429,5.705429,8,5
"159",59.196169,154.000000,58.946818,18.101019,3.667532,19.035279,0.249351,73.030475,80.715370,-nan,0.000000,58.946818,0.582383,15.144805,2.373831,58.946818,0.582383,17.518636,-0.000000,4,4
"170",88.721035,273.874590,88.580825,11.156347,0.000000,0.122618,0.140210,85.281188,22.580240,89.848217,77.156932,88.580825,5.746108,3.514170,1.896069,88.580825,4.506585,4.982507,1.667256,6,10
"209",84.435816,256.000000,83.685816,10.797625,0.800000,3.966559,0.750000,87.828289,95.283441,-nan,0.000000,83.685816,0.000000,7.676090,3.121535,83.685816,0.000000,10.797625,-0.000000,4,5
"236",49.102220,509.137790,47.116118,42.446920,8.448522,0.002337,1.986103,74.823255,37.481635,31.506958,60.529925,47.116118,23.648991,15.662381,3.135548,47.116118,11.663789,10.707357,20.075774,9,12
"322",82.576406,133.000000,81.956624,14.283977,3.139617,0.000000,0.619782,82.467744,99.380218,-nan,0.000000,81.956624,0.000000,11.597752,2.686226,81.956624,0.000000,14.283977,0.000000,4,3
"329",95.414821,251.400010,93.378226,3.837550,0.203659,0.543970,2.036595,-nan,0.000000,95.851742,97.419435,93.378226,1.280605,2.556945,0.000000,93.378226,1.280605,2.004614,0.552331,2,4
"332",73.911026,266.797000,73.521816,21.898297,1.583226,0.405927,2.590734,94.395080,75.211865,11.589467,21.791474,73.521816,9.916903,4.276285,7.705109,73.521816,0.339584,4.575014,16.983699,6,6
"377",84.480328,155.628480,76.584601,6.714613,4.749773,4.055286,7.895727,88.384993,84.229429,55.986219,3.819558,76.584601,1.373026,4.350335,0.991252,76.584601,1.373026,5.033481,0.308106,6,7
"382",67.806376,261.232010,63.530943,24.844390,7.349233,0.000000,4.275433,72.852820,76.245139,40.987904,19.479428,63.530943,8.493638,13.553607,2.797146,63.530943,3.355018,13.985262,7.504111,9,13
"414",86.074791,185.621420,85.385216,13.676584,0.000000,0.248624,0.689576,86.189916,94.201935,86.270847,4.859865,85.385216,1.034994,10.291571,2.350020,85.385216,0.349636,12.374983,0.951964,9,11
"430",53.409434,286.000000,51.558937,43.689657,2.311741,0.589168,1.850497,52.304113,95.282997,75.615021,2.277339,51.558937,0.358042,31.711678,11.619937,51.558937,0.358042,42.036759,1.294857,6,7
"444",84.255366,158.584950,83.367514,10.441729,5.019398,0.283507,0.887852,84.355621,98.828640,-nan,0.000000,83.367514,4.035692,5.230099,1.175938,83.367514,4.035692,6.406037,0.000000,6,8
"481",73.783674,223.988290,73.254977,23.591287,2.625039,0.000000,0.528697,77.120852,62.308391,67.815502,37.162912,73.254977,9.718816,8.246775,5.625696,73.254977,3.806360,8.922047,10.862880,12,19
"503",57.313704,271.800020,50.677266,38.181024,1.133981,3.371291,6.636438,70.660580,70.065653,5.863862,19.926617,50.677266,10.405536,12.158851,15.616636,50.677266,8.561622,18.972118,10.647284,4,6
