MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",80.672267,218.800000,80.555265,19.232486,0.000000,0.095247,0.117002,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.524819,75.899205,-nan,0.000000,-nan,0.000000,0.000000,3.528629,88.014030,20.359918,83.780512,2.742253,6.504209,6.760777,80.555265,3.576252,10.161389,5.494845,7,9
"25",58.059672,251.400010,53.201398,38.954525,2.985803,0.000000,4.858273,-nan,0.000000,0.000000,4.655063,-nan,0.000000,69.290186,38.856932,-nan,0.000000,0.000000,14.510178,-nan,0.000000,70.791148,37.119553,53.201398,5.436356,22.311109,11.207060,53.201398,3.741384,7.598425,27.614716,8,10
"37",33.487739,88.275980,24.991600,66.512261,0.000000,0.000000,8.496139,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.312072,91.503861,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.991600,0.642145,14.670287,51.199828,24.991600,0.000000,36.435189,30.077072,3,8
"43",50.392871,204.800000,49.871328,47.378672,2.228457,0.000000,0.521543,-nan,0.000000,0.000000,22.528350,0.000000,1.502266,69.104976,56.797046,-nan,0.000000,-nan,0.000000,0.000000,2.256235,64.788215,16.394561,60.624731,6.038535,20.802290,9.784443,49.871328,12.607568,15.763735,19.007368,16,15
"74",71.945708,180.800000,66.777566,26.512019,0.000000,1.542273,5.168142,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.198103,73.222539,-nan,0.000000,-nan,0.000000,0.000000,10.030310,0.000000,10.036737,66.777566,0.948767,23.538081,2.025171,66.777566,0.948767,6.444972,19.118280,5,4
"78",30.672537,268.000000,23.126269,62.210937,7.068657,0.047869,7.546269,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.239268,54.787817,-nan,0.000000,-nan,0.000000,0.000000,10.678590,10.110400,26.939455,27.443299,19.948679,19.411175,18.534052,23.126269,14.702198,26.150179,21.358560,5,9
"92",26.027247,243.000000,25.339247,71.582564,2.390189,0.000000,0.688000,-nan,0.000000,0.000000,5.351103,0.000000,4.013325,62.232296,22.713519,-nan,0.000000,0.000000,41.389807,-nan,0.000000,43.352406,25.844247,55.730514,23.302366,4.363901,13.525029,25.339247,46.515519,7.456914,17.610132,7,11
"99",27.231320,276.600000,26.635289,67.024870,5.743811,0.000000,0.596030,-nan,0.000000,0.000000,10.837657,-nan,0.000000,34.000457,74.836656,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.670898,13.729657,27.133518,43.488196,10.818181,12.220264,26.635289,27.998782,13.545217,25.480871,6,14
"114",58.838567,245.400010,57.371946,39.488686,1.672746,0.000000,1.466622,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.331883,95.093908,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.439470,57.371946,2.141626,26.785504,10.561556,57.371946,2.141626,36.199546,1.147514,6,7
"147",72.417230,116.600000,72.048816,25.103842,2.478928,0.000000,0.368413,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.315235,99.631587,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.048816,0.000000,23.996364,1.107479,72.048816,0.000000,25.103842,0.000000,5,5
