MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",90.546979,218.800000,90.429977,9.357774,0.000000,0.095247,0.117002,90.622322,99.787751,99.787751,90.429977,0.000000,9.357774,-0.000000,5,5
"25",62.482782,251.400010,56.093876,35.746395,1.455171,0.315652,6.388906,60.124991,93.295442,91.840271,56.093876,0.000000,35.746395,0.000000,6,5
"37",75.622503,164.600000,71.065972,23.646057,0.731440,0.000000,4.556531,74.458706,95.443469,94.712029,71.065972,0.000000,23.646057,0.000000,3,5
"43",78.811797,204.800000,78.290254,18.959746,2.228457,0.000000,0.521543,78.700712,99.478457,97.250000,78.290254,0.000000,18.959746,-0.000000,11,10
"74",58.613684,180.800000,54.536062,40.295796,1.090520,0.000000,4.077622,56.854368,95.922378,94.831858,54.536062,0.000000,40.295796,0.000000,5,4
"78",29.018116,268.000000,24.993612,60.391463,10.590422,0.000000,4.024504,26.041659,95.975496,85.385075,24.993612,0.000000,60.391463,0.000000,5,6
"92",70.681930,243.000000,69.993930,26.927881,2.390189,0.000000,0.688000,70.478824,99.312000,96.921811,69.993930,0.000000,26.927881,0.000000,5,7
"99",75.347238,276.600000,70.271544,18.680192,1.264147,4.708424,5.075694,77.892653,90.215882,88.951735,70.271544,0.000000,18.680192,0.000000,6,6
"114",59.490148,245.400010,57.873197,35.698295,1.522416,3.289140,1.616952,60.858995,95.093908,93.571492,57.873197,0.000000,35.698295,-0.000000,5,7
"147",75.320214,116.600000,74.951801,22.200858,2.478928,0.000000,0.368413,75.228955,99.631587,97.152659,74.951801,0.000000,22.200858,0.000000,7,5
"159",59.778552,154.000000,59.529201,17.518636,3.667532,19.035279,0.249351,73.752002,80.715370,77.047838,59.529201,0.000000,17.518636,-0.000000,4,3
"170",91.864608,283.000000,91.728919,8.016728,0.000000,0.118664,0.135689,91.962829,99.745647,99.745647,91.728919,0.000000,8.016728,-0.000000,5,5
"209",84.435816,256.000000,83.685816,10.797625,0.800000,3.966559,0.750000,87.828289,95.283441,94.483441,83.685816,0.000000,10.797625,-0.000000,4,5
"236",60.308845,533.600040,58.413792,30.339593,9.349332,0.002230,1.895052,59.543501,98.102718,88.753385,58.413792,0.000000,30.339593,0.000000,7,7
"322",82.576406,133.000000,81.956624,14.283977,3.139617,0.000000,0.619782,82.467744,99.380218,96.240602,81.956624,0.000000,14.283977,-0.000000,4,3
"329",96.695426,251.400010,94.658831,2.556945,0.203659,0.543970,2.036595,97.166269,97.419435,97.215776,94.658831,0.000000,2.556945,-0.000000,2,2
"332",74.250610,266.797000,73.861400,21.558713,1.583226,0.405927,2.590734,76.143152,97.003340,95.420113,73.861400,0.000000,21.558713,0.000000,6,5
"377",85.887045,156.000000,78.010122,5.328865,4.738462,4.045628,7.876923,88.569915,88.077449,83.338987,78.010122,0.000000,5.328865,-0.000000,6,6
"382",70.043836,265.400000,65.835546,22.685931,7.270234,0.000000,4.208289,68.727812,95.791711,88.521477,65.835546,0.000000,22.685931,-0.000000,7,8
"414",87.518136,229.600000,86.960645,12.280862,0.000000,0.201002,0.557491,87.625276,99.241507,99.241507,86.960645,0.000000,12.280862,-0.000000,7,7
"430",53.767476,286.000000,51.916979,43.331615,2.311741,0.589168,1.850497,53.215253,97.560336,95.248594,51.916979,0.000000,43.331615,0.000000,6,6
"444",85.349650,165.400010,84.498381,9.565943,4.812581,0.271826,0.851270,85.458157,98.876905,94.064323,84.498381,0.000000,9.565943,0.000000,7,7
"481",72.716565,239.000000,72.221075,24.823276,2.460159,0.000000,0.495490,72.580705,99.504510,97.044351,72.221075,0.000000,24.823276,-0.000000,10,10
"503",65.875326,271.800020,59.238888,29.619402,1.133981,3.371291,6.636438,65.826640,89.992271,88.858290,59.238888,0.000000,29.619402,-0.000000,4,5
"517",79.275967,220.200000,78.764537,19.502293,0.127988,1.093751,0.511431,80.049476,98.394818,98.266830,78.764537,0.000000,19.502293,0.000000,5,6
"591",78.918200,222.200000,77.873195,19.507975,1.025203,0.548623,1.045005,79.134301,98.406373,97.381170,77.873195,0.000000,19.507975,-0.000000,5,5
"709",33.098331,317.000000,31.438322,13.522505,53.116016,0.263148,1.660009,32.054786,98.076842,44.960826,31.438322,0.000000,13.522505,-0.000000,7,8
"723",72.794887,186.000000,69.967296,20.871414,6.333699,0.000000,2.827591,72.003254,97.172409,90.838710,69.967296,0.000000,20.871414,-0.000000,7,8
"736",29.131386,570.000000,28.825860,20.423263,50.445351,0.000000,0.305526,28.914200,99.694474,49.249123,28.825860,0.000000,20.423263,0.000000,10,9
"765",49.210552,137.800000,47.466531,45.236139,1.745094,3.808215,1.744020,50.256913,94.447765,92.702671,47.466531,0.000000,45.236139,0.000000,5,5
"769",86.880916,275.000000,84.151422,11.406396,1.712687,0.000000,2.729495,86.512784,97.270505,95.557818,84.151422,0.000000,11.406396,-0.000000,6,6
"770",76.589638,213.000000,75.968258,20.542540,2.867822,0.000000,0.621380,76.443262,99.378620,96.510798,75.968258,0.000000,20.542540,0.000000,6,7
"783",81.424003,189.600000,78.596672,14.791076,1.965918,1.802126,2.844209,82.426482,95.353666,93.387748,78.596672,0.000000,14.791076,-0.000000,4,5
"812",61.244314,222.400010,61.014098,37.831298,0.402878,0.521511,0.230216,61.476231,99.248273,98.845396,61.014098,0.000000,37.831298,0.000000,4,6
"849",70.570247,174.200000,69.796636,19.245626,1.867032,8.317095,0.773611,76.776128,90.909294,89.042262,69.796636,0.000000,19.245626,0.000000,4,4
"886",69.369622,238.000000,69.003761,24.199601,6.430777,0.000000,0.365861,69.257146,99.634139,93.203361,69.003761,0.000000,24.199601,0.000000,5,4
"905",89.673471,174.000000,88.692626,10.277489,0.049040,0.000000,0.980845,89.571181,99.019155,98.970115,88.692626,0.000000,10.277489,0.000000,6,4
"958",87.266648,290.000000,86.357869,12.715234,0.018117,0.000000,0.908779,87.149869,99.091221,99.073103,86.357869,0.000000,12.715234,0.000000,5,6
"969",67.559408,179.200000,67.267863,30.089280,2.351311,0.000000,0.291546,67.464553,99.708454,97.357143,67.267863,0.000000,30.089280,0.000000,6,7
"978",63.617639,674.000000,63.579657,24.126530,12.242136,0.013694,0.037982,63.612530,99.948323,87.706187,63.579657,0.000000,24.126530,-0.000000,7,7
"987",62.795714,161.000000,62.500056,33.142180,4.062106,0.000000,0.295658,62.685391,99.704342,95.642236,62.500056,0.000000,33.142180,-0.000000,6,6
"995",57.968696,228.600000,57.658893,41.949156,0.082148,0.000000,0.309803,57.838077,99.690197,99.608049,57.658893,0.000000,41.949156,0.000000,6,6
"1012",65.247459,291.600000,64.502922,34.575267,0.177274,0.000000,0.744537,64.986772,99.255463,99.078189,64.502922,0.000000,34.575267,0.000000,7,7
"1114",69.525724,187.800000,67.889941,14.696842,15.416400,0.361033,1.635783,69.273200,98.003184,82.586784,67.889941,0.000000,14.696842,0.000000,6,6
"1212",97.205900,191.200000,93.999796,2.585978,0.208122,0.000000,3.206104,97.113351,96.793896,96.585774,93.999796,0.000000,2.585978,-0.000000,2,3
"1218",81.472538,186.000000,81.116747,12.061747,6.465715,0.000000,0.355790,81.406383,99.644210,93.178495,81.116747,0.000000,12.061747,0.000000,9,11
"1225",84.909082,129.400010,82.930720,10.671692,0.197836,4.221391,1.978362,88.412048,93.800248,93.602412,82.930720,0.000000,10.671692,0.000000,3,3
"1235",88.208937,219.200000,88.002372,9.866241,1.924822,0.000000,0.206565,88.184530,99.793435,97.868613,88.002372,0.000000,9.866241,-0.000000,5,5
"1239",82.353682,158.400010,81.334875,16.201754,0.880189,0.564375,1.018807,82.643268,98.416818,97.536629,81.334875,0.000000,16.201754,0.000000,6,6
"1282",67.541839,239.800000,66.670363,30.744149,1.714012,0.000000,0.871476,67.256487,99.128524,97.414512,66.670363,0.000000,30.744149,0.000000,6,6
