MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",76.719666,218.800000,76.602665,23.185087,0.000000,0.095247,0.117002,91.917688,61.996942,2.254601,10.378940,0.000000,0.880832,87.597085,22.126883,0.000000,4.404154,76.602665,15.443318,4.357856,3.066732,0.317180,76.602665,13.827313,4.039360,5.318414,9,10
"25",55.576824,251.400010,49.187918,42.652353,1.455171,0.315652,6.388906,58.297246,41.332258,0.000000,0.600358,0.000000,4.461110,53.499854,46.901717,-nan,0.000000,49.187918,8.229757,27.943953,6.478643,0.000000,49.187918,6.905958,27.579000,8.167394,10,10
"37",53.536555,164.600000,48.980024,45.732005,0.731440,0.000000,4.556531,58.499194,83.727691,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,48.980024,24.307072,11.236154,10.188779,0.000000,48.980024,22.085948,11.309058,12.336999,3,8
"43",69.682119,204.800000,69.160576,28.089424,2.228457,0.000000,0.521543,78.340282,71.258521,20.723778,1.507930,0.000000,9.399087,-nan,0.000000,75.226769,17.312920,69.160576,11.869043,6.907578,8.807837,0.504966,69.160576,9.129678,8.882666,10.077080,15,20
"74",47.350780,180.800000,43.273158,51.558700,1.090520,0.000000,4.077622,62.815532,68.889264,-nan,0.000000,0.000000,17.529347,-nan,0.000000,0.000000,9.503767,43.273158,10.949535,1.287179,39.247660,0.074325,43.273158,11.262904,24.525586,15.770210,6,4
"78",26.617411,257.284000,22.425285,63.776348,9.606241,0.000000,4.192126,39.196239,48.444528,0.000000,9.322842,0.000000,0.929576,46.299412,7.423101,0.000000,29.687827,22.425285,8.981829,16.542645,38.102622,0.149251,22.425285,3.609323,17.888843,42.278183,7,10
"92",51.770687,243.000000,51.082687,45.839123,2.390189,0.000000,0.688000,92.597891,25.728292,0.000000,0.496893,-nan,0.000000,40.508641,67.291399,0.000000,5.795416,51.082687,27.100947,10.979305,7.758872,0.000000,51.082687,18.911243,4.947992,21.979889,7,11
"99",37.533485,276.600000,32.457791,56.493944,1.264147,4.708424,5.075694,68.197977,34.099591,0.000000,4.642314,0.000000,9.276229,-nan,0.000000,21.808177,42.197748,32.457791,37.997281,11.228789,6.296287,0.971587,32.457791,37.813753,6.930304,11.749888,10,14
"114",55.715010,245.400010,54.098058,39.473434,1.522416,3.289140,1.616952,61.846004,87.472197,-nan,0.000000,0.000000,7.621711,-nan,0.000000,-nan,0.000000,54.098058,3.775138,21.544579,14.153716,0.000000,54.098058,3.775138,31.851722,3.846573,6,7
"147",59.530257,116.600000,59.161844,37.990815,2.478928,0.000000,0.368413,88.720285,66.683559,-nan,0.000000,0.000000,27.242599,0.000000,4.888945,0.000000,0.816484,59.161844,19.026021,4.003027,14.961767,0.000000,59.161844,15.789957,3.931578,18.269280,12,6
"159",1.484981,154.000000,1.235630,75.812208,3.667532,19.035279,0.249351,-nan,0.000000,-nan,0.000000,1.530848,80.715370,-nan,0.000000,-nan,0.000000,1.235630,57.711188,0.582383,15.144805,2.373831,1.235630,58.293571,0.177357,17.341279,4,5
"170",82.607101,273.874590,82.466891,17.270281,0.000000,0.122618,0.140210,85.344575,20.363160,0.000000,2.217080,-nan,0.000000,87.722102,74.197993,0.000000,2.958938,82.466891,11.299201,4.075011,1.896069,0.000000,82.466891,10.620518,4.717345,1.932417,8,11
"209",80.015829,219.741960,79.142076,14.431117,0.932002,4.621052,0.873752,86.495107,91.498906,-nan,0.000000,0.000000,3.006290,-nan,0.000000,-nan,0.000000,79.142076,2.850166,7.972223,3.608728,0.000000,79.142076,2.850166,11.424828,0.156124,6,5
"236",42.863043,499.292550,40.837777,48.730419,8.404155,0.002383,2.025266,73.695550,36.248875,-nan,0.000000,-nan,0.000000,13.091069,39.682092,40.510885,22.041384,40.837777,28.409647,8.937229,10.806879,0.448483,40.837777,17.345182,3.937866,27.447371,12,17
"322",61.865481,133.000000,61.245699,34.994902,3.139617,0.000000,0.619782,77.921482,73.526955,-nan,0.000000,15.287842,25.853263,-nan,0.000000,-nan,0.000000,61.245699,20.710925,8.190474,4.790654,1.302850,61.245699,20.710925,10.660647,3.623331,6,6
"329",81.579257,251.400010,79.542662,17.673114,0.203659,0.543970,2.036595,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.649685,97.419435,79.542662,13.835564,3.234304,0.603246,0.000000,79.542662,15.116169,1.564733,0.992212,2,6
"332",43.819233,266.797000,43.430024,51.990090,1.583226,0.405927,2.590734,94.681573,44.723516,0.000000,21.698520,2.183276,8.789829,3.349345,20.053824,12.748059,1.737651,43.430024,39.798424,2.405199,9.786467,0.000000,43.430024,30.431377,2.493656,19.065057,9,8
"377",72.454640,148.917930,64.203115,18.343527,4.963808,4.238026,8.251525,55.112636,37.762726,-nan,0.000000,89.947220,45.756048,55.986219,3.991675,-nan,0.000000,64.203115,11.326339,2.484080,4.211118,0.321989,64.203115,12.761237,2.834494,2.747795,8,10
"382",46.268874,261.232010,41.993441,46.381892,7.349233,0.000000,4.275433,87.187318,42.176550,0.000000,29.419821,0.000000,4.648768,34.358699,15.195098,0.000000,4.284329,41.993441,27.692981,7.561347,9.421054,1.706510,41.993441,24.892520,3.297563,18.191810,16,13
"414",83.295382,185.621420,82.605806,16.455994,0.000000,0.248624,0.689576,85.962124,92.581982,0.000000,1.619953,-nan,0.000000,93.766986,3.221142,0.000000,1.638723,82.605806,3.671640,10.434335,2.350020,0.000000,82.605806,3.129046,12.362162,0.964786,11,12
"430",52.832993,286.000000,50.982497,44.266098,2.311741,0.589168,1.850497,53.302387,92.417035,-nan,0.000000,0.000000,2.865962,75.615021,2.277339,-nan,0.000000,50.982497,0.934483,30.519727,12.811888,0.000000,50.982497,0.934483,40.844808,2.486808,8,7
"444",71.698784,158.584950,70.810931,22.998311,5.019398,0.283507,0.887852,77.472803,85.035907,-nan,0.000000,35.752382,13.792734,-nan,0.000000,-nan,0.000000,70.810931,16.592274,3.798122,2.409882,0.198033,70.810931,16.592274,4.130316,2.275720,8,13
"481",54.071353,223.988290,53.542656,43.303608,2.625039,0.000000,0.528697,69.239153,23.812053,43.008658,38.496338,-nan,0.000000,0.000000,1.181794,56.970532,35.981118,53.542656,24.986846,11.313614,6.119400,0.883747,53.542656,23.518680,6.554191,13.230736,16,31
"503",56.145235,271.800020,49.508797,39.349493,1.133981,3.371291,6.636438,70.660580,70.065653,-nan,0.000000,-nan,0.000000,0.000000,2.900357,0.000000,17.026261,49.508797,4.953682,18.779174,15.616636,0.000000,49.508797,9.730091,18.972118,10.647284,5,6
"517",51.655624,189.131680,51.060182,46.921943,0.149013,1.273420,0.595442,75.934414,30.435028,0.000000,2.995606,0.473956,25.806549,86.002285,32.356361,0.000000,6.537593,51.060182,19.936369,22.519495,3.788228,0.677850,51.060182,30.635756,6.935940,9.350247,8,15
"591",76.490051,181.371090,75.209803,22.124248,0.713576,0.672125,1.280248,76.470948,85.360390,-nan,0.000000,0.000000,2.016391,93.093873,10.670846,-nan,0.000000,75.209803,2.644677,17.166021,2.313550,0.000000,75.209803,1.924215,19.283376,0.916657,5,7
"709",24.210329,307.758480,22.500472,22.843309,52.675312,0.271050,1.709857,0.000000,29.779592,61.347104,24.434007,2.973003,11.524790,0.000000,2.995316,24.477339,29.285386,22.500472,13.195987,5.395695,3.645859,0.605767,22.500472,9.881330,3.817494,9.144486,13,23
"723",71.691574,185.628480,68.858324,21.962050,6.346375,0.000000,2.833251,70.265561,56.719443,-nan,0.000000,-nan,0.000000,71.708333,40.447306,-nan,0.000000,68.858324,7.522326,14.080404,0.359320,0.000000,68.858324,1.048864,14.240832,6.672354,7,14
"736",2.236030,512.185790,1.896017,45.557968,52.206001,0.000000,0.340013,0.517769,24.297314,2.545653,44.058840,-nan,0.000000,0.000000,8.892453,2.894190,22.411379,1.896017,17.653705,19.854317,6.609033,1.440913,1.896017,27.920441,5.247186,12.390342,13,19
"765",39.092225,130.857250,37.255674,55.059830,1.837682,4.010263,1.836551,74.069971,43.120011,-nan,0.000000,0.000000,8.916625,12.623765,42.116551,-nan,0.000000,37.255674,44.508715,8.078184,1.017880,1.455051,37.255674,7.717754,7.149707,40.192370,6,11
"769",60.852313,275.000000,58.122818,37.435000,1.712687,0.000000,2.729495,83.819198,53.460775,0.000000,9.393524,-nan,0.000000,82.851698,13.294484,10.878468,21.121724,58.122818,29.007847,7.822589,0.604564,0.000000,58.122818,26.028604,4.431418,6.974978,10,13
