MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",85.164583,218.800000,85.143358,14.528403,0.115990,0.191024,0.021225,91.219863,61.996942,58.077698,10.378940,98.192548,0.880832,94.100677,22.126883,19.879539,4.404154,85.143358,9.190351,3.029854,0.742865,0.079595,85.143358,8.824218,1.904938,3.799247,9,13
"25",62.824083,251.400010,57.846709,35.448732,0.000000,1.727185,4.977373,65.396684,41.332258,75.384464,0.600358,12.939993,4.461110,63.509274,46.901717,-nan,0.000000,57.846709,4.631983,22.919758,5.209244,0.775846,57.846709,5.837316,23.044439,6.566978,10,14
"37",47.702488,164.600000,43.385777,51.878104,0.179587,0.239820,4.316711,51.817716,83.727691,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,43.385777,22.472274,26.372859,3.032972,0.000000,43.385777,39.365314,3.138780,9.374010,3,7
"43",55.147380,204.800000,54.648513,44.671213,0.158730,0.022677,0.498866,49.824956,71.258521,25.564025,1.507930,66.103741,9.399087,-nan,0.000000,72.462364,17.312920,54.648513,22.057812,2.715434,7.284584,0.164403,54.648513,21.961450,6.111125,16.598639,15,23
"74",17.774572,180.800000,17.748887,78.039845,0.133646,4.051936,0.025686,16.629389,68.889264,-nan,0.000000,34.471255,17.529347,-nan,0.000000,2.635134,9.503767,17.748887,21.242159,10.274303,20.060599,0.648565,17.748887,33.834601,6.890196,37.315048,6,19
"78",26.190622,257.284000,22.003009,73.716448,0.088417,0.004513,4.187613,42.708365,48.444528,4.985496,9.322842,40.776790,0.929576,6.322176,7.423101,0.000000,29.687827,22.003009,21.411877,27.395463,22.855911,0.825789,22.003009,5.663215,26.168059,41.885175,7,21
"92",33.683257,243.000000,33.664146,64.815216,0.832638,0.668889,0.019111,84.995335,25.728292,0.000000,0.496893,-nan,0.000000,9.393462,67.291399,94.476498,5.795416,33.664146,45.952570,9.961664,1.581441,0.649777,33.664146,46.005144,1.428559,17.381512,7,16
"99",62.024828,276.600000,62.008039,28.088906,0.118937,9.767328,0.016790,75.418553,34.099591,41.410419,4.642314,29.502262,9.276229,-nan,0.000000,74.960212,42.197748,62.008039,16.810536,2.472261,2.996929,0.705156,62.008039,15.156765,2.510037,10.422105,10,16
"114",15.938867,245.400010,15.919943,79.112494,0.061471,4.887168,0.018924,16.928976,87.472197,-nan,0.000000,14.587226,7.621711,-nan,0.000000,-nan,0.000000,15.919943,24.118865,13.649068,27.137238,2.587884,15.919943,32.483335,14.495924,32.133235,6,35
"147",70.097968,116.600000,69.858997,29.582549,0.190041,0.129443,0.238970,70.030447,66.683559,-nan,0.000000,81.176953,27.242599,21.384811,4.888945,0.000000,0.816484,69.858997,20.173097,4.829187,0.786609,0.009957,69.858997,19.067849,1.832101,8.682598,12,12
"159",15.432225,154.000000,15.371913,65.159106,0.184351,19.224318,0.060312,-nan,0.000000,-nan,0.000000,19.044592,80.715370,-nan,0.000000,-nan,0.000000,15.371913,36.043691,13.366541,13.185633,0.000000,15.371913,40.386124,7.614334,17.158649,4,17
"170",46.512049,273.874590,46.495093,53.176008,0.066071,0.245872,0.016957,55.562632,20.363160,64.436169,2.217080,-nan,0.000000,43.495404,74.197993,49.999929,2.958938,46.495093,34.663583,6.273956,1.284481,0.050873,46.495093,40.034598,0.517190,12.624220,8,24
"209",63.454331,219.741960,63.433197,30.934629,0.137370,5.473670,0.021134,69.326727,91.498906,-nan,0.000000,0.000000,3.006290,-nan,0.000000,-nan,0.000000,63.433197,2.065837,9.145676,3.085518,0.443810,63.433197,15.528072,9.283031,6.123527,6,18
"236",46.612684,499.292550,45.412836,52.521212,0.038303,0.827802,1.199847,78.119200,36.248875,-nan,0.000000,-nan,0.000000,8.912740,39.682092,61.514938,22.041384,45.412836,18.953410,5.736471,2.608972,0.062775,45.412836,20.571804,0.874297,31.075111,12,24
"322",45.759014,133.000000,45.165421,54.008226,0.206571,0.026189,0.593593,54.054362,73.526955,-nan,0.000000,20.967930,25.853263,-nan,0.000000,-nan,0.000000,45.165421,40.617442,10.457721,1.850624,0.593598,45.165421,44.222645,3.526643,6.258938,6,16
"329",74.567960,251.400010,72.453827,24.965608,0.000000,0.466432,2.114133,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.373073,97.419435,72.453827,14.754915,4.368757,0.909774,0.295560,72.453827,16.671436,1.565548,6.728624,2,14
