MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",76.552386,218.800000,76.435384,23.352367,0.000000,0.095247,0.117002,-nan,0.000000,0.000000,0.891440,-nan,0.000000,92.984876,61.105503,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,2.254601,10.378940,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.880832,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.597085,22.126883,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.404154,76.602665,15.443318,4.357856,3.066732,0.317180,76.435384,13.994593,3.697112,5.660663,10,10
"25",55.481804,251.400010,49.092898,42.747373,1.455171,0.315652,6.388906,-nan,0.000000,0.000000,10.857211,-nan,0.000000,78.754754,30.475047,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.600358,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.461110,-nan,0.000000,0.000000,17.082469,-nan,0.000000,84.148167,29.819247,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.187918,8.229757,27.943953,6.478643,0.000000,49.092898,7.000978,2.848572,32.897823,12,10
"37",53.536555,164.600000,48.980024,45.732005,0.731440,0.000000,4.556531,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.499194,83.727691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.980024,24.307072,11.236154,10.188779,0.000000,48.980024,22.085948,11.309058,12.336999,3,8
"43",68.127842,204.800000,67.606299,29.643701,2.228457,0.000000,0.521543,-nan,0.000000,-nan,0.000000,0.000000,1.122446,78.672792,70.136074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.723778,1.507930,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.399087,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.133784,0.000000,2.636050,89.461081,13.543086,69.160576,11.869043,6.907578,8.807837,0.504966,67.606299,10.683955,8.180713,10.779033,17,20
"74",47.350780,180.800000,43.273158,51.558700,1.090520,0.000000,4.077622,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.815532,68.889264,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,17.529347,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.503767,-nan,0.000000,43.273158,10.949535,1.287179,39.247660,0.074325,43.273158,11.262904,24.525586,15.770210,6,4
"78",26.617411,257.284000,22.425285,63.776348,9.606241,0.000000,4.192126,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.196239,48.444528,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.322842,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.929576,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.299412,7.423101,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.934092,0.000000,28.753735,22.425285,8.981829,16.542645,38.102622,0.149251,22.425285,3.609323,17.888843,42.278183,7,10
"92",51.770687,243.000000,51.082687,45.839123,2.390189,0.000000,0.688000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.597891,25.728292,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.496893,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.201527,-nan,0.000000,44.620868,61.089872,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.795416,51.082687,27.100947,10.979305,7.758872,0.000000,51.082687,18.911243,2.704128,24.223753,8,11
"99",35.634794,276.600000,30.559100,58.392636,1.264147,4.708424,5.075694,-nan,0.000000,-nan,0.000000,0.000000,3.097668,68.887791,31.001923,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.642314,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.276229,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.659100,0.000000,0.425343,-nan,0.000000,24.795851,37.113304,32.457791,37.997281,11.228789,6.296287,0.971587,30.559100,39.712444,5.731327,12.948865,13,14
"114",55.715010,245.400010,54.098058,39.473434,1.522416,3.289140,1.616952,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.846004,87.472197,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.621711,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.098058,3.775138,21.544579,14.153716,0.000000,54.098058,3.775138,31.851722,3.846573,6,7
"147",59.530257,116.600000,59.161844,37.990815,2.478928,0.000000,0.368413,-nan,0.000000,0.000000,2.439485,-nan,0.000000,92.089185,64.244074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,27.242599,-nan,0.000000,-nan,0.000000,0.000000,3.236063,0.000000,1.652882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.816484,59.161844,19.026021,4.003027,14.961767,0.000000,59.161844,15.789957,1.492093,20.708765,14,6
