MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",84.299672,218.800000,84.278447,15.393314,0.115990,0.191024,0.021225,-nan,0.000000,0.000000,0.891440,-nan,0.000000,92.550627,61.105503,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.077698,10.378940,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.880832,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.100677,22.126883,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.879539,4.404154,85.143358,9.190351,3.029854,0.742865,0.079595,84.278447,9.689129,1.873102,3.831083,10,13
"25",59.753014,251.400010,54.775640,38.519801,0.000000,1.727185,4.977373,-nan,0.000000,11.824765,10.857211,-nan,0.000000,81.785127,30.475047,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.384464,0.600358,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.939993,4.461110,-nan,0.000000,0.000000,17.082469,-nan,0.000000,92.349418,29.819247,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.846709,4.631983,22.919758,5.209244,0.775846,54.775640,8.908385,1.357711,28.253706,12,16
"37",47.702488,164.600000,43.385777,51.878104,0.179587,0.239820,4.316711,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.817716,83.727691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.385777,22.472274,26.372859,3.032972,0.000000,43.385777,39.365314,3.138780,9.374010,3,7
"43",50.867344,204.800000,50.368478,48.951249,0.158730,0.022677,0.498866,-nan,0.000000,-nan,0.000000,47.474630,1.122446,49.345274,70.136074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.564025,1.507930,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.489806,9.399087,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.133784,0.000000,2.636050,84.261202,13.543086,54.648513,22.057812,2.715434,7.284584,0.164403,50.368478,26.241485,5.691622,17.018142,17,26
"74",17.524135,180.800000,17.498450,78.290282,0.133646,4.051936,0.025686,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.629389,68.889264,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,34.471255,17.529347,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.503767,-nan,0.000000,17.748887,21.242159,10.274303,20.060599,0.648565,17.498450,34.085038,5.085767,39.119477,6,21
"78",26.028171,257.284000,21.840558,73.878899,0.088417,0.004513,4.187613,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.373032,48.444528,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.985496,9.322842,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.776790,0.929576,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.322176,7.423101,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.934092,0.000000,28.753735,22.003009,21.411877,27.395463,22.855911,0.825789,21.840558,5.825665,26.113909,41.939324,7,23
"92",32.378925,243.000000,32.359814,66.119548,0.832638,0.668889,0.019111,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.995335,25.728292,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.496893,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.201527,-nan,0.000000,8.211933,61.089872,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.476498,5.795416,33.664146,45.952570,9.961664,1.581441,0.649777,32.359814,47.309477,0.960339,17.849732,8,17
"99",57.407701,276.600000,57.390911,32.706034,0.118937,9.767328,0.016790,-nan,0.000000,-nan,0.000000,0.000000,3.097668,73.003012,31.001923,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.410419,4.642314,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.502262,9.276229,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.659100,0.000000,0.425343,-nan,0.000000,81.101575,37.113304,62.008039,16.810536,2.472261,2.996929,0.705156,57.390911,19.773892,1.103916,11.828226,13,17
"114",15.678660,245.400010,15.659736,79.372701,0.061471,4.887168,0.018924,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.631502,87.472197,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.587226,7.621711,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.919943,24.118865,13.649068,27.137238,2.587884,15.659736,32.743542,14.150558,32.478602,6,38
"147",67.319939,116.600000,67.080969,32.360577,0.190041,0.129443,0.238970,-nan,0.000000,10.612115,2.439485,-nan,0.000000,71.449751,64.244074,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.767591,27.242599,-nan,0.000000,-nan,0.000000,0.000000,3.236063,16.867270,1.652882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.816484,69.858997,20.173097,4.829187,0.786609,0.009957,67.080969,21.845878,0.189179,10.325520,14,14
"159",15.432225,154.000000,15.371913,65.159106,0.184351,19.224318,0.060312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.044592,80.715370,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.371913,36.043691,13.366541,13.185633,0.000000,15.371913,40.386124,6.800127,17.972855,4,19
"170",46.512049,273.874590,46.495093,53.176008,0.066071,0.245872,0.016957,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.562632,20.363160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.436169,2.217080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.495404,74.197993,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.999929,2.958938,46.495093,34.663583,6.273956,1.284481,0.050873,46.495093,40.034598,0.517190,12.624220,8,25
"209",59.534004,219.741960,59.512870,34.854956,0.137370,5.473670,0.021134,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.042165,91.498906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.006290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.433197,2.065837,9.145676,3.085518,0.443810,59.512870,19.448399,7.935744,7.470813,6,22
"236",44.073473,499.292550,42.873626,55.060423,0.038303,0.827802,1.199847,-nan,0.000000,46.555824,0.978945,0.000000,1.960218,83.643998,33.309712,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.063951,0.000000,16.645490,7.139311,13.972652,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.514938,22.041384,45.412836,18.953410,5.736471,2.608972,0.062775,42.873626,23.111015,0.083704,31.865704,15,27
"322",45.488404,133.000000,44.894811,54.278836,0.206571,0.026189,0.593593,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.686321,73.526955,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.967930,25.853263,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.165421,40.617442,10.457721,1.850624,0.593598,44.894811,44.493255,2.898132,6.887450,6,17
"329",74.567960,251.400010,72.453827,24.965608,0.000000,0.466432,2.114133,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.373073,97.419435,72.453827,14.754915,4.368757,0.909774,0.295560,72.453827,16.671436,1.565548,6.728624,2,16
"332",33.962935,266.797000,33.962935,63.040405,0.000000,0.873072,2.123588,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.259514,44.723516,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.013584,21.698520,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.970835,8.789829,-nan,0.000000,-nan,0.000000,0.000000,18.732220,42.574693,1.321604,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.041372,1.737651,34.983917,29.946108,6.702001,6.818791,1.006917,33.962935,32.673655,2.715520,27.651230,9,24
"377",64.233098,148.917930,60.397355,25.329952,1.783143,8.653808,3.835743,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.952673,37.762726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.410280,45.756048,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.507759,3.991675,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.397355,18.024859,4.054051,2.759885,0.085753,60.397355,18.430263,3.672035,3.227654,8,11
"382",45.723120,261.232010,45.154247,50.518550,0.051769,3.706561,0.568873,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.632255,42.176550,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.066627,29.419821,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.248859,0.000000,3.399909,-nan,0.000000,-nan,0.000000,0.000000,3.048792,37.833888,12.146306,-nan,0.000000,-nan,0.000000,0.000000,0.711088,-nan,0.000000,40.049708,3.573241,45.158689,23.248223,11.564114,7.702001,0.977751,45.154247,27.585879,0.959970,21.972701,19,22
"414",70.245989,185.621420,69.370337,29.565783,0.125679,0.062548,0.875652,-nan,0.000000,0.000000,1.626219,55.120524,13.741474,74.231901,77.214289,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.619953,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.349498,3.221142,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.618247,1.638723,73.573477,9.450781,6.792569,1.876403,0.018764,69.370337,18.069706,3.483848,8.012230,15,26
"430",31.724388,286.000000,31.046525,66.501634,0.012177,1.761801,0.677863,-nan,0.000000,-nan,0.000000,0.000000,21.620507,40.688039,70.796528,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.289521,-nan,0.000000,-nan,0.000000,0.000000,0.576441,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.395795,2.277339,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.414305,18.040091,19.144285,7.623659,0.040594,31.046525,33.932758,10.554559,22.014317,10,33
"444",54.533983,158.584950,54.504699,44.130901,0.193040,1.142076,0.029284,-nan,0.000000,34.414935,8.572882,-nan,0.000000,60.491927,76.463025,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.428861,13.792734,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.788849,26.055379,5.344323,5.351641,0.863874,54.504699,28.515230,2.855191,12.760480,9,31
"481",50.236509,223.988290,49.707811,49.640429,0.123062,0.000000,0.528697,-nan,0.000000,67.171607,5.131474,81.860469,2.228817,73.787023,16.451762,-nan,0.000000,-nan,0.000000,0.000000,1.135135,-nan,0.000000,47.017221,37.361203,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.181794,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.940733,35.981118,50.417919,22.308901,8.080748,4.794572,0.974458,49.707811,25.289281,0.435399,23.915750,20,32
"503",56.447627,271.800020,49.541016,26.261282,14.189973,3.101118,6.906611,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.873182,70.065653,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.900357,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.581013,17.026261,49.541016,11.733851,2.772226,3.045586,0.038439,49.541016,16.594843,1.084974,8.581465,5,19
"517",59.061946,189.131680,58.924163,39.206975,0.000000,1.731080,0.137782,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.650328,30.435028,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.995606,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,22.692678,25.806549,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.095686,32.356361,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.901462,6.537593,61.649678,19.348750,6.997963,1.467095,0.147333,58.924163,35.603665,0.411282,3.192028,8,18
"591",53.699893,181.371090,52.496462,45.487151,0.064014,0.748942,1.203431,-nan,0.000000,1.814350,18.345912,-nan,0.000000,65.927957,67.014478,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.016391,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.804998,10.670846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.373436,6.689303,12.936886,3.450258,0.524901,52.496462,22.180290,2.496463,20.810397,6,21
