Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,93,122,0.886479,0.901385,0.916801,0.886479
"25",251.400010,287,109,0.440803,0.596690,0.440803,0.923155
"37",164.600000,80,102,0.764879,0.786712,0.764879,0.809829
"43",204.800000,121,144,0.794962,0.815213,0.836522,0.794962
"74",180.800000,114,20,0.358432,0.522766,0.358432,0.965369
"78",268.000000,134,177,0.697191,0.722177,0.697191,0.749021
"92",243.000000,171,155,0.775506,0.782937,0.775506,0.790513
"99",276.600000,109,174,0.763589,0.823367,0.893298,0.763589
"114",245.400010,147,140,0.687483,0.694017,0.700677,0.687483
"147",116.600000,63,50,0.766357,0.807773,0.766357,0.853921
"159",154.000000,52,30,0.722067,0.803219,0.722067,0.904923
"170",283.000000,67,91,0.833479,0.852005,0.871373,0.833479
"209",256.000000,270,125,0.668216,0.770132,0.668216,0.908731
"236",533.600040,145,234,0.781254,0.816264,0.854558,0.781254
"322",133.000000,72,77,0.838589,0.852189,0.866239,0.838589
"329",251.400010,23,64,0.732519,0.840176,0.984929,0.732519
"332",266.797000,175,133,0.717253,0.790441,0.717253,0.880261
"377",156.000000,82,51,0.717924,0.778949,0.717924,0.851312
"382",265.400000,86,68,0.749085,0.806784,0.749085,0.874112
"414",229.600000,103,97,0.874702,0.897857,0.874702,0.922271
"430",286.000000,374,273,0.592148,0.680525,0.592148,0.799912
"444",165.400010,44,73,0.799979,0.863202,0.937276,0.799979
"481",239.000000,141,185,0.786595,0.789377,0.786595,0.792179
"503",271.800020,191,193,0.743025,0.756838,0.743025,0.771174
"517",220.200000,160,194,0.765428,0.777988,0.765428,0.790967
"591",222.200000,152,68,0.611882,0.740727,0.611882,0.938307
"709",317.000000,145,206,0.751116,0.757547,0.764090,0.751116
"723",186.000000,80,101,0.823070,0.838159,0.853813,0.823070
"736",570.000000,280,233,0.594803,0.682665,0.594803,0.800984
"765",137.800000,111,102,0.641106,0.733385,0.641106,0.856695
"769",275.000000,108,173,0.838860,0.867345,0.897832,0.838860
"770",213.000000,133,144,0.756173,0.782457,0.756173,0.810634
"783",189.600000,90,112,0.825074,0.852719,0.882281,0.825074
"812",222.400010,156,254,0.618470,0.717632,0.854664,0.618470
"849",174.200000,133,130,0.773897,0.776730,0.773897,0.779584
"886",238.000000,163,178,0.756487,0.758535,0.760594,0.756487
"905",174.000000,82,63,0.824392,0.870553,0.824392,0.922190
"958",290.000000,79,89,0.862513,0.878653,0.895408,0.862513
"969",179.200000,174,102,0.620123,0.720036,0.620123,0.858327
"978",674.000000,300,405,0.785565,0.794937,0.804535,0.785565
"987",161.000000,200,67,0.411506,0.570047,0.411506,0.927313
"995",228.600000,311,87,0.392321,0.548998,0.392321,0.914018
"1012",291.600000,265,201,0.603614,0.703524,0.603614,0.843067
"1114",187.800000,67,94,0.820520,0.840675,0.861845,0.820520
"1212",191.200000,193,45,0.193860,0.322576,0.193860,0.959933
"1218",186.000000,93,114,0.828647,0.841955,0.855698,0.828647
"1225",129.400010,74,87,0.807466,0.808205,0.807466,0.808945
"1235",219.200000,81,95,0.788686,0.815424,0.788686,0.844038
"1239",158.400010,57,73,0.837387,0.860728,0.885406,0.837387
"1282",239.800000,241,240,0.757826,0.775938,0.757826,0.794937
