MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",88.312467,175.804082,84.514541,11.489904,0.167899,0.029730,3.797926,-nan,0.000000,-nan,0.000000,0.000000,2.535909,93.660061,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,87.050450,3.401023,5.193780,0.359191,84.514541,3.561119,5.552971,2.375814,5,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.396738,110.184490,88.700674,7.272431,0.000000,0.330831,3.696065,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.072426,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.702704,20.604316,88.700674,3.135812,3.376535,0.760083,88.700674,1.758034,3.932513,1.581884,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",79.389796,177.580408,77.273349,19.674282,0.935922,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,92.690787,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.203054,28.390328,78.097277,10.588953,7.108121,0.216240,77.273349,8.851301,4.148837,6.674145,8,14
"Beatles/01_-_Please_Please_Me/04_-_Chains",88.738258,146.494694,85.549955,9.548033,0.000000,1.713710,3.188303,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.454156,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,85.549955,1.306117,7.823797,0.418119,85.549955,1.306117,8.241916,-0.000000,4,6
"Beatles/01_-_Please_Please_Me/05_-_Boys",89.085438,147.513469,85.632508,9.469316,1.445246,0.000000,3.452930,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.695087,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.632508,0.000000,7.872447,1.596870,85.632508,0.000000,9.469316,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",80.542839,140.576508,77.663459,18.330139,0.716310,0.410713,2.879379,-nan,0.000000,0.000000,2.560239,-nan,0.000000,82.223273,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.914319,36.252276,78.118727,6.609057,6.676311,4.589502,77.663459,5.401260,5.024054,7.904825,10,11
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",78.769056,123.376327,75.184589,20.989453,0.241491,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.771304,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,75.638091,4.149906,78.436657,1.805085,13.907764,2.024535,75.184589,3.667058,15.025052,2.297343,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",83.007115,142.759184,79.809176,16.666578,0.326307,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.445741,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.809176,0.000000,15.895849,0.770729,79.809176,0.000000,16.666578,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",87.870343,125.753469,84.503010,11.913941,0.037320,0.178397,3.367333,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.107350,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.839684,11.254214,84.503010,1.338655,4.691014,5.884272,84.503010,1.338655,9.850799,0.724487,8,9
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",83.780847,158.066939,80.873890,15.132333,0.000000,1.086819,2.906958,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.467721,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.769114,33.792221,80.873890,10.043642,3.973478,1.115214,80.873890,5.921993,4.723339,4.487001,5,7
