MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",73.969811,175.804082,70.171885,25.832560,0.167899,0.029730,3.797926,77.227584,89.126356,-nan,0.000000,36.811165,3.644964,0.000000,3.401023,-nan,0.000000,70.171885,20.279589,4.241641,1.311330,0.000000,70.171885,17.903775,4.600832,3.327953,5,7
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.396738,110.184490,88.700674,7.272431,0.000000,0.330831,3.696065,92.072426,75.368789,-nan,0.000000,-nan,0.000000,93.702704,20.604316,-nan,0.000000,88.700674,3.135812,3.376535,0.760083,0.000000,88.700674,1.758034,3.932513,1.581884,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",75.475470,177.580408,73.359023,23.588608,0.935922,0.000000,2.116446,91.784847,64.705795,-nan,0.000000,0.000000,4.787431,49.203054,28.390328,-nan,0.000000,73.359023,15.327207,7.108121,0.216240,0.000000,73.359023,12.765627,4.472590,6.350392,7,14
"Beatles/01_-_Please_Please_Me/04_-_Chains",70.132362,146.494694,66.944059,28.153928,0.000000,1.713710,3.188303,92.373184,71.809188,-nan,0.000000,2.686217,22.769059,0.000000,0.519740,-nan,0.000000,66.944059,19.125636,5.768864,2.986077,0.273352,66.944059,19.912013,5.127254,3.114662,7,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",88.738351,147.513469,85.285421,9.816403,1.445246,0.000000,3.452930,88.335587,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.285421,0.347087,7.872447,1.596870,0.000000,85.285421,0.347087,9.469316,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",70.869935,138.919232,67.956205,27.989598,0.724855,0.415613,2.913730,87.496739,47.810678,0.000000,7.906845,0.000000,4.268376,92.066202,12.354255,60.620724,24.330503,67.956205,14.637852,7.478633,5.723730,0.149382,67.956205,16.099458,3.050850,8.839290,13,14
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",82.021124,123.376327,78.436657,17.737385,0.241491,0.000000,3.584467,81.771304,88.106312,-nan,0.000000,-nan,0.000000,76.914275,8.309221,-nan,0.000000,78.436657,1.805085,13.907764,2.024535,0.000000,78.436657,0.414990,15.932300,1.390095,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",83.007115,142.759184,79.809176,16.666578,0.326307,0.000000,3.197939,82.445741,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.809176,0.000000,15.895849,0.770729,0.000000,79.809176,0.000000,16.666578,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",87.361410,125.753469,83.994077,12.422873,0.037320,0.178397,3.367333,89.256681,83.076620,-nan,0.000000,19.173911,2.123436,83.839684,11.254214,-nan,0.000000,83.994077,1.847587,4.691014,5.330997,0.553275,83.994077,1.847587,8.643441,1.931845,8,10
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",83.780847,158.066939,80.873890,15.132333,0.000000,1.086819,2.906958,90.467721,62.214002,-nan,0.000000,-nan,0.000000,72.769114,33.792221,-nan,0.000000,80.873890,10.043642,3.973478,1.115214,0.000000,80.873890,5.921993,4.723339,4.487001,5,7
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",67.661296,116.532244,63.725107,31.392580,0.946124,0.000000,3.936189,65.767369,45.220725,-nan,0.000000,0.000000,1.673766,69.117543,49.169320,-nan,0.000000,63.725107,9.914266,14.295027,7.183287,0.000000,63.725107,5.728907,13.182486,12.481187,13,17
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",77.429370,117.977687,73.361361,22.022804,0.136729,0.411096,4.068009,84.285321,42.425111,-nan,0.000000,-nan,0.000000,80.066560,46.964950,0.000000,6.130833,73.361361,8.847603,10.426070,2.749132,0.000000,73.361361,10.138888,8.487405,3.396512,7,10
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",78.029264,112.875102,73.075751,21.820570,0.017559,0.132607,4.953512,86.942487,68.861146,0.000000,5.799865,-nan,0.000000,65.206356,20.252870,-nan,0.000000,73.075751,11.911751,8.268436,1.640383,0.000000,73.075751,8.531375,8.431236,4.857960,9,10
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",82.917169,153.155918,82.248570,16.242009,0.000000,0.840822,0.668600,87.153745,94.371814,-nan,0.000000,0.000000,4.118765,-nan,0.000000,-nan,0.000000,82.248570,5.292707,7.471278,3.478024,0.000000,82.248570,5.292707,10.702470,0.246832,5,4
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",71.112979,125.498415,67.322552,27.792176,1.094846,0.000000,3.790426,85.478317,65.681959,61.186419,2.667084,0.000000,5.014094,47.741052,19.997100,0.000000,2.849336,67.322552,13.338388,10.887074,1.804202,0.130619,67.322552,13.499653,8.394922,5.897601,12,16
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",80.422988,121.392510,76.737691,19.353309,0.000000,0.223703,3.685297,88.997188,47.438695,-nan,0.000000,-nan,0.000000,70.949540,48.652304,-nan,0.000000,76.737691,12.779732,5.256210,1.317367,0.000000,76.737691,10.277031,4.584063,4.492215,5,10
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",83.327006,123.367620,80.112194,15.756053,0.753285,0.163656,3.214812,90.090015,63.676814,-nan,0.000000,0.000000,2.465649,74.627420,30.479068,-nan,0.000000,80.112194,10.188220,4.487527,1.080306,0.000000,80.112194,6.139825,4.031299,5.584928,7,12
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",70.784777,149.394286,67.259685,28.892171,0.000000,0.323052,3.525092,70.920522,50.735422,-nan,0.000000,-nan,0.000000,68.869032,45.416434,-nan,0.000000,67.259685,16.145668,8.637081,4.109422,0.000000,67.259685,15.102703,9.863437,3.926032,8,11
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",65.030075,108.016327,61.342402,34.182196,0.682339,0.105390,3.687673,66.745978,90.306409,-nan,0.000000,18.074745,5.900528,-nan,0.000000,-nan,0.000000,61.342402,19.178372,11.817488,3.186337,0.000000,61.342402,19.178372,12.402587,2.601237,7,9
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",57.311501,123.016417,54.359846,41.367627,0.000000,1.320872,2.951655,95.471574,34.038206,0.000000,3.467810,4.125128,26.312436,68.477261,30.342355,0.000000,1.566667,54.359846,27.104743,8.070306,4.909198,1.230446,54.359846,28.815425,4.795822,7.756379,15,15
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",85.437826,156.734694,82.205795,13.451161,0.646303,0.464710,3.232030,91.971601,68.950351,-nan,0.000000,-nan,0.000000,68.698558,27.352909,-nan,0.000000,82.205795,5.541841,5.707091,2.202230,0.000000,82.205795,3.640189,7.010987,2.799985,5,6
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",70.097849,167.627755,67.651864,27.626428,1.951708,0.324014,2.445985,69.579208,97.230000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.651864,0.824239,26.634366,0.167823,0.000000,67.651864,0.824239,26.022875,0.779314,3,4
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",49.792718,152.581224,47.487310,49.434648,0.466378,0.306257,2.305408,57.381008,81.112583,-nan,0.000000,1.382212,4.633910,7.559302,11.641843,-nan,0.000000,47.487310,35.648323,11.425411,2.360914,0.000000,47.487310,36.703372,8.445796,4.285479,8,12
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",85.298553,182.143129,83.160793,13.608376,0.039312,1.053759,2.137760,87.445527,63.784149,-nan,0.000000,0.000000,4.315187,95.385663,28.709145,-nan,0.000000,83.160793,7.970423,5.264464,0.373488,0.000000,83.160793,5.689199,5.136261,2.782915,6,7
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",86.052837,118.987755,82.116504,12.768732,0.000000,1.178431,3.936334,86.542973,94.885235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.116504,2.182421,4.968332,5.617978,0.000000,82.116504,1.644551,10.294527,0.829653,5,9
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",84.364418,144.771973,81.451315,15.082813,0.064134,0.488635,2.913103,91.050826,71.301309,-nan,0.000000,-nan,0.000000,65.347333,25.296953,-nan,0.000000,81.451315,5.434737,5.925223,3.722853,0.000000,81.451315,5.434737,5.195080,4.452996,6,8
