MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",73.137715,175.804082,69.339789,26.664656,0.167899,0.029730,3.797926,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.227584,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,45.954280,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.171885,20.279589,4.241641,1.311330,0.000000,69.339789,18.735870,4.600832,3.327953,6,7
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.396738,110.184490,88.700674,7.272431,0.000000,0.330831,3.696065,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.072426,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.702704,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.700674,3.135812,3.376535,0.760083,0.000000,88.700674,1.758034,3.932513,1.581884,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",74.651542,177.580408,72.535095,24.412537,0.935922,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,92.217237,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.203054,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.359023,15.327207,7.108121,0.216240,0.000000,72.535095,13.589555,4.099660,6.723322,8,14
"Beatles/01_-_Please_Please_Me/04_-_Chains",70.132362,146.494694,66.944059,28.153928,0.000000,1.713710,3.188303,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.373184,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,2.686217,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.944059,19.125636,5.768864,2.986077,0.273352,66.944059,19.912013,5.127254,3.114662,7,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",88.738351,147.513469,85.285421,9.816403,1.445246,0.000000,3.452930,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.335587,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.285421,0.347087,7.872447,1.596870,0.000000,85.285421,0.347087,9.469316,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",70.869935,138.919232,67.956205,27.989598,0.724855,0.415613,2.913730,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.496739,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,0.000000,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.066202,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.620724,24.330503,67.956205,14.637852,7.478633,5.723730,0.149382,67.956205,16.099458,3.050850,8.839290,14,14
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",78.769056,123.376327,75.184589,20.989453,0.241491,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.771304,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.159316,-nan,0.000000,75.638091,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.436657,1.805085,13.907764,2.024535,0.000000,75.184589,3.667058,15.025052,2.297343,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",83.007115,142.759184,79.809176,16.666578,0.326307,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.445741,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.809176,0.000000,15.895849,0.770729,0.000000,79.809176,0.000000,16.666578,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",87.361410,125.753469,83.994077,12.422873,0.037320,0.178397,3.367333,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.256681,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.173911,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.839684,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.994077,1.847587,4.691014,5.330997,0.553275,83.994077,1.847587,8.643441,1.931845,8,10
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",83.780847,158.066939,80.873890,15.132333,0.000000,1.086819,2.906958,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.467721,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.769114,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.873890,10.043642,3.973478,1.115214,0.000000,80.873890,5.921993,4.723339,4.487001,5,7
