Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,75,0.875640,0.900681,0.927196,0.875640
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,56,0.887258,0.910427,0.934839,0.887258
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,101,0.750533,0.817132,0.896702,0.750533
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,60,0.830877,0.885837,0.948582,0.830877
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,83,0.752035,0.819084,0.899258,0.752035
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,92,0.891094,0.909029,0.891094,0.927700
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,82,0.868398,0.879458,0.890804,0.868398
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,65,0.789654,0.809791,0.789654,0.830983
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,73,0.930917,0.931330,0.931742,0.930917
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,66,0.910177,0.915541,0.920969,0.910177
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,102,0.851489,0.888894,0.851489,0.929736
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,65,0.861925,0.865092,0.868282,0.861925
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,69,0.880641,0.889120,0.897764,0.880641
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,115,0.873379,0.887510,0.873379,0.902105
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,70,0.885183,0.906256,0.928356,0.885183
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",124.551837,45,58,0.826182,0.867150,0.912394,0.826182
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",129.567347,71,78,0.921698,0.924270,0.921698,0.926857
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",149.394286,77,85,0.872000,0.880639,0.889452,0.872000
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",108.016327,63,61,0.903935,0.926717,0.903935,0.950676
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",136.751020,91,94,0.846289,0.858355,0.846289,0.870770
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",156.734694,41,56,0.890671,0.914778,0.940227,0.890671
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",167.627755,65,55,0.687529,0.761792,0.687529,0.854042
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",152.581224,85,100,0.835550,0.846117,0.835550,0.856955
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",182.909388,55,95,0.767206,0.841667,0.932134,0.767206
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",118.987755,30,42,0.888884,0.913592,0.939713,0.888884
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",147.670204,70,80,0.884288,0.904666,0.926005,0.884288
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",128.339592,65,68,0.809092,0.844460,0.809092,0.883062
"Beatles/02_-_With_the_Beatles/14_-_Money",167.444898,88,115,0.779438,0.827252,0.881315,0.779438
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",152.555102,95,79,0.785856,0.853416,0.785856,0.933686
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",164.101224,136,119,0.787886,0.838707,0.787886,0.896536
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",142.053878,76,96,0.866071,0.899486,0.935584,0.866071
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",118.700408,108,88,0.725240,0.801244,0.725240,0.895042
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",151.092245,60,78,0.887144,0.914600,0.943810,0.887144
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",130.089796,99,84,0.777950,0.834810,0.777950,0.900637
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",134.948571,58,59,0.923240,0.933603,0.923240,0.944203
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",133.407347,72,78,0.908834,0.909235,0.908834,0.909637
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",107.755102,38,47,0.895502,0.912164,0.929459,0.895502
"Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today",158.850612,93,58,0.633043,0.744755,0.633043,0.904345
"Beatles/03_-_A_Hard_Day's_Night/11_-_When_I_Get_Home",138.370612,54,49,0.775665,0.838600,0.775665,0.912649
"Beatles/03_-_A_Hard_Day's_Night/12_-_You_Can't_Do_That",157.648980,58,64,0.872082,0.883178,0.894559,0.872082
"Beatles/03_-_A_Hard_Day's_Night/13_-_I'll_Be_Back",140.434286,65,68,0.910931,0.921189,0.931682,0.910931
"Beatles/04_-_Beatles_for_Sale/01_-_No_Reply",137.848163,57,57,0.923446,0.937392,0.923446,0.951765
"Beatles/04_-_Beatles_for_Sale/02_-_I'm_a_Loser",153.521633,105,105,0.875136,0.891483,0.875136,0.908452
"Beatles/04_-_Beatles_for_Sale/03_-_Baby's_In_Black",127.582041,68,64,0.878675,0.910339,0.878675,0.944371
"Beatles/04_-_Beatles_for_Sale/04_-_Rock_and_Roll_Music",153.756735,55,62,0.886693,0.899042,0.911739,0.886693
"Beatles/04_-_Beatles_for_Sale/05_-_I'll_Follow_the_Sun",111.046531,78,72,0.805803,0.856486,0.805803,0.913972
"Beatles/04_-_Beatles_for_Sale/06_-_Mr._Moonlight",157.204898,97,50,0.586434,0.715423,0.586434,0.917154
"Beatles/04_-_Beatles_for_Sale/07_-_Kansas_City-_Hey,_Hey,_Hey,_Hey",153.469388,62,72,0.836081,0.883831,0.937364,0.836081
"Beatles/04_-_Beatles_for_Sale/08_-_Eight_Days_a_Week",165.433469,95,91,0.897137,0.909467,0.897137,0.922140
"Beatles/04_-_Beatles_for_Sale/09_-_Words_of_Love",134.739592,102,109,0.911903,0.918774,0.925750,0.911903
"Beatles/04_-_Beatles_for_Sale/10_-_Honey_Don't",179.617959,53,57,0.938009,0.942384,0.946800,0.938009
"Beatles/04_-_Beatles_for_Sale/11_-_Every_Little_Thing",124.551837,80,73,0.870581,0.878423,0.886407,0.870581
"Beatles/04_-_Beatles_for_Sale/12_-_I_Don't_Want_to_Spoil_the_Party",156.186122,81,70,0.859760,0.897379,0.859760,0.938441
"Beatles/04_-_Beatles_for_Sale/13_-_What_You're_Doing",154.697143,70,77,0.875784,0.889850,0.904376,0.875784
"Beatles/04_-_Beatles_for_Sale/14_-_Everybody's_Trying_to_Be_My_Baby",143.751837,52,59,0.848444,0.863931,0.879993,0.848444
"Beatles/05_-_Help!/01_-_Help!",141.087347,51,72,0.827885,0.885874,0.952599,0.827885
"Beatles/05_-_Help!/02_-_The_Night_Before",156.708571,99,114,0.905225,0.914779,0.924536,0.905225
"Beatles/05_-_Help!/03_-_You've_Got_To_Hide_Your_Love_Away",131.448163,107,110,0.827573,0.859586,0.827573,0.894176
"Beatles/05_-_Help!/04_-_I_Need_You",151.510204,100,65,0.732251,0.811722,0.732251,0.910542
"Beatles/05_-_Help!/05_-_Another_Girl",128.026122,77,90,0.791033,0.829917,0.872823,0.791033
"Beatles/05_-_Help!/06_-_You're_Going_To_Lose_That_Girl",140.460408,75,74,0.916560,0.923323,0.916560,0.930187
"Beatles/05_-_Help!/07_-_Ticket_To_Ride",192.496327,49,68,0.822424,0.879784,0.945745,0.822424
"Beatles/05_-_Help!/08_-_Act_Naturally",153.182041,62,69,0.935226,0.937034,0.935226,0.938849
"Beatles/05_-_Help!/09_-_It's_Only_Love",118.804898,63,67,0.854575,0.878987,0.854575,0.904836
"Beatles/05_-_Help!/10_-_You_Like_Me_Too_Much",158.824490,81,84,0.886699,0.902101,0.886699,0.918047
"Beatles/05_-_Help!/11_-_Tell_Me_What_You_See",159.712653,96,84,0.790484,0.838712,0.790484,0.893208
"Beatles/05_-_Help!/12_-_I've_Just_Seen_a_Face",127.190204,61,78,0.884457,0.899812,0.915710,0.884457
"Beatles/05_-_Help!/13_-_Yesterday",127.451429,93,88,0.865689,0.900837,0.865689,0.938960
"Beatles/05_-_Help!/14_-_Dizzy_Miss_Lizzy",174.158367,58,61,0.933282,0.943748,0.933282,0.954451
"Beatles/06_-_Rubber_Soul/01_-_Drive_My_Car",150.282449,82,89,0.820354,0.844674,0.820354,0.870480
"Beatles/06_-_Rubber_Soul/02_-_Norwegian_Wood_(This_Bird_Has_Flown)",125.440000,37,41,0.755629,0.823178,0.755629,0.903990
"Beatles/06_-_Rubber_Soul/03_-_You_Won't_See_Me",202.605714,83,100,0.870340,0.884712,0.899567,0.870340
"Beatles/06_-_Rubber_Soul/04_-_Nowhere_Man",164.310204,69,78,0.890418,0.900188,0.910176,0.890418
"Beatles/06_-_Rubber_Soul/05_-_Think_For_Yourself",139.337143,62,72,0.915528,0.937831,0.961247,0.915528
"Beatles/06_-_Rubber_Soul/06_-_The_Word",163.709388,64,96,0.715383,0.792933,0.889340,0.715383
"Beatles/06_-_Rubber_Soul/07_-_Michelle",162.377143,94,110,0.847903,0.869109,0.891403,0.847903
"Beatles/06_-_Rubber_Soul/08_-_What_Goes_On",170.814694,53,69,0.827229,0.864688,0.905701,0.827229
"Beatles/06_-_Rubber_Soul/09_-_Girl",153.887347,93,89,0.854005,0.878428,0.854005,0.904289
"Beatles/06_-_Rubber_Soul/10_-_I'm_Looking_Through_You",147.826939,135,84,0.663719,0.772927,0.663719,0.925150
"Beatles/06_-_Rubber_Soul/11_-_In_My_Life",147.983673,74,88,0.866259,0.888267,0.911423,0.866259
"Beatles/06_-_Rubber_Soul/12_-_Wait",136.986122,112,91,0.743601,0.810199,0.743601,0.889900
"Beatles/06_-_Rubber_Soul/13_-_If_I_Needed_Someone",143.856327,31,69,0.686361,0.793917,0.941444,0.686361
"Beatles/06_-_Rubber_Soul/14_-_Run_For_Your_Life",138.684082,51,61,0.916681,0.936310,0.956798,0.916681
"Beatles/07_-_Revolver/01_-_Taxman",159.007347,42,55,0.705065,0.748240,0.705065,0.797048
"Beatles/07_-_Revolver/02_-_Eleanor_Rigby",127.686531,49,53,0.906757,0.918718,0.930998,0.906757
"Beatles/07_-_Revolver/03_-_I'm_Only_Sleeping",181.681633,83,88,0.857593,0.874662,0.892424,0.857593
"Beatles/07_-_Revolver/04_-_Love_You_To",181.211429,35,71,0.573324,0.712002,0.939175,0.573324
"Beatles/07_-_Revolver/05_-_Here,_There_And_Everywhere",145.867755,98,109,0.858727,0.868326,0.858727,0.878141
"Beatles/07_-_Revolver/06_-_Yellow_Submarine",160.417959,88,90,0.881985,0.884090,0.881985,0.886206
"Beatles/07_-_Revolver/07_-_She_Said_She_Said",157.152653,83,76,0.786006,0.824454,0.786006,0.866857
"Beatles/07_-_Revolver/08_-_Good_Day_Sunshine",129.776327,57,70,0.867201,0.892779,0.919912,0.867201
"Beatles/07_-_Revolver/09_-_And_Your_Bird_Can_Sing",121.756735,39,41,0.922542,0.922558,0.922575,0.922542
"Beatles/07_-_Revolver/10_-_For_No_One",121.730612,62,78,0.844406,0.876724,0.911614,0.844406
"Beatles/07_-_Revolver/11_-_Doctor_Robert",135.209796,28,52,0.807879,0.880915,0.968470,0.807879
"Beatles/07_-_Revolver/12_-_I_Want_To_Tell_You",149.890612,66,45,0.791488,0.870735,0.791488,0.967616
"Beatles/07_-_Revolver/13_-_Got_To_Get_You_Into_My_Life",150.648163,74,80,0.856392,0.872875,0.890004,0.856392
"Beatles/07_-_Revolver/14_-_Tomorrow_Never_Knows",177.266939,35,35,0.760795,0.804501,0.760795,0.853535
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/01_-_Sgt._Pepper's_Lonely_Hearts_Club_Band",122.435918,55,58,0.905291,0.916080,0.927129,0.905291
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/02_-_With_A_Little_Help_From_My_Friends",164.022857,89,97,0.921298,0.934420,0.947921,0.921298
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/03_-_Lucy_In_The_Sky_With_Diamonds",208.457143,116,131,0.902585,0.911503,0.920599,0.902585
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/04_-_Getting_Better",167.888980,100,80,0.748890,0.795988,0.748890,0.849408
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/05_-_Fixing_A_Hole",156.630204,99,67,0.521354,0.660064,0.521354,0.899341
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/06_-_She's_Leaving_Home",215.066122,74,93,0.863898,0.872986,0.882267,0.863898
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/07_-_Being_For_The_Benefit_Of_Mr._Kite!",157.100408,115,111,0.807876,0.852615,0.807876,0.902600
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/08_-_Within_You_Without_You",305.084082,15,144,0.204678,0.338110,0.971340,0.204678
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/09_-_When_I'm_Sixty-Four",157.727347,64,79,0.874533,0.910013,0.948494,0.874533
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/10_-_Lovely_Rita",162.115918,88,105,0.830643,0.886230,0.949791,0.830643
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/11_-_Good_Morning_Good_Morning",161.332245,134,95,0.698931,0.787854,0.698931,0.902702
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/12_-_Sgt._Pepper's_Lonely_Hearts_Club_Band_(Reprise)",78.915918,37,36,0.949868,0.954968,0.949868,0.960123
"Beatles/08_-_Sgt._Pepper's_Lonely_Hearts_Club_Band/13_-_A_Day_In_The_Life",333.792653,117,161,0.806498,0.862408,0.926647,0.806498
"Beatles/09_-_Magical_Mystery_Tour/01_-_Magical_Mystery_Tour",171.833469,73,83,0.832613,0.887261,0.949586,0.832613
"Beatles/09_-_Magical_Mystery_Tour/02_-_The_Fool_On_The_Hill",180.192653,111,79,0.749052,0.825315,0.749052,0.918866
"Beatles/09_-_Magical_Mystery_Tour/03_-_Flying",136.986122,26,48,0.718160,0.808635,0.925192,0.718160
"Beatles/09_-_Magical_Mystery_Tour/04_-_Blue_Jay_Way",236.721633,21,32,0.518651,0.657458,0.897715,0.518651
"Beatles/09_-_Magical_Mystery_Tour/05_-_Your_Mother_Should_Know",149.603265,73,83,0.909043,0.917893,0.926918,0.909043
"Beatles/09_-_Magical_Mystery_Tour/06_-_I_Am_The_Walrus",277.080816,120,135,0.914059,0.931866,0.950381,0.914059
"Beatles/09_-_Magical_Mystery_Tour/07_-_Hello_Goodbye",211.487347,99,88,0.881588,0.909985,0.881588,0.940272
"Beatles/09_-_Magical_Mystery_Tour/08_-_Strawberry_Fields_Forever",250.514286,109,110,0.839282,0.855406,0.872162,0.839282
"Beatles/09_-_Magical_Mystery_Tour/09_-_Penny_Lane",183.379592,142,85,0.712840,0.802573,0.712840,0.918152
"Beatles/09_-_Magical_Mystery_Tour/10_-_Baby_You're_A_Rich_Man",183.771429,79,64,0.684194,0.786188,0.684194,0.923918
"Beatles/09_-_Magical_Mystery_Tour/11_-_All_You_Need_Is_Love",228.310204,136,131,0.811421,0.828491,0.846295,0.811421
"Beatles/10CD1_-_The_Beatles/CD1_-_01_-_Back_in_the_USSR",163.317551,95,76,0.857427,0.885442,0.857427,0.915349
"Beatles/10CD1_-_The_Beatles/CD1_-_02_-_Dear_Prudence",236.382041,128,69,0.497220,0.650564,0.497220,0.940669
"Beatles/10CD1_-_The_Beatles/CD1_-_03_-_Glass_Onion",137.978776,69,73,0.896211,0.904627,0.913204,0.896211
"Beatles/10CD1_-_The_Beatles/CD1_-_04_-_Ob-La-Di,_Ob-La-Da",188.839184,94,90,0.916620,0.916706,0.916620,0.916792
"Beatles/10CD1_-_The_Beatles/CD1_-_05_-_Wild_Honey_Pie",52.924082,22,24,0.860397,0.906095,0.956920,0.860397
"Beatles/10CD1_-_The_Beatles/CD1_-_06_-_The_Continuing_Story_of_Bungalow_Bill",194.089796,156,125,0.673014,0.737568,0.673014,0.815820
"Beatles/10CD1_-_The_Beatles/CD1_-_07_-_While_My_Guitar_Gently_Weeps",285.309388,142,140,0.904658,0.921789,0.904658,0.939581
"Beatles/10CD1_-_The_Beatles/CD1_-_08_-_Happiness_is_a_Warm_Gun",163.474286,77,79,0.896434,0.901601,0.896434,0.906829
"Beatles/10CD1_-_The_Beatles/CD1_-_09_-_Martha_My_Dear",148.741224,87,106,0.861215,0.894410,0.930267,0.861215
"Beatles/10CD1_-_The_Beatles/CD1_-_10_-_I'm_So_Tired",123.324082,52,63,0.876812,0.910780,0.947485,0.876812
"Beatles/10CD1_-_The_Beatles/CD1_-_11_-_Black_Bird",138.292245,127,90,0.726183,0.820032,0.726183,0.941739
"Beatles/10CD1_-_The_Beatles/CD1_-_12_-_Piggies",124.342857,93,97,0.937900,0.943499,0.949165,0.937900
"Beatles/10CD1_-_The_Beatles/CD1_-_13_-_Rocky_Raccoon",212.897959,95,102,0.878634,0.880280,0.881933,0.878634
"Beatles/10CD1_-_The_Beatles/CD1_-_14_-_Don't_Pass_Me_By",230.426122,35,48,0.732796,0.788051,0.852317,0.732796
"Beatles/10CD1_-_The_Beatles/CD1_-_15_-_Why_Don't_We_Do_It_In_The_Road",101.459592,19,27,0.832487,0.894739,0.967055,0.832487
"Beatles/10CD1_-_The_Beatles/CD1_-_16_-_I_Will",106.031020,83,81,0.791073,0.811824,0.791073,0.833693
"Beatles/10CD1_-_The_Beatles/CD1_-_17_-_Julia",174.080000,84,85,0.898610,0.910470,0.898610,0.922648
"Beatles/10CD2_-_The_Beatles/CD2_-_01_-_Birthday",162.925714,54,100,0.689303,0.784383,0.909888,0.689303
"Beatles/10CD2_-_The_Beatles/CD2_-_02_-_Yer_Blues",241.110204,84,113,0.738689,0.775363,0.815867,0.738689
"Beatles/10CD2_-_The_Beatles/CD2_-_03_-_Mother_Nature's_Son",168.045714,110,85,0.799545,0.860222,0.799545,0.930864
"Beatles/10CD2_-_The_Beatles/CD2_-_04_-_Everybody's_Got_Something_To_Hide_Except_Me_and_My_Monkey",144.822857,114,76,0.687087,0.782150,0.687087,0.907743
"Beatles/10CD2_-_The_Beatles/CD2_-_05_-_Sexy_Sadie",195.343673,117,131,0.912629,0.921210,0.929954,0.912629
"Beatles/10CD2_-_The_Beatles/CD2_-_06_-_Helter_Skelter",269.688163,42,74,0.694471,0.800676,0.945228,0.694471
"Beatles/10CD2_-_The_Beatles/CD2_-_07_-_Long_Long_Long",184.346122,81,79,0.808419,0.815127,0.821946,0.808419
"Beatles/10CD2_-_The_Beatles/CD2_-_08_-_Revolution_1",255.738776,85,98,0.870731,0.899869,0.931024,0.870731
"Beatles/10CD2_-_The_Beatles/CD2_-_09_-_Honey_Pie",161.358367,95,108,0.841571,0.880837,0.923947,0.841571
"Beatles/10CD2_-_The_Beatles/CD2_-_10_-_Savoy_Truffle",174.915918,82,72,0.759261,0.802275,0.759261,0.850456
"Beatles/10CD2_-_The_Beatles/CD2_-_11_-_Cry_Baby_Cry",181.890612,99,114,0.850770,0.896056,0.946435,0.850770
