MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",71.680254,229.663764,65.487375,24.066467,3.673504,0.579775,6.192879,57.570456,54.409019,88.009600,38.818328,65.487375,6.913044,13.110093,4.043330,65.487375,4.071183,14.042678,5.952606,9,14
"JayChou-02",63.633181,321.917800,63.418143,25.124394,8.850631,2.391795,0.215038,58.238371,58.878406,75.628973,38.514761,63.418143,7.168771,16.000835,1.954787,63.418143,2.641048,14.373808,8.109538,11,16
"JayChou-03",73.004240,195.357143,61.854047,17.454005,7.940048,1.601706,11.150193,65.878407,53.030347,78.668225,34.217753,61.854047,5.814097,7.440158,4.199750,61.854047,1.538189,7.948552,7.967265,8,15
"JayChou-04",61.618680,246.819320,56.957272,29.626653,6.371133,2.383533,4.661408,58.160624,61.991264,67.507119,30.963794,56.957272,9.958503,15.798752,3.869398,56.957272,3.740869,14.911961,10.973823,8,15
"JayChou-05",60.074417,286.002018,56.305941,31.227940,7.259037,1.438605,3.768476,58.333455,62.148904,61.427304,32.644014,56.305941,13.535710,14.683716,3.008515,56.305941,5.365114,14.942546,10.920280,18,23
"JayChou-06",76.776033,210.971882,75.312604,16.187144,5.503013,1.533811,1.463429,74.156784,66.111205,85.093352,30.891555,75.312604,7.508228,6.510448,2.168468,75.312604,5.268654,6.098778,4.819711,7,13
"JayChou-07",56.339693,222.881587,50.177278,23.237093,19.876576,0.546637,6.162415,48.645517,49.252636,59.534704,44.038312,50.177278,6.072222,8.236323,7.263090,50.177278,3.784440,11.970028,7.482625,9,17
"JayChou-08",42.829599,229.551383,41.579249,56.112826,0.337059,0.720516,1.250350,29.478856,53.560598,57.996506,44.468536,41.579249,14.597650,40.261966,1.253210,41.579249,4.883703,37.737715,13.491408,8,14
"JayChou-09",64.357122,306.033288,61.149861,14.891222,20.214375,0.537281,3.207262,63.987296,63.963608,62.620376,32.291850,61.149861,6.024372,7.749730,1.117119,61.149861,2.807575,6.468198,5.615449,15,18
"JayChou-10",44.362185,292.740385,40.931569,11.139580,44.417354,0.079951,3.431545,41.318247,55.941296,43.942869,40.547207,40.931569,2.210151,6.166206,2.763223,40.931569,1.270548,6.470402,3.398631,8,10
"JayChou-11",68.520769,226.495692,67.731004,21.918826,8.872575,0.687830,0.789765,68.519103,70.173690,69.310446,28.348714,67.731004,3.425163,14.862652,3.631012,67.731004,1.585886,13.751425,6.581515,16,22
"JayChou-12",74.714259,289.258073,67.608802,18.562213,6.723529,0.000000,7.105457,67.342764,67.219411,87.015686,25.675132,67.608802,3.896664,12.944444,1.721105,67.608802,1.188177,10.572448,6.801587,6,11
"JayChou-13",58.109278,217.481610,56.027321,26.698034,14.593405,0.599282,2.081957,62.256207,55.242391,51.419607,42.076370,56.027321,17.854379,7.737703,1.105952,56.027321,4.273058,4.374875,18.050101,9,15
"JayChou-14",62.938548,236.171678,62.033342,34.938242,1.550611,0.572599,0.905206,62.568109,70.233883,63.946304,28.288311,62.033342,9.771891,20.503473,4.662877,62.033342,2.738972,22.372326,9.826944,5,7
"JayChou-15",32.374356,256.435601,29.977923,19.437992,48.187652,0.000000,2.396433,30.477940,74.587644,31.478842,23.015923,29.977923,7.530145,10.904670,1.003177,29.977923,2.906086,10.326383,6.205523,11,16
"JayChou-16",49.995165,248.726689,49.198637,10.985913,39.018921,0.000000,0.796529,35.949256,53.879428,65.813596,45.324044,49.198637,3.774038,5.362567,1.849308,49.198637,2.717164,5.185675,3.083073,8,12
"JayChou-17",52.018930,292.381973,51.712481,25.710729,21.768556,0.501785,0.306448,52.749818,64.034304,51.011937,35.157462,51.712481,9.508909,10.256927,5.944893,51.712481,6.367605,11.456645,7.886479,13,15
