MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",76.145417,259.353900,70.661482,19.635393,3.705787,0.513404,5.483935,75.169661,94.002662,90.296875,70.661482,0.000000,19.635393,0.000000,8,9
"JayChou-02",67.253032,334.300771,67.045960,21.920977,8.522791,2.303200,0.207072,68.772333,97.489728,88.966937,67.045960,0.000000,21.920977,0.000000,8,8
"JayChou-03",75.054611,202.197460,64.281628,15.622646,7.775222,1.547521,10.772983,73.314322,87.679496,79.904274,64.281628,0.000000,15.622646,-0.000000,7,9
"JayChou-04",63.438480,265.362222,59.102800,26.517895,7.826648,2.216977,4.335680,63.247170,93.447343,85.620695,59.102800,0.000000,26.517895,0.000000,7,9
"JayChou-05",66.263560,317.449184,62.868396,24.381335,8.059011,1.296094,3.395163,65.962885,95.308743,87.249731,62.868396,0.000000,24.381335,-0.000000,12,12
"JayChou-06",78.127978,231.501066,76.794324,10.495162,9.979065,1.397795,1.333654,78.950825,97.268551,87.289486,76.794324,0.000000,10.495162,0.000000,7,7
"JayChou-07",56.623969,251.205465,51.156377,17.758384,25.132644,0.485003,5.467592,54.394246,94.047406,68.914761,51.156377,0.000000,17.758384,0.000000,7,9
"JayChou-08",47.347930,232.944807,46.115795,51.092659,0.849391,0.710020,1.232135,47.029174,98.057845,97.208454,46.115795,0.000000,51.092659,-0.000000,5,7
"JayChou-09",65.233264,326.906803,62.230791,12.052075,22.211687,0.502975,3.002473,64.491507,96.494552,74.282866,62.230791,0.000000,12.052075,-0.000000,10,10
"JayChou-10",44.899490,297.602721,41.524925,9.707789,45.313162,0.078645,3.375480,43.010563,96.545875,51.232714,41.524925,0.000000,9.707789,0.000000,6,6
"JayChou-11",69.724054,238.204785,68.973110,20.970548,8.651380,0.654019,0.750944,69.955965,98.595037,89.943657,68.973110,0.000000,20.970548,0.000000,12,12
"JayChou-12",76.212369,301.863061,69.403617,17.141587,6.646045,0.000000,6.808752,74.474393,93.191248,86.545203,69.403617,0.000000,17.141587,-0.000000,6,6
"JayChou-13",63.266339,239.781542,61.378006,21.407629,14.782484,0.543548,1.888333,62.907850,97.568119,82.785635,61.378006,0.000000,21.407629,0.000000,7,8
"JayChou-14",61.396649,260.263946,60.575237,36.037332,2.046424,0.519595,0.821413,61.398596,98.658993,96.612568,60.575237,0.000000,36.037332,0.000000,5,5
"JayChou-15",35.280442,256.435601,32.884010,16.531906,48.187652,0.000000,2.396433,33.691402,97.603567,49.415916,32.884010,0.000000,16.531906,0.000000,10,10
"JayChou-16",51.035242,261.531383,50.277712,8.012807,40.951951,0.000000,0.757530,50.661488,99.242470,58.290519,50.277712,0.000000,8.012807,-0.000000,7,8
"JayChou-17",58.324641,294.022517,58.019903,19.235197,21.941177,0.498985,0.304739,58.490001,99.196276,77.255099,58.019903,0.000000,19.235197,-0.000000,8,9
"JayChou-18",82.407780,263.845556,81.291651,15.915184,0.790121,0.886915,1.116129,82.953241,97.996956,97.206835,81.291651,0.000000,15.915184,-0.000000,8,8
"JayChou-19",75.901387,247.249410,74.722947,22.755689,0.821730,0.521194,1.178440,76.014922,98.300366,97.478635,74.722947,0.000000,22.755689,0.000000,6,9
"JayChou-20",73.996292,243.906349,71.712486,22.859582,2.361562,0.782563,2.283807,73.981017,96.933630,94.572068,71.712486,0.000000,22.859582,-0.000000,8,8
"JayChou-21",68.395223,235.893197,68.231490,16.103698,14.704012,0.797067,0.163733,68.893418,99.039200,84.335188,68.231490,0.000000,16.103698,0.000000,7,8
"JayChou-22",73.432939,255.506825,71.020939,24.137509,1.552992,0.876559,2.412000,73.435923,96.711440,95.158449,71.020939,0.000000,24.137509,-0.000000,11,12
"JayChou-23",69.915760,258.666077,65.006677,16.368182,13.490731,0.225327,4.909083,68.525033,94.865591,81.374859,65.006677,0.000000,16.368182,0.000000,11,12
"JayChou-24",72.244682,282.777256,70.959106,15.794440,11.524507,0.427440,1.294507,72.202393,98.278053,86.753546,70.959106,0.000000,15.794440,-0.000000,11,11
"JayChou-25",63.569939,263.250590,61.061577,24.337533,11.623644,0.468884,2.508362,62.935317,97.022753,85.399110,61.061577,0.000000,24.337533,0.000000,7,8
"JayChou-26",71.473645,258.221429,68.747166,22.520177,4.560290,1.428295,2.744072,71.740440,95.827633,91.267343,68.747166,0.000000,22.520177,0.000000,7,7
"JayChou-27",72.445194,299.862993,71.255920,16.976985,10.207932,0.369889,1.189273,72.384513,98.440837,88.232906,71.255920,0.000000,16.976985,0.000000,8,7
"JayChou-28",62.872251,258.075465,62.227479,21.994746,14.184998,0.937362,0.655415,63.234666,98.407223,84.222225,62.227479,0.000000,21.994746,0.000000,7,6
"JayChou-29",57.462762,242.912585,55.322607,25.462893,14.392781,2.681563,2.140156,58.125242,95.178281,80.785499,55.322607,0.000000,25.462893,-0.000000,6,6
