MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",47.897008,221.561293,41.477656,47.694172,3.807844,0.600977,6.419352,-nan,0.000000,-nan,0.000000,0.000000,12.184474,68.540955,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,0.000000,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.407763,0.000000,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.767640,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.097337,17.105784,48.751443,22.473178,12.017606,5.669548,0.260053,41.477656,27.198749,4.489864,16.005559,18,17
"JayChou-02",38.456539,317.632608,38.238600,50.149363,8.970035,2.424063,0.217939,-nan,0.000000,0.000000,2.127453,0.000000,7.933530,79.254730,26.283771,-nan,0.000000,0.000000,5.227549,-nan,0.000000,-nan,0.000000,17.494636,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.110055,-nan,0.000000,0.000000,6.262744,-nan,0.000000,6.679789,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.568413,18.376812,46.139795,22.157074,15.669325,4.238577,0.183193,38.238600,27.362694,3.090119,19.696550,26,29
"JayChou-03",49.286426,195.357143,38.136233,41.171820,7.940048,1.601706,11.150193,-nan,0.000000,0.000000,1.752451,0.000000,8.017341,62.953412,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,22.852181,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.854665,11.184469,44.204354,21.896484,6.512772,6.295021,0.399422,38.136233,25.256003,3.522946,12.392871,15,22
"JayChou-04",48.583631,246.819320,43.922222,42.661703,6.371133,2.383533,4.661408,-nan,0.000000,0.000000,7.083629,0.000000,11.990465,71.673401,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,57.318448,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.827096,12.809337,50.910591,14.444062,15.098187,5.845814,0.285271,43.922222,16.775919,6.201615,19.684169,21,19
"JayChou-05",43.520244,269.364354,39.519002,47.952058,7.000236,1.527463,4.001242,-nan,0.000000,0.000000,4.808608,0.000000,16.954015,74.580971,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.433550,0.000000,0.621729,0.000000,6.325937,-nan,0.000000,-nan,0.000000,0.000000,5.447855,54.484866,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.925395,16.476187,47.832983,18.800000,16.148204,4.632039,0.057833,39.519002,20.782497,3.454600,23.714961,35,32
"JayChou-06",48.504732,210.971882,47.041303,44.458444,5.503013,1.533811,1.463429,-nan,0.000000,0.000000,6.733431,0.000000,17.859716,77.874557,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,28.699275,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,0.000000,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.147163,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.445334,26.868708,67.783404,10.278633,9.946194,2.822024,0.669492,47.041303,33.539954,1.790212,9.128278,18,19
"JayChou-07",39.334798,222.881587,33.172383,40.241988,19.876576,0.546637,6.162415,-nan,0.000000,-nan,0.000000,0.000000,8.383299,52.977356,26.762826,-nan,0.000000,0.000000,1.830446,-nan,0.000000,-nan,0.000000,25.467848,2.705981,-nan,0.000000,0.000000,3.591761,0.000000,1.787767,0.000000,2.313951,0.000000,1.876605,-nan,0.000000,0.000000,2.750919,-nan,0.000000,37.341909,20.816418,-nan,0.000000,0.000000,2.733807,-nan,0.000000,-nan,0.000000,59.376689,17.737167,36.699485,16.338291,8.021210,6.026708,4.663219,33.172383,20.789335,5.343069,14.109584,20,28
"JayChou-08",28.673199,209.766803,27.304920,70.189536,0.348792,0.788473,1.368279,-nan,0.000000,0.000000,8.273738,0.000000,1.108984,78.471369,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.607920,-nan,0.000000,0.000000,4.087586,0.000000,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,0.000000,11.294899,71.215914,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.426495,12.013697,29.655594,29.762085,22.600966,15.475810,0.000000,27.304920,23.497837,4.291276,42.400422,19,17
"JayChou-09",43.137967,279.683492,39.628540,36.490104,19.784029,0.587900,3.509427,-nan,0.000000,0.000000,0.556930,0.000000,3.864435,56.483557,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,0.000000,1.144240,43.974791,14.155076,-nan,0.000000,-nan,0.000000,0.000000,3.144225,-nan,0.000000,32.208186,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,27.551776,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,55.534462,17.074216,42.343908,21.340949,9.810688,2.280821,0.342279,39.628540,24.271442,2.465466,9.753197,33,33
"JayChou-10",33.406927,268.031134,29.660050,24.971475,41.533260,0.087322,3.747893,-nan,0.000000,0.000000,1.853069,0.000000,5.538278,52.745550,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,27.905747,17.104166,-nan,0.000000,-nan,0.000000,0.000000,3.717314,-nan,0.000000,10.611697,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,25.057771,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,40.289963,35.085299,33.986821,12.558980,4.588281,3.201924,0.295519,29.660050,16.432595,2.627887,5.910993,16,18
"JayChou-11",36.159579,222.563356,35.355860,54.628705,8.511734,0.699983,0.803719,-nan,0.000000,0.000000,4.030354,0.000000,6.145474,50.943096,41.873913,-nan,0.000000,-nan,0.000000,0.000000,1.794368,-nan,0.000000,0.000000,1.732096,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.347852,39.186294,8.722651,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.771881,17.028187,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.641899,11.821404,39.998853,30.872477,8.073394,10.574294,0.465547,35.355860,34.448860,5.096970,15.082875,33,34
"JayChou-12",45.805687,283.100930,38.545695,48.398048,5.796265,0.000000,7.259993,-nan,0.000000,0.000000,9.477618,0.000000,19.650580,72.223748,34.480207,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.474014,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.424049,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.670411,10.826928,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.377702,15.406611,57.417651,13.563194,12.429307,3.431008,0.102583,38.545695,30.785940,2.480647,15.131461,13,12
"JayChou-13",49.379772,211.849955,47.242470,36.864882,13.140133,0.615213,2.137302,-nan,0.000000,0.000000,2.653024,0.000000,2.697477,74.153893,31.403093,-nan,0.000000,0.000000,2.643541,-nan,0.000000,0.000000,1.336258,93.759682,2.662850,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.071795,10.656346,-nan,0.000000,0.000000,1.346908,0.000000,7.235451,76.415812,4.667681,-nan,0.000000,0.000000,5.311293,-nan,0.000000,-nan,0.000000,68.709535,24.633562,53.362018,18.980211,9.993446,1.310937,0.460740,47.242470,14.660888,1.612308,20.591686,19,20
"JayChou-14",42.154945,236.171678,41.249738,55.721845,1.550611,0.572599,0.905206,-nan,0.000000,0.000000,4.665214,0.000000,7.462124,84.256509,33.822498,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,2.001337,21.664666,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.619381,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.885681,8.591966,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.867500,19.696345,50.076745,18.805097,22.552083,4.995680,0.541979,41.249738,23.522575,4.103009,28.096261,11,10
"JayChou-15",21.406810,187.378481,18.127188,38.108985,40.484206,0.000000,3.279622,-nan,0.000000,0.000000,2.197778,0.000000,19.590952,25.475178,30.498412,-nan,0.000000,0.000000,2.178900,-nan,0.000000,-nan,0.000000,14.622267,8.631335,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.124709,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.802562,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.923301,21.695730,25.548344,9.878782,15.616076,5.125869,0.067101,18.127188,18.615551,4.098780,15.394653,16,19
"JayChou-16",32.831422,230.529252,31.972017,26.374715,40.793863,0.000000,0.859405,-nan,0.000000,0.000000,0.802924,0.000000,4.364471,38.494814,38.758777,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.168013,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.142153,0.000000,7.896205,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,14.150904,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.491100,26.857148,33.715856,16.129781,4.596514,3.353606,0.550975,31.972017,17.589988,2.519451,6.265275,17,16
"JayChou-17",36.915656,259.322132,36.570140,44.134248,18.384340,0.565756,0.345516,-nan,0.000000,0.000000,3.339782,0.000000,13.065050,68.771734,33.539187,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.639854,2.017645,-nan,0.000000,-nan,0.000000,0.000000,8.737808,-nan,0.000000,14.278704,2.765487,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.592932,17.162774,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.090380,18.460995,44.127676,14.491595,13.228905,7.711833,1.144379,36.570140,25.265236,4.294605,14.574407,26,29
"JayChou-18",59.099528,248.416961,57.914079,39.376911,0.581562,0.941999,1.185449,-nan,0.000000,0.000000,5.944106,0.000000,4.538179,87.863889,51.500942,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.291153,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.794607,10.414070,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.565716,28.029979,19.618385,64.836947,17.620470,8.978652,5.572856,0.282065,57.914079,24.732753,5.404039,9.240119,18,19
"JayChou-19",44.866161,222.302268,43.555474,54.158423,0.395733,0.579683,1.310687,-nan,0.000000,0.000000,3.130413,0.000000,2.307771,74.787459,28.380492,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.643755,13.462610,-nan,0.000000,-nan,0.000000,0.000000,3.953627,0.000000,8.662002,24.438106,4.005414,-nan,0.000000,0.000000,2.384600,-nan,0.000000,40.325090,16.732187,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.381418,77.155208,12.709096,47.152056,31.594501,8.554123,8.836662,0.084867,43.555474,33.333756,3.627863,17.196804,24,30
