Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,175,0.769438,0.829499,0.899731,0.769438
"JayChou-02",334.300771,130,216,0.772305,0.807367,0.845763,0.772305
"JayChou-03",202.197460,77,116,0.831732,0.841328,0.851149,0.831732
"JayChou-04",265.362222,122,194,0.743724,0.785383,0.831985,0.743724
"JayChou-05",317.449184,144,201,0.779536,0.797248,0.779536,0.815784
"JayChou-06",231.501066,83,118,0.851937,0.860223,0.868673,0.851937
"JayChou-07",251.205465,103,190,0.728525,0.776828,0.831992,0.728525
"JayChou-08",232.944807,148,201,0.769260,0.769521,0.769782,0.769260
"JayChou-09",326.906803,133,214,0.732719,0.774629,0.821625,0.732719
"JayChou-10",297.602721,137,184,0.712303,0.749737,0.712303,0.791324
"JayChou-11",238.204785,114,169,0.739926,0.768415,0.799187,0.739926
"JayChou-12",301.863061,128,172,0.830854,0.835361,0.830854,0.839916
"JayChou-13",239.781542,87,136,0.773691,0.813754,0.858192,0.773691
"JayChou-14",260.263946,169,188,0.637715,0.703808,0.637715,0.785184
"JayChou-15",256.435601,106,141,0.618996,0.683149,0.618996,0.762136
"JayChou-16",261.531383,104,133,0.734000,0.761223,0.734000,0.790544
"JayChou-17",294.022517,143,227,0.717222,0.757878,0.803420,0.717222
"JayChou-18",263.845556,146,210,0.801316,0.806414,0.811577,0.801316
"JayChou-19",247.249410,130,179,0.775600,0.777664,0.779739,0.775600
"JayChou-20",243.906349,187,208,0.742183,0.784935,0.742183,0.832913
"JayChou-21",235.893197,115,188,0.744183,0.781515,0.822790,0.744183
"JayChou-22",255.506825,132,225,0.744517,0.791334,0.844435,0.744517
"JayChou-23",258.666077,124,194,0.784668,0.823177,0.865661,0.784668
"JayChou-24",282.777256,136,197,0.786467,0.809211,0.833311,0.786467
"JayChou-25",263.250590,122,188,0.748336,0.776710,0.807322,0.748336
"JayChou-26",258.221429,89,144,0.771227,0.830981,0.900772,0.771227
"JayChou-27",299.862993,104,187,0.769861,0.822797,0.883549,0.769861
"JayChou-28",258.075465,110,183,0.747816,0.800290,0.860684,0.747816
"JayChou-29",242.912585,123,171,0.766850,0.773707,0.780689,0.766850
