MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",68.926557,197.812000,66.831133,29.167088,1.419530,0.486826,2.095424,-nan,0.000000,0.000000,0.181991,0.000000,2.265788,61.040854,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.279356,32.529877,67.020201,12.982023,11.035225,4.960771,66.831133,10.703092,8.491901,9.972095,17,19
"N002-M01-T02",54.383321,209.704000,49.548888,23.514573,19.643402,2.458704,4.834433,-nan,0.000000,0.000000,1.001888,0.000000,2.153988,67.579309,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,34.828556,31.722332,49.587991,7.789074,12.470435,3.215962,49.548888,3.182581,11.002174,9.329817,9,11
"N003-M01-T03",62.622407,192.289000,58.437040,35.711351,1.489425,0.176817,4.185367,-nan,0.000000,0.000000,1.516987,0.000000,8.675483,65.565174,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.396099,41.411105,61.583346,8.100307,12.699634,11.765104,58.437040,6.807982,14.166177,14.737192,25,24
"N004-M01-T04",69.900952,192.634000,67.497430,22.182481,7.548512,0.368055,2.403522,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,62.526459,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,75.689410,64.663040,67.497430,4.908791,12.786943,4.486747,67.497430,2.995837,12.823281,6.363363,16,12
"N005-M01-T05",73.795447,206.861000,72.097205,24.426064,0.746395,1.032094,1.698242,-nan,0.000000,-nan,0.000000,0.000000,0.208836,80.506639,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,69.764924,48.223203,73.169423,9.510251,6.036421,7.807175,72.097205,8.856672,10.162863,5.406529,11,13
"N006-M01-T06",67.213043,206.573000,63.172825,28.320255,4.315666,0.151036,4.040218,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.860528,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.898477,5.721948,63.172825,5.326930,12.646377,10.346948,63.172825,3.133033,21.405508,3.781714,7,9
"N007-M01-T07",71.334774,284.962000,69.278711,22.898843,5.218240,0.548143,2.056064,-nan,0.000000,0.000000,0.264948,0.000000,4.143009,69.873511,33.430773,-nan,0.000000,0.000000,4.828363,-nan,0.000000,83.903793,54.728701,69.776321,9.642689,5.910613,6.847931,69.278711,5.042778,6.936714,10.919351,19,16
"N008-M01-T08",77.651456,178.996000,74.560325,17.336142,5.012403,0.000000,3.091131,-nan,0.000000,0.000000,2.389998,0.000000,5.026369,85.366729,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.220986,25.700574,77.370444,3.835840,6.953787,3.736396,74.560325,6.021922,4.605690,6.708530,10,11
"N009-M01-T09",89.527488,265.877000,83.452499,9.885774,0.586737,0.000000,6.074990,-nan,0.000000,-nan,0.000000,0.000000,0.323082,89.123149,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.190316,46.916431,83.452499,3.565182,4.260617,2.059975,83.452499,1.711318,4.219244,3.955212,15,14
"N010-M01-T10",80.096476,211.867000,72.669647,11.555363,8.348162,0.000000,7.426829,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,87.330451,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,71.987598,27.705589,72.669647,4.376802,3.364847,3.813713,72.669647,2.892853,4.213020,4.449490,9,11
"N011-M01-T11",45.931939,263.971000,43.425982,24.460263,29.607798,0.000000,2.505957,-nan,0.000000,-nan,0.000000,0.000000,2.022949,28.273092,64.143410,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.729419,31.327684,43.425982,17.672017,5.568036,1.220210,43.425982,13.218497,3.813677,7.428089,8,10
"N012-M01-T12",48.427705,193.825000,46.703986,43.180188,8.392106,0.000000,1.723720,-nan,0.000000,0.000000,4.126403,0.000000,19.647104,57.486072,33.801109,-nan,0.000000,0.000000,1.571005,0.000000,3.097640,75.689065,36.033019,61.454921,11.007868,14.478524,2.942861,46.703986,23.573326,6.299497,13.307365,17,14
"N013-M01-T13",79.851089,215.565000,77.520006,19.697539,0.142880,0.308492,2.331083,-nan,0.000000,-nan,0.000000,0.000000,2.709624,85.255562,68.723587,-nan,0.000000,-nan,0.000000,0.000000,0.262566,73.756417,25.664649,77.782571,5.134414,7.276228,7.024331,77.520006,4.156055,10.261406,5.280078,10,14
"N014-M01-T14",63.578594,234.947000,61.545795,26.575781,7.039460,2.806165,2.032799,-nan,0.000000,-nan,0.000000,0.000000,9.305077,76.165321,54.385032,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.942386,31.470927,67.599076,7.200347,9.964375,3.357779,61.545795,9.989913,6.534665,10.051203,8,11
"N015-M01-T15",43.911034,162.893000,39.614962,42.745238,12.488566,0.855163,4.296072,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.073699,77.067768,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.097638,17.780997,39.614962,24.352182,10.166797,8.226259,39.614962,18.771832,12.687470,11.285936,10,12
"N016-M01-T16",46.166464,262.147000,44.634117,40.704261,10.187414,2.941861,1.532346,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.890303,48.572747,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.346749,46.953045,44.634117,22.830702,12.814184,5.059375,44.634117,16.076095,8.576486,16.051681,11,14
"N017-M02-T01",67.041501,241.440000,64.961895,21.375083,11.187459,0.395958,2.079606,-nan,0.000000,0.000000,3.443091,-nan,0.000000,61.632202,45.305666,-nan,0.000000,0.000000,0.525182,-nan,0.000000,76.764009,48.250497,65.952618,7.628396,10.631213,2.124751,64.961895,4.077203,8.195825,9.102054,15,14
