MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",85.233449,197.812000,85.045024,12.372726,0.000000,2.393824,0.188425,-nan,0.000000,0.000000,0.181991,98.191152,2.265788,86.687958,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.202542,32.529877,85.209537,4.806066,4.875819,2.003580,85.045024,4.184988,3.680962,4.506776,17,19
"N002-M01-T02",62.983947,209.704000,62.815961,29.890692,0.000210,7.125151,0.167986,-nan,0.000000,0.000000,1.001888,26.743414,2.153988,81.223613,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,50.331062,31.722332,63.890207,11.151227,10.236159,4.970914,62.815961,1.074246,10.429748,18.386698,10,12
"N003-M01-T03",75.474509,192.289000,74.877336,20.760480,0.000000,3.765010,0.597174,-nan,0.000000,56.928771,1.516987,56.783827,8.675483,83.592638,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.945466,41.411105,75.382825,8.461246,7.859496,2.524496,74.877336,3.877667,5.713228,11.169586,25,28
"N004-M01-T04",59.624029,192.634000,59.432312,37.145199,0.650912,2.579860,0.191717,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,75.600882,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,57.216916,64.663040,60.251728,14.260574,12.442239,5.240109,59.432312,5.394131,11.018425,20.732643,16,26
"N005-M01-T05",72.737605,206.861000,72.560827,24.708837,0.000000,2.553558,0.176778,-nan,0.000000,-nan,0.000000,0.000000,0.208836,83.229876,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,68.028948,48.223203,74.246044,9.761015,5.732016,3.012493,72.560827,9.026200,3.266713,12.415924,11,24
"N006-M01-T06",67.007723,206.573000,64.688159,31.120587,0.000000,1.871690,2.319565,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.093432,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.458529,5.721948,65.632324,2.647820,15.085557,8.823587,64.688159,2.045608,14.400079,14.674900,7,20
"N007-M01-T07",84.385100,284.962000,84.262269,13.133524,0.000000,2.481376,0.122831,-nan,0.000000,0.000000,0.264948,74.240989,4.143009,83.996590,33.430773,-nan,0.000000,0.000000,4.828363,-nan,0.000000,97.034551,54.728701,88.381462,2.634401,3.265822,2.136335,84.262269,6.174706,2.686625,4.272194,19,22
"N008-M01-T08",89.320112,178.996000,88.220014,8.688855,0.000000,1.991032,1.100098,-nan,0.000000,37.178562,2.389998,23.619841,5.026369,96.075264,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.713652,25.700574,91.255431,1.382408,2.583541,1.687489,88.220014,3.358899,1.155704,4.174252,11,12
"N009-M01-T09",84.395649,265.877000,80.242006,13.268084,0.414920,1.921347,4.153643,-nan,0.000000,-nan,0.000000,0.000000,0.323082,93.938810,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.555356,46.916431,80.875295,5.393795,2.806967,3.028515,80.242006,4.616601,2.464878,6.186605,15,22
"N010-M01-T10",83.805458,211.867000,81.979249,10.588523,0.005400,5.600620,1.826209,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,95.995274,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,86.707678,27.705589,83.595846,3.272318,4.619832,1.079775,81.979249,1.616597,2.975891,5.996034,10,10
