MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",53.907282,186.997000,51.690669,45.362225,0.215511,0.514982,2.216613,-nan,0.000000,0.000000,0.192516,0.000000,2.396830,61.549336,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.917680,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,11.740671,12.826409,51.890672,27.006850,13.067589,4.950882,0.136901,51.690669,26.916475,7.222576,11.223175,21,22
"N002-M01-T02",37.053326,200.090000,31.986606,40.390824,19.979009,2.576840,5.066720,-nan,0.000000,0.000000,0.446799,0.000000,1.207457,59.015913,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,33.835151,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,15.607581,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,20.736102,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,26.886835,27.421160,31.986606,20.774152,13.508421,5.677445,0.430806,31.986606,19.486231,9.029437,11.875156,18,19
"N003-M01-T03",57.125321,190.630000,52.903530,41.193936,1.502387,0.178356,4.221791,-nan,0.000000,0.000000,1.530189,0.000000,8.750984,68.759531,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.139378,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,56.077218,12.600325,12.832713,12.202696,0.384515,52.903530,12.909301,12.303940,15.980696,36,25
"N004-M01-T04",62.782086,189.836000,60.343138,29.184665,7.659769,0.373480,2.438947,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,0.000000,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.756084,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.317059,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,77.001904,60.297309,60.343138,10.247266,12.208433,5.195010,1.533956,60.343138,10.449019,10.567016,8.168630,23,18
"N005-M01-T05",71.703204,201.984000,69.963958,26.475364,0.764417,1.057014,1.739247,-nan,0.000000,-nan,0.000000,0.000000,0.213878,79.614122,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.190420,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,69.963958,12.679222,6.119792,7.453066,0.223285,69.963958,10.911755,9.865633,5.697976,12,14
"N006-M01-T06",40.128599,203.578000,36.028942,55.338986,4.379157,0.153258,4.099657,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,38.857509,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.898477,5.806128,36.028942,33.478568,3.762686,18.097732,0.000000,36.028942,31.252395,9.255421,14.831170,6,11
"N007-M01-T07",45.278250,269.021000,43.100353,49.347820,4.793306,0.580624,2.177897,-nan,0.000000,-nan,0.000000,0.000000,2.925794,78.381508,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,26.836814,13.457685,-nan,0.000000,0.000000,0.280647,0.000000,1.462711,-nan,0.000000,21.965442,6.948528,-nan,0.000000,0.000000,5.114471,-nan,0.000000,18.357615,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.238110,35.289067,43.627449,32.071102,8.819386,5.112240,2.817996,43.100353,31.187156,4.216028,13.944636,30,32
"N008-M01-T08",62.684082,178.996000,59.592952,32.303515,5.012403,0.000000,3.091131,-nan,0.000000,0.000000,2.389998,0.000000,5.026369,76.598711,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.951582,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.171909,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.752016,5.542023,62.403070,17.876377,7.400165,4.216854,0.000000,59.592952,20.989296,4.447585,6.866634,16,16
"N009-M01-T09",83.152515,264.170000,77.038271,16.256956,0.590529,0.000000,6.114245,-nan,0.000000,-nan,0.000000,0.000000,0.325169,90.547787,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.702907,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,0.000000,3.308097,77.038271,10.541697,3.556043,2.159216,0.000000,77.038271,8.675853,3.966764,3.614339,19,14
"N010-M01-T10",67.986520,211.867000,60.559691,23.665318,8.348162,0.000000,7.426829,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,87.216841,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,85.646090,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.099595,11.885759,60.559691,13.822351,4.459401,5.383566,0.000000,60.559691,15.002808,2.971676,5.690834,12,12
