Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,153,0.731006,0.767312,0.731006,0.807412
"N002-M01-T02",222.707000,123,203,0.740879,0.792775,0.852488,0.740879
"N003-M01-T03",195.360000,159,187,0.750768,0.764395,0.778527,0.750768
"N004-M01-T04",242.507000,114,156,0.755718,0.788854,0.825028,0.755718
"N005-M01-T05",228.107000,125,154,0.798985,0.800791,0.802606,0.798985
"N006-M01-T06",206.573000,47,95,0.645476,0.736207,0.856617,0.645476
"N007-M01-T07",298.680000,142,217,0.783665,0.825597,0.872271,0.783665
"N008-M01-T08",192.187000,99,133,0.814759,0.821490,0.828334,0.814759
"N009-M01-T09",277.040000,111,104,0.764417,0.833241,0.764417,0.915684
"N010-M01-T10",215.693000,71,94,0.869500,0.884217,0.899440,0.869500
"N011-M01-T11",267.920000,105,153,0.783891,0.791461,0.799179,0.783891
"N012-M01-T12",204.867000,104,179,0.748827,0.798969,0.856307,0.748827
"N013-M01-T13",219.093000,151,196,0.814061,0.834810,0.856645,0.814061
"N014-M01-T14",234.947000,154,207,0.786995,0.794588,0.802330,0.786995
"N015-M01-T15",162.893000,126,181,0.688059,0.722509,0.760591,0.688059
"N016-M01-T16",262.147000,180,183,0.697677,0.750133,0.697677,0.811117
"N017-M02-T01",241.440000,125,163,0.778873,0.798219,0.818551,0.778873
"N018-M02-T02",254.107000,138,151,0.694766,0.755282,0.694766,0.827344
"N019-M02-T03",289.040000,202,244,0.729761,0.730372,0.730985,0.729761
"N020-M02-T04",250.147000,156,217,0.777331,0.779839,0.782364,0.777331
"N021-M02-T05",268.960000,152,197,0.780923,0.796229,0.812147,0.780923
"N022-M02-T06",209.520000,126,133,0.852553,0.857521,0.852553,0.862548
"N023-M02-T07",201.187000,73,129,0.783763,0.846656,0.920522,0.783763
"N024-M02-T08",240.253000,112,122,0.673344,0.733718,0.673344,0.805984
"N025-M02-T09",256.467000,147,116,0.587545,0.683274,0.587545,0.816269
"N026-M02-T10",207.053000,149,89,0.622676,0.733827,0.622676,0.893283
"N027-M02-T11",318.440000,127,235,0.719825,0.775284,0.840001,0.719825
"N028-M02-T12",250.987000,176,197,0.723165,0.740490,0.723165,0.758665
"N029-M02-T13",215.093000,87,126,0.779272,0.804015,0.779272,0.830380
"N030-M02-T14",196.293000,154,111,0.597169,0.702468,0.597169,0.852853
"N031-M02-T15",250.213000,118,62,0.453158,0.594327,0.453158,0.863249
"N032-M02-T16",252.080000,79,95,0.857442,0.892640,0.930851,0.857442
"N033-M03-T01",287.013000,146,125,0.562156,0.688604,0.562156,0.888448
"N034-M03-T02",207.640000,128,168,0.808621,0.830300,0.853174,0.808621
"N035-M03-T03",193.027000,108,155,0.799277,0.813794,0.828848,0.799277
"N036-M03-T04",316.253000,164,194,0.771174,0.805421,0.771174,0.842851
"N037-M03-T05",239.107000,108,126,0.811009,0.834832,0.811009,0.860096
"N038-M03-T06",275.333000,116,157,0.758739,0.810535,0.869921,0.758739
"N039-M03-T07",288.853000,96,145,0.844208,0.868476,0.894181,0.844208
"N040-M03-T08",226.253000,167,99,0.517027,0.654134,0.517027,0.890198
"N041-M03-T09",170.133000,83,86,0.834047,0.846676,0.834047,0.859692
"N042-M03-T10",248.760000,153,181,0.774260,0.780087,0.774260,0.786003
"N043-M03-T11",204.307000,122,112,0.805949,0.848980,0.805949,0.896866
"N044-M03-T12",246.080000,129,170,0.811382,0.812711,0.811382,0.814044
"N045-M03-T13",222.533000,144,178,0.792327,0.801469,0.810824,0.792327
"N046-M03-T14",199.013000,166,194,0.796255,0.807922,0.796255,0.819936
"N047-M03-T15",210.747000,144,178,0.848240,0.852456,0.856714,0.848240
