MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",81.481258,234.666644,79.463494,8.245362,9.564045,0.709334,2.017764,82.510761,91.388711,68.963990,5.884190,79.463494,2.554886,3.276438,2.414038,79.463494,1.472727,5.186207,1.586428,8,10
"1997-Life Thru a Lens/02-Life Thru A Lens",71.638090,177.604423,70.574302,26.570868,1.466167,0.324875,1.063788,84.995061,80.788599,10.705333,17.822738,70.574302,17.145468,6.489136,2.936264,70.574302,0.157529,8.407816,18.005523,10,13
"1997-Life Thru a Lens/03-Ego A Go Go",62.133977,214.959977,59.105604,35.291430,0.149882,2.424711,3.028374,64.720675,88.748018,28.751797,5.798897,59.105604,1.960994,21.762086,11.568349,59.105604,1.960994,30.892880,2.437556,8,9
"1997-Life Thru a Lens/04-Angels",89.580086,264.999977,89.483482,9.664758,0.000000,0.755157,0.096604,92.359441,76.259811,83.231344,22.888428,89.483482,4.386686,3.986147,1.291925,89.483482,0.720904,4.261247,4.682607,7,13
"1997-Life Thru a Lens/05-South Of The Border",65.328517,233.373311,64.512088,32.879597,1.487176,0.304710,0.816430,75.926333,80.856700,17.315127,18.022160,64.512088,16.272816,13.795688,2.811094,64.512088,14.612995,12.054112,6.212490,8,11
"1997-Life Thru a Lens/06-Old Before I Die",63.704567,221.530951,63.630868,29.146665,7.148769,0.000000,0.073699,86.466595,55.152727,35.606232,44.773574,63.630868,14.348339,11.074414,3.723913,63.630868,7.896830,5.695403,15.554432,14,13
"1997-Life Thru a Lens/07-One Of God's Better People",81.422279,201.779183,81.249665,18.274947,0.029041,0.273733,0.172614,88.712860,44.883375,75.785859,54.670278,81.249665,8.700272,5.353340,4.221335,81.249665,6.636295,6.182691,5.455960,9,13
"1997-Life Thru a Lens/08-Let Me Entertain You",66.757099,261.999977,66.317404,29.819694,0.482434,2.940773,0.439695,74.799165,86.402968,16.529094,10.216564,66.317404,10.010172,18.153680,1.655842,66.317404,9.617875,18.046189,2.155630,4,5
"1997-Life Thru a Lens/09-Killing Me",55.940634,227.067097,55.099803,42.671909,1.075782,0.311674,0.840832,85.935293,46.330547,29.105864,52.516947,55.099803,19.060306,22.147264,1.464339,55.099803,11.944187,4.370677,26.357045,10,11
"1997-Life Thru a Lens/10-Clean",65.288640,224.099635,62.192668,17.087400,2.351594,15.272365,3.095972,77.907476,79.828882,0.000000,1.802780,62.192668,2.195205,13.173937,1.718259,62.192668,1.738265,14.084484,1.264651,8,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",94.887596,127.814763,89.429716,4.603388,0.172852,0.336165,5.457880,95.271322,76.809358,93.423011,17.396597,89.429716,1.615227,1.638614,1.349548,89.429716,0.910867,2.177659,1.514862,5,10
"1998-I've Been Expecting You/01-Strong",89.072762,279.313356,88.164412,10.198111,0.283143,0.439770,0.914564,90.445285,81.479080,84.294136,17.166587,88.164412,5.458986,3.949817,0.789308,88.164412,4.917513,4.080212,1.200386,10,10
"1998-I've Been Expecting You/02-No Regrets",81.922411,296.426122,81.814895,14.684354,2.915159,0.478076,0.107517,82.805158,43.872315,81.895285,55.542092,81.814895,6.900316,4.714656,3.069381,81.814895,4.761071,4.778852,5.144431,8,14
"1998-I've Been Expecting You/03-Millennium",62.468578,247.573311,59.217813,30.122997,7.408425,0.000000,3.250765,85.235201,48.708099,36.846270,48.041136,59.217813,17.155070,10.305672,2.662254,59.217813,16.564773,5.081393,8.476831,2,7
"1998-I've Been Expecting You/04-Phoenix From The Flames",64.586711,239.305805,64.586711,35.295149,0.005143,0.006021,0.106976,95.154209,63.265838,11.978328,36.621165,64.586711,14.317103,19.591177,1.386869,64.586711,3.368898,5.426083,26.500168,12,12
"1998-I've Been Expecting You/05-Win Some Lose Some",80.728813,258.733311,79.689906,17.301533,0.742077,1.227577,1.038908,85.613200,89.454791,37.503319,8.278725,79.689906,5.041017,9.176321,3.084195,79.689906,3.841767,10.928355,2.531410,6,9
"1998-I've Been Expecting You/06-Grace",58.374288,193.632744,54.086897,28.279337,13.346375,0.000000,4.287391,53.421909,67.013554,63.719788,28.699056,54.086897,16.372450,6.843129,5.063758,54.086897,9.262648,7.285651,11.731039,10,15
"1998-I've Been Expecting You/07-It's Only Us",81.385592,159.580000,80.092245,18.240837,0.373571,0.000000,1.293347,86.242502,83.208458,53.755866,15.498195,80.092245,6.887223,9.728932,1.624682,80.092245,6.380550,11.043906,0.816380,9,12
"1998-I've Been Expecting You/08-Heaven From Here",77.124601,177.627052,77.039925,21.865808,1.009591,0.000000,0.084676,85.088082,68.197080,59.941333,31.718244,77.039925,8.592816,10.932088,2.340904,77.039925,1.471763,9.623347,10.770698,8,13
"1998-I've Been Expecting You/09-Karma Killer",51.103989,258.009683,43.090240,44.198936,0.213323,4.483751,8.013749,45.868192,63.311549,58.081130,24.190951,43.090240,18.860847,16.967451,8.370638,43.090240,9.421231,21.778453,12.999252,11,12
"1998-I've Been Expecting You/10-She's The One",84.355010,258.035465,83.858954,15.132738,0.496056,0.016196,0.496056,86.896695,77.530871,75.088957,21.956878,83.858954,4.104213,5.998193,5.030333,83.858954,1.056342,9.159336,4.917059,7,10
"1998-I've Been Expecting You/11-Man Machine",57.443477,214.999977,57.268684,41.302479,1.254044,0.000000,0.174793,54.908557,93.172916,91.829721,6.652291,57.268684,8.628486,29.218363,3.455630,57.268684,5.256908,29.718351,6.327220,8,11
