MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",77.293585,234.666644,75.275821,12.433035,9.564045,0.709334,2.017764,-nan,0.000000,0.000000,4.719437,-nan,0.000000,82.171968,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.963990,5.884190,79.463494,2.554886,3.276438,2.414038,75.275821,5.660400,5.186207,1.586428,9,10
"1997-Life Thru a Lens/02-Life Thru A Lens",71.638090,177.604423,70.574302,26.570868,1.466167,0.324875,1.063788,-nan,0.000000,0.000000,2.395385,-nan,0.000000,87.592171,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.705333,17.822738,70.574302,17.145468,6.489136,2.936264,70.574302,0.157529,8.407816,18.005523,11,13
"1997-Life Thru a Lens/03-Ego A Go Go",62.133977,214.959977,59.105604,35.291430,0.149882,2.424711,3.028374,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.720675,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.751797,5.798897,59.105604,1.960994,21.762086,11.568349,59.105604,1.960994,30.892880,2.437556,8,9
"1997-Life Thru a Lens/04-Angels",86.137419,264.999977,86.040815,13.107425,0.000000,0.755157,0.096604,-nan,0.000000,-nan,0.000000,0.000000,4.859300,93.823513,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.231344,22.888428,89.483482,4.386686,3.986147,1.291925,86.040815,4.163571,3.836289,5.107565,8,13
"1997-Life Thru a Lens/05-South Of The Border",65.328517,233.373311,64.512088,32.879597,1.487176,0.304710,0.816430,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.926333,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.315127,18.022160,64.512088,16.272816,13.795688,2.811094,64.512088,14.612995,12.054112,6.212490,8,11
"1997-Life Thru a Lens/06-Old Before I Die",63.704567,221.530951,63.630868,29.146665,7.148769,0.000000,0.073699,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.466595,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.606232,44.773574,63.630868,14.348339,11.074414,3.723913,63.630868,7.896830,5.695403,15.554432,14,13
"1997-Life Thru a Lens/07-One Of God's Better People",81.422279,201.779183,81.249665,18.274947,0.029041,0.273733,0.172614,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.712860,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,78.658851,52.673462,81.249665,8.700272,5.353340,4.221335,81.249665,6.636295,5.516507,6.122145,10,13
"1997-Life Thru a Lens/08-Let Me Entertain You",63.788904,261.999977,63.349209,32.787889,0.482434,2.940773,0.439695,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,83.426778,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.529094,10.216564,66.317404,10.010172,18.153680,1.655842,63.349209,12.586070,9.763735,10.438084,7,5
"1997-Life Thru a Lens/09-Killing Me",49.433824,227.067097,48.592992,49.178720,1.075782,0.311674,0.840832,-nan,0.000000,0.000000,5.249439,0.000000,3.973612,89.759441,37.107496,-nan,0.000000,0.000000,6.675472,0.000000,6.765550,39.117465,39.075926,55.099803,19.060306,22.147264,1.464339,48.592992,18.450998,2.228795,28.498926,13,11
"1997-Life Thru a Lens/10-Clean",65.288640,224.099635,62.192668,17.087400,2.351594,15.272365,3.095972,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.907476,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,62.192668,2.195205,13.173937,1.718259,62.192668,1.738265,14.084484,1.264651,8,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",91.182234,127.814763,85.724353,8.308750,0.172852,0.336165,5.457880,-nan,0.000000,0.000000,4.356734,-nan,0.000000,95.886007,72.452624,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.423011,17.396597,89.429716,1.615227,1.638614,1.349548,85.724353,4.616229,1.526288,2.166233,6,10
"1998-I've Been Expecting You/01-Strong",87.173595,279.313356,86.265245,12.097278,0.283143,0.439770,0.914564,-nan,0.000000,0.000000,1.018549,-nan,0.000000,90.451121,80.460531,-nan,0.000000,-nan,0.000000,0.000000,0.982633,83.340531,16.183953,88.164412,5.458986,3.949817,0.789308,86.265245,6.816679,4.060748,1.219851,12,10
"1998-I've Been Expecting You/02-No Regrets",79.314735,296.426122,79.207219,17.292029,2.915159,0.478076,0.107517,-nan,0.000000,-nan,0.000000,0.000000,3.991848,84.554837,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.895285,55.542092,81.814895,6.900316,4.714656,3.069381,79.207219,7.368746,4.215120,5.708163,9,14
"1998-I've Been Expecting You/03-Millennium",62.468578,247.573311,59.217813,30.122997,7.408425,0.000000,3.250765,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.235201,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.846270,48.041136,59.217813,17.155070,10.305672,2.662254,59.217813,16.564773,5.081393,8.476831,2,7
"1998-I've Been Expecting You/04-Phoenix From The Flames",64.586711,239.305805,64.586711,35.295149,0.005143,0.006021,0.106976,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.154209,63.265838,-nan,0.000000,0.000000,9.411842,0.000000,14.546317,34.641089,12.663006,64.586711,14.317103,19.591177,1.386869,64.586711,3.368898,4.970062,26.956189,16,12
"1998-I've Been Expecting You/05-Win Some Lose Some",80.728813,258.733311,79.689906,17.301533,0.742077,1.227577,1.038908,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.613200,89.454791,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.503319,8.278725,79.689906,5.041017,9.176321,3.084195,79.689906,3.841767,10.928355,2.531410,6,9
"1998-I've Been Expecting You/06-Grace",58.374288,193.632744,54.086897,28.279337,13.346375,0.000000,4.287391,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.421909,67.013554,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.719788,28.699056,54.086897,16.372450,6.843129,5.063758,54.086897,9.262648,7.285651,11.731039,10,15
"1998-I've Been Expecting You/07-It's Only Us",81.385592,159.580000,80.092245,18.240837,0.373571,0.000000,1.293347,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.242502,83.208458,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.755866,15.498195,80.092245,6.887223,9.728932,1.624682,80.092245,6.380550,11.043906,0.816380,9,12
"1998-I've Been Expecting You/08-Heaven From Here",70.285226,177.627052,70.200550,28.705183,1.009591,0.000000,0.084676,-nan,0.000000,0.000000,6.685567,0.000000,2.250326,86.377297,59.261187,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.941333,31.718244,77.039925,8.592816,10.932088,2.340904,70.200550,8.311138,9.308110,11.085935,11,13
"1998-I've Been Expecting You/09-Karma Killer",46.973865,258.009683,38.960115,48.329061,0.213323,4.483751,8.013749,-nan,0.000000,0.000000,2.665450,0.000000,14.008158,53.410886,46.637941,-nan,0.000000,0.000000,0.664919,0.000000,2.004496,65.285198,21.521536,43.090240,18.860847,16.967451,8.370638,38.960115,13.551356,15.700016,19.077689,13,12
"1998-I've Been Expecting You/10-She's The One",83.476121,258.035465,82.980066,16.011627,0.496056,0.016196,0.496056,-nan,0.000000,0.000000,0.878889,-nan,0.000000,86.746453,76.651982,-nan,0.000000,0.000000,0.567176,-nan,0.000000,77.080037,21.389702,83.858954,4.104213,5.998193,5.030333,82.980066,1.935231,9.159336,4.917059,9,10
"1998-I've Been Expecting You/11-Man Machine",57.443477,214.999977,57.268684,41.302479,1.254044,0.000000,0.174793,-nan,0.000000,0.000000,1.634077,-nan,0.000000,55.888740,91.538838,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.829721,6.652291,57.268684,8.628486,29.218363,3.455630,57.268684,5.256908,29.052226,6.993344,9,11
"1998-I've Been Expecting You/12-1-These Dreams",64.468491,309.847052,64.004995,33.535480,1.795376,0.200652,0.463497,-nan,0.000000,0.000000,2.653200,0.000000,0.896148,77.766119,66.264206,-nan,0.000000,-nan,0.000000,0.000000,6.053247,53.150396,23.469051,71.337892,10.531558,11.889595,3.781430,64.004995,15.146046,10.305283,8.084151,18,15
"1998-I've Been Expecting You/12-2-Stand Your Ground",83.287053,143.887959,45.399155,6.100353,10.612594,0.000000,37.887897,-nan,0.000000,-nan,0.000000,0.000000,1.874979,78.694514,51.068409,-nan,0.000000,0.000000,1.805622,-nan,0.000000,70.773509,7.363093,45.784436,1.190609,3.537591,0.631040,45.399155,1.452778,1.668359,2.979217,8,14
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",69.957683,226.577052,54.144845,29.865382,0.087908,0.089027,15.812838,-nan,0.000000,-nan,0.000000,0.000000,10.222720,72.780448,45.566453,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.115666,28.308962,59.091356,11.459190,6.543910,6.902282,54.144845,8.122405,6.050170,15.692808,9,16
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",78.246668,299.034989,75.247641,16.139658,5.613674,0.000000,2.999027,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.550762,88.768391,-nan,0.000000,-nan,0.000000,-nan,0.000000,34.695572,8.232582,75.247641,4.745166,8.414583,2.979910,75.247641,3.325718,10.077207,2.736733,9,10
