MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",76.066181,234.666644,74.048417,13.660439,9.564045,0.709334,2.017764,-nan,0.000000,0.000000,4.719437,-nan,0.000000,82.171968,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.104634,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.236090,2.636836,4.367347,2.468583,0.000000,74.048417,6.887804,5.131662,1.640973,9,13
"1997-Life Thru a Lens/02-Life Thru A Lens",70.228376,177.604423,69.164588,27.980582,1.466167,0.324875,1.063788,-nan,0.000000,0.000000,2.395385,-nan,0.000000,87.551272,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.705333,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.164588,18.555182,6.489136,2.772441,0.163823,69.164588,1.567243,8.243993,18.169346,12,14
"1997-Life Thru a Lens/03-Ego A Go Go",61.836247,214.959977,58.807874,35.589159,0.149882,2.424711,3.028374,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.720675,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.895256,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,58.807874,1.519351,22.501459,11.568349,0.000000,58.807874,2.258724,30.892880,2.437556,8,10
"1997-Life Thru a Lens/04-Angels",85.026475,264.999977,84.929872,14.218368,0.000000,0.755157,0.096604,-nan,0.000000,-nan,0.000000,0.000000,4.859300,93.823513,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.377610,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.372538,5.497630,3.986147,1.291925,0.000000,84.929872,5.274514,3.836289,5.107565,8,15
"1997-Life Thru a Lens/05-South Of The Border",64.450953,233.373311,63.634524,33.757161,1.487176,0.304710,0.816430,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.841001,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.315127,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.634524,17.150380,13.795688,2.811094,0.000000,63.634524,15.490559,12.054112,6.212490,8,12
"1997-Life Thru a Lens/06-Old Before I Die",62.154588,221.530951,62.080890,30.696643,7.148769,0.000000,0.073699,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.460475,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,32.151956,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.080890,15.884867,11.087864,3.723913,0.000000,62.080890,9.446809,5.695403,15.554432,14,15
"1997-Life Thru a Lens/07-One Of God's Better People",76.706412,201.779183,76.533798,22.990814,0.029041,0.273733,0.172614,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.199117,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,73.946244,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.378121,76.533798,13.416139,5.195602,4.379073,0.000000,76.533798,11.352162,5.262764,6.375888,12,16
"1997-Life Thru a Lens/08-Let Me Entertain You",62.100198,261.999977,61.660504,34.476595,0.482434,2.940773,0.439695,-nan,0.000000,0.000000,10.294924,0.000000,2.198318,83.426778,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,64.628699,3.691759,25.835477,1.981163,0.000000,61.660504,14.274775,9.763735,10.438084,8,5
"1997-Life Thru a Lens/09-Killing Me",42.364366,220.898367,41.500054,56.209431,1.105824,0.320378,0.864312,-nan,0.000000,0.000000,5.396033,0.000000,4.084578,87.328837,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.861889,0.000000,6.954482,17.169289,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.724598,8.623630,48.188571,21.072224,26.788763,1.659927,0.000000,41.500054,24.759002,2.291036,29.159393,14,15
"1997-Life Thru a Lens/10-Clean",59.604638,224.099635,56.508666,22.771402,2.351594,15.272365,3.095972,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.787244,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.508666,6.083824,14.584291,1.827424,0.275863,56.508666,7.422267,13.456702,1.892433,8,12
