MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",67.714330,234.666644,67.553548,29.719353,0.000000,2.566317,0.160782,-nan,0.000000,0.000000,4.719437,-nan,0.000000,76.688486,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.493521,5.884190,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.114725,12.388278,5.670339,2.324851,0.104331,67.553548,21.902242,3.856043,3.961068,9,18
"1997-Life Thru a Lens/02-Life Thru A Lens",47.452701,177.604423,46.820107,51.791230,0.000000,0.756069,0.632594,-nan,0.000000,0.000000,2.395385,-nan,0.000000,56.389853,76.819678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.843412,1.573537,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.831843,17.822738,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.700058,35.662085,5.581515,1.261049,0.287717,46.820107,29.486431,3.839815,18.464983,12,24
"1997-Life Thru a Lens/03-Ego A Go Go",32.351769,214.959977,31.946114,62.600801,0.000000,5.047430,0.405655,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.266134,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.200949,4.909642,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.889255,31.946114,26.647918,3.989153,13.277258,6.890699,31.946114,29.804683,5.275559,27.520559,8,29
"1997-Life Thru a Lens/04-Angels",77.534060,264.999977,77.388636,21.759604,0.000000,0.706336,0.145424,-nan,0.000000,-nan,0.000000,63.069086,4.859300,86.088048,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.170799,22.888428,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.421786,12.710505,3.312136,0.750867,0.024148,77.388636,13.993746,2.180866,5.584992,8,15
"1997-Life Thru a Lens/05-South Of The Border",45.427114,233.373311,44.465918,53.239431,1.173511,0.159943,0.961196,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.903121,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.351485,18.022160,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.465918,23.554546,16.996593,5.546086,0.336609,44.465918,29.155277,10.583542,13.500612,8,28
"1997-Life Thru a Lens/06-Old Before I Die",41.684751,221.530951,41.621861,58.163359,0.141082,0.010809,0.062890,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.020850,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.098978,44.773574,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.957272,28.393580,15.943791,2.274104,0.495930,41.621861,33.503014,3.748855,20.911490,14,35
"1997-Life Thru a Lens/07-One Of God's Better People",45.794914,201.779183,45.602442,53.951211,0.000000,0.253875,0.192472,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.419794,42.929408,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.953967,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.996816,49.205272,52.295341,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.362449,0.378121,47.150384,38.227886,3.332880,3.805972,0.431164,45.602442,35.170078,2.169566,16.611568,12,25
"1997-Life Thru a Lens/08-Let Me Entertain You",58.849055,261.999977,58.831330,37.669466,0.118736,3.362743,0.017725,-nan,0.000000,6.843908,10.294924,66.617838,2.198318,76.664177,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.734331,0.000000,9.482234,60.925270,13.837749,10.570435,3.191048,0.035424,58.831330,22.709036,0.739168,14.221262,8,18
"1997-Life Thru a Lens/09-Killing Me",48.158017,220.898367,47.851548,50.963761,0.000000,0.878222,0.306469,-nan,0.000000,0.000000,5.396033,82.209538,4.084578,80.603490,38.143746,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.861889,0.000000,6.954482,19.029686,28.750952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.983121,8.623630,53.245959,23.215363,17.263314,0.486520,0.000000,47.851548,26.424439,1.595382,22.943940,14,24
"1997-Life Thru a Lens/10-Clean",47.133726,224.099635,46.868953,34.762710,0.000000,18.103565,0.264773,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.711774,79.828882,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.330392,10.748439,8.080913,4.435224,0.131156,46.868953,17.822146,3.156111,13.784452,8,29
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",69.762255,127.814763,69.484661,24.721294,0.000000,5.516450,0.277595,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.262674,59.316709,-nan,0.000000,0.000000,4.356734,-nan,0.000000,-nan,0.000000,75.290874,13.135915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.779483,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.600902,8.617114,69.484661,20.786157,0.737072,1.053947,0.000426,69.484661,19.004259,0.083224,5.633811,7,14
"1998-I've Been Expecting You/01-Strong",44.432415,279.313356,44.290904,54.354763,0.000000,1.212822,0.141512,-nan,0.000000,0.000000,1.018549,-nan,0.000000,52.803004,80.460531,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.982633,11.155038,16.183953,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.178932,31.813204,7.521099,4.129937,0.024209,44.290904,45.251406,4.196840,4.906516,12,17
"1998-I've Been Expecting You/02-No Regrets",54.490311,296.426122,54.361651,45.052756,0.000000,0.456932,0.128660,-nan,0.000000,-nan,0.000000,36.877338,3.991848,68.734730,39.880467,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.277468,42.846389,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.123257,12.695703,54.361651,28.576981,5.009833,8.275226,0.074707,54.361651,28.948826,1.796106,14.307824,10,29
"1998-I've Been Expecting You/03-Millennium",27.029708,247.573311,26.691193,69.457784,0.600257,2.912250,0.338515,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.798265,48.708099,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,48.041136,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.691193,24.071790,14.632668,9.656041,0.012145,26.691193,37.563851,2.545690,29.348243,2,23
"1998-I've Been Expecting You/04-Phoenix From The Flames",54.994557,216.007621,54.994557,44.716810,0.163448,0.103685,0.021499,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.922284,58.903094,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.342241,11.186481,-nan,0.000000,0.000000,10.426986,0.000000,5.329440,40.921388,13.296939,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.731876,-nan,0.000000,57.428018,19.195730,15.749170,1.110462,0.000000,54.994557,21.978732,2.679031,20.059047,17,28
"1998-I've Been Expecting You/05-Win Some Lose Some",57.816585,258.733311,57.666587,40.066929,0.000000,2.116486,0.149998,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.445566,88.221975,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.232816,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.801464,8.278725,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.254824,18.858350,10.440015,1.714335,0.142820,57.666587,26.676125,7.061292,6.329511,7,25
"1998-I've Been Expecting You/06-Grace",48.969939,193.632744,48.765282,46.947327,0.000000,4.082734,0.204656,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.793309,35.619679,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.157726,23.601064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.792811,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.915535,3.169815,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.561302,25.529241,49.460804,13.068653,5.007364,4.478147,0.529581,48.765282,21.667945,0.760469,24.518913,11,30
"1998-I've Been Expecting You/07-It's Only Us",65.443657,159.580000,65.110881,33.595772,0.000000,0.960571,0.332776,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.595828,74.342555,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.284532,3.649716,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.937585,5.216187,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.686192,15.498195,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.110881,17.221880,6.959852,1.724737,0.249606,65.110881,24.000033,3.547337,6.048402,11,25
"1998-I've Been Expecting You/08-Heaven From Here",53.564299,169.647890,53.536924,46.174122,0.200295,0.061285,0.027374,-nan,0.000000,21.046733,2.341158,24.028222,2.356167,68.663247,58.603199,-nan,0.000000,0.000000,4.658855,-nan,0.000000,0.000000,3.445258,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.974906,16.627196,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.840183,25.119193,7.039323,62.394741,23.434719,7.576490,2.668018,0.036424,53.536924,29.029382,3.811602,13.333139,17,24
"1998-I've Been Expecting You/09-Karma Killer",48.791205,258.009683,44.495852,43.006647,0.000000,8.202147,4.295353,-nan,0.000000,49.027806,2.665450,41.171420,14.008158,51.048164,38.637082,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.315718,0.000000,0.685142,-nan,0.000000,0.000000,0.664919,0.000000,2.004496,82.234660,21.521536,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.401192,20.312321,7.339298,4.934758,0.002769,44.495852,21.178370,1.236624,20.591653,15,31
"1998-I've Been Expecting You/10-She's The One",72.659034,258.035465,72.641037,26.714789,0.131923,0.494254,0.017997,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.801742,47.460132,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.346874,15.309229,-nan,0.000000,0.000000,0.878889,-nan,0.000000,-nan,0.000000,56.308389,13.882621,-nan,0.000000,0.000000,0.567176,-nan,0.000000,78.938435,21.389702,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.641037,10.450803,4.857513,4.606558,0.158840,72.641037,12.837975,2.924215,10.952598,12,11
