Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1997-Life Thru a Lens/01-Lazy Days",234.666644,90,92,0.886941,0.891245,0.895591,0.886941
"1997-Life Thru a Lens/02-Life Thru A Lens",187.533311,80,82,0.854108,0.875075,0.854108,0.897096
"1997-Life Thru a Lens/03-Ego A Go Go",214.959977,116,165,0.782452,0.836012,0.897443,0.782452
"1997-Life Thru a Lens/04-Angels",264.999977,77,88,0.940525,0.948084,0.955765,0.940525
"1997-Life Thru a Lens/05-South Of The Border",233.373311,119,120,0.782559,0.794172,0.782559,0.806134
"1997-Life Thru a Lens/06-Old Before I Die",233.626644,117,117,0.775682,0.824700,0.775682,0.880331
"1997-Life Thru a Lens/07-One Of God's Better People",213.733311,104,106,0.833030,0.860467,0.833030,0.889773
"1997-Life Thru a Lens/08-Let Me Entertain You",261.999977,101,85,0.788245,0.866695,0.788245,0.962487
"1997-Life Thru a Lens/09-Killing Me",236.266644,108,99,0.819266,0.859938,0.819266,0.904860
"1997-Life Thru a Lens/10-Clean",235.439977,105,135,0.751243,0.823236,0.910489,0.751243
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",199.999977,67,76,0.910551,0.912728,0.914915,0.910551
"1998-I've Been Expecting You/01-Strong",279.313356,103,115,0.896966,0.897203,0.897439,0.896966
"1998-I've Been Expecting You/02-No Regrets",310.599977,75,115,0.778966,0.857381,0.953351,0.778966
"1998-I've Been Expecting You/03-Millennium",247.573311,93,125,0.772347,0.799626,0.828902,0.772347
"1998-I've Been Expecting You/04-Phoenix From The Flames",242.444308,130,108,0.716910,0.800709,0.716910,0.906692
"1998-I've Been Expecting You/05-Win Some Lose Some",258.733311,86,95,0.904027,0.908730,0.913483,0.904027
"1998-I've Been Expecting You/06-Grace",193.632744,68,85,0.871200,0.899769,0.930276,0.871200
"1998-I've Been Expecting You/07-It's Only Us",170.733311,67,79,0.889665,0.911960,0.935401,0.889665
"1998-I've Been Expecting You/08-Heaven From Here",185.495714,112,104,0.844697,0.875729,0.844697,0.909129
"1998-I've Been Expecting You/09-Karma Killer",268.266644,120,119,0.838437,0.853720,0.838437,0.869571
"1998-I've Been Expecting You/10-She's The One",258.035465,88,87,0.885267,0.896150,0.885267,0.907303
"1998-I've Been Expecting You/11-Man Machine",214.999977,203,134,0.633817,0.749034,0.633817,0.915446
"1998-I've Been Expecting You/12-1-These Dreams",309.847052,187,152,0.844329,0.875922,0.844329,0.909970
"1998-I've Been Expecting You/12-2-Stand Your Ground",211.109161,59,53,0.845694,0.868113,0.845694,0.891753
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",229.435442,110,115,0.870082,0.906794,0.946740,0.870082
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",299.034989,114,134,0.883572,0.883728,0.883883,0.883572
"2000-Sing When You 're Winning/02-Better Man",202.639977,65,77,0.888702,0.894979,0.901345,0.888702
"2000-Sing When You 're Winning/03-Rock DJ",258.566689,102,111,0.846612,0.849310,0.846612,0.852026
"2000-Sing When You 're Winning/04-Supreme",258.426395,92,108,0.907682,0.930668,0.954848,0.907682
"2000-Sing When You 're Winning/05-Kids",286.706644,128,148,0.846826,0.869412,0.893235,0.846826
"2000-Sing When You 're Winning/06-If It's Hurting You",250.370227,68,88,0.834667,0.886390,0.944947,0.834667
"2000-Sing When You 're Winning/07-Singing For The Lonely",271.593878,114,98,0.841245,0.880918,0.841245,0.924517
"2000-Sing When You 're Winning/08-Love Calling Earth",245.626644,74,91,0.882981,0.920197,0.960689,0.882981
"2000-Sing When You 're Winning/09-Knutsford City Limits",285.469320,179,171,0.819488,0.837162,0.819488,0.855615
"2000-Sing When You 're Winning/10-Forever Texas",217.631111,90,112,0.779685,0.844003,0.919886,0.779685
"2000-Sing When You 're Winning/11-By All Means Necessary",285.666644,118,147,0.866494,0.901845,0.940204,0.866494
"2000-Sing When You 're Winning/12-The Road To Mandalay(cut)",237.694535,85,96,0.908927,0.915691,0.922557,0.908927
"2002-Escapology/01-How Peculiar",193.422426,94,85,0.815588,0.857411,0.815588,0.903755
"2002-Escapology/02-Feel",263.899615,118,128,0.871885,0.876570,0.881306,0.871885
"2002-Escapology/03-Something Beautiful",288.766259,122,136,0.910337,0.919044,0.927919,0.910337
"2002-Escapology/04-Monsoon",226.632676,48,70,0.866915,0.908749,0.954825,0.866915
"2002-Escapology/05-Sexed Up",261.666644,115,122,0.916917,0.918187,0.919460,0.916917
"2002-Escapology/06-Love Somebody",250.097370,112,115,0.905706,0.907875,0.910054,0.905706
"2002-Escapology/07-Revolution",344.554989,174,181,0.862554,0.873399,0.884519,0.862554
"2002-Escapology/08-Handsome Man",236.533311,139,184,0.814639,0.859583,0.909777,0.814639
"2002-Escapology/09-Come Undone",278.439977,84,90,0.957935,0.967421,0.977098,0.957935
"2002-Escapology/10-Me and My Monkey",432.734966,111,159,0.821305,0.889375,0.969747,0.821305
"2002-Escapology/11-Song 3",230.804376,154,147,0.877478,0.903214,0.877478,0.930506
"2002-Escapology/12-Hot Fudge",248.113356,145,177,0.828386,0.874035,0.925007,0.828386
"2002-Escapology/13-Cursed",241.828481,93,110,0.844480,0.880807,0.920401,0.844480
"2002-Escapology/14a-Nan's Song",231.766349,103,106,0.880128,0.887181,0.880128,0.894347
"2002-Escapology/14b-How Peculiar (Reprise)",133.765760,38,50,0.845089,0.899600,0.961629,0.845089
"2002-Escapology/14c-I Tried Love",211.009864,71,86,0.855332,0.866782,0.878544,0.855332
"2005-Intensive Care (Special Edition)/01-Ghosts",222.479977,50,81,0.847852,0.907963,0.977247,0.847852
"2005-Intensive Care (Special Edition)/02-Tripping",276.586644,107,127,0.821073,0.861073,0.905170,0.821073
"2005-Intensive Care (Special Edition)/03-Make Me Pure",273.213311,65,93,0.849480,0.906975,0.972818,0.849480
"2005-Intensive Care (Special Edition)/04-Spread Your Wings",230.933311,169,138,0.824151,0.879061,0.824151,0.941811
"2005-Intensive Care (Special Edition)/05-Advertising Space",277.493311,74,90,0.923617,0.943502,0.964262,0.923617
"2005-Intensive Care (Special Edition)/06-Please Don't Die",287.551247,164,172,0.919584,0.929715,0.940071,0.919584
"2005-Intensive Care (Special Edition)/07-Your Gay Friend",201.563560,128,119,0.879570,0.899974,0.879570,0.921347
"2005-Intensive Care (Special Edition)/08-Sin Sin Sin",249.853311,79,83,0.812290,0.854152,0.812290,0.900563
"2005-Intensive Care (Special Edition)/09-Random Acts Of Kindness",255.203696,145,148,0.812243,0.821508,0.830987,0.812243
"2005-Intensive Care (Special Edition)/10-The Trouble With Me",260.906644,115,125,0.919714,0.927291,0.934993,0.919714
"2005-Intensive Care (Special Edition)/11-A Place To Crash",274.026644,72,91,0.883772,0.926588,0.973764,0.883772
"2005-Intensive Care (Special Edition)/12-King Of Bloke And Bird",373.119977,75,129,0.697192,0.810836,0.968745,0.697192
