MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",75.941518,107.247000,75.583466,23.965239,0.000000,0.093243,0.358052,66.883177,40.482251,82.123857,59.066454,75.583466,16.501161,1.466708,5.997371,75.583466,10.088860,4.679851,9.196528,3,8
"a_ha/Hunting_High_and_Low/01-Take_On_Me",62.710526,228.000000,59.384649,33.569298,1.235526,2.484649,3.325877,77.621773,52.792544,44.462574,41.396930,59.384649,16.310526,12.258333,5.000439,59.384649,3.809649,11.356140,18.403509,8,13
"abba/Arrival/02-Dancing_Queen",86.796522,230.000000,85.579130,12.758261,0.000000,0.445217,1.217391,86.911606,82.658696,87.629295,15.678696,85.579130,1.656522,9.840870,1.260870,85.579130,1.200000,9.674348,1.883913,7,10
"abba/Live/03-I_Have_A_Dream",94.536375,250.310000,93.200032,4.263114,0.097080,1.103432,1.336343,95.530767,97.560225,-nan,0.000000,93.200032,0.000000,3.787703,0.475410,93.200032,0.000000,4.263114,-0.000000,3,3
"abba/Live/06-Thank_You_for_The_Music",64.701641,209.412000,61.188471,34.211984,0.837106,0.249269,3.513170,72.044973,57.040189,51.263340,39.197372,61.188471,19.367085,7.477126,7.367773,61.188471,15.596050,10.138387,8.477547,11,14
"abba/Live/08-Fernando",90.397531,324.000000,88.135802,4.067593,0.000000,5.534877,2.261728,95.681198,81.927160,94.849076,10.276235,88.135802,0.173765,3.403086,0.490741,88.135802,0.099691,3.809259,0.158642,7,7
"abba/Live/10-Super_Trouper",81.610266,263.000000,78.236882,16.278707,2.111027,0.000000,3.373384,89.119174,75.603042,51.656659,21.023574,78.236882,7.319011,8.235361,0.724335,78.236882,4.946388,7.392776,3.939544,7,10
"ac_dc/Back_In_Black/01-Hells_Bells",48.851642,56.559000,48.172705,15.368023,0.000000,35.780336,0.678937,28.834295,17.776128,94.061969,45.764600,48.172705,2.717516,12.187273,0.463233,48.172705,2.717516,12.650507,0.000000,3,4
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",48.992623,106.961000,47.197577,46.490777,0.000000,4.516600,1.795047,50.377208,93.688354,-nan,0.000000,47.197577,0.000000,36.888212,9.602565,47.197577,0.000000,46.490777,0.000000,2,3
"aerosmith/Nine_Lives/02-Falling_In_Love",21.079431,72.075000,5.706556,35.764135,0.000000,43.156434,15.372875,-nan,0.000000,13.760455,41.470690,5.706556,23.661464,10.283732,1.818939,5.706556,1.420742,2.804024,31.539369,2,8
"alanis_morissette/MTV_Unplugged/08-Ironic",71.218065,243.698000,59.108405,20.960369,6.828534,0.993032,12.109660,64.982322,67.548359,78.629143,19.348948,59.108405,5.057900,9.311935,6.590534,59.108405,3.294652,13.117875,4.547842,7,11
"alanis_morissette/MTV_Unplugged/12-Uninvited",70.128009,92.103000,37.575323,6.450387,0.972824,22.448780,32.552686,89.079040,24.615919,76.769829,20.382615,37.575323,2.358229,4.092158,0.000000,37.575323,2.358229,3.155163,0.936994,3,4
"all_saints/All_Saints/01-Never_Ever",82.918605,387.000000,81.779587,15.452455,1.488372,0.140568,1.139018,93.421189,87.352713,1.527516,11.367700,81.779587,8.191990,5.215762,2.044703,81.779587,8.191990,5.721964,1.538501,7,6
"aqua/Aquarium/05-Doctor_Jones",62.477416,189.294000,59.387514,35.320190,1.639249,0.563145,3.089902,71.083100,83.360804,1.017004,12.986149,59.387514,10.063182,16.852093,8.404915,59.387514,6.167126,22.462941,6.690122,4,6
"backstreet_boys/Millennium/02-I_Want_It_That_Way",83.764365,208.492000,83.641579,14.688333,0.000000,1.547302,0.122786,86.087167,61.429695,83.355863,36.900217,83.641579,6.617520,3.918616,4.152198,83.641579,2.625041,5.730676,6.332617,9,13
