MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",69.809267,107.247000,69.462852,30.085853,0.000000,0.104880,0.346415,80.697927,40.482251,62.293421,59.066454,69.462852,22.323863,1.891260,4.614977,69.462852,16.801292,5.910600,7.373961,3,9
"a_ha/Hunting_High_and_Low/01-Take_On_Me",76.111959,228.000000,73.688122,20.501352,0.000000,3.386689,2.423837,80.280616,52.792544,75.623827,41.396930,73.688122,11.501436,6.360352,2.639563,73.688122,1.449308,6.000495,13.051549,8,7
"abba/Arrival/02-Dancing_Queen",88.196253,230.000000,88.176061,10.161330,0.000000,1.642417,0.020191,89.134545,82.658696,92.473310,15.678696,88.176061,0.639585,7.778312,1.743433,88.176061,0.000000,7.645239,2.516091,7,10
"abba/Live/03-I_Have_A_Dream",91.607849,250.310000,90.536814,7.023412,0.000000,1.368739,1.071036,92.800948,97.560225,-nan,0.000000,90.536814,0.445271,6.425662,0.152479,90.536814,0.000000,6.578141,0.445271,3,4
"abba/Live/06-Thank_You_for_The_Music",65.882524,209.412000,62.444338,33.488676,0.304547,0.324253,3.438186,69.578497,57.040189,58.056525,39.197372,62.444338,13.642218,8.278392,6.909503,62.444338,7.444435,8.915962,17.128279,11,19
"abba/Live/08-Fernando",88.575331,324.000000,85.927141,6.276254,0.000000,5.148415,2.648190,93.631334,81.927160,89.698691,10.276235,85.927141,0.421476,3.493808,0.239641,85.927141,0.000000,2.439099,3.837155,7,12
"abba/Live/10-Super_Trouper",86.731520,263.000000,83.884517,12.724442,0.017658,0.526381,2.847003,88.176621,75.603042,81.909522,21.023574,83.884517,1.777344,9.015855,1.013039,83.884517,0.085510,7.410256,5.228676,7,12
"ac_dc/Back_In_Black/01-Hells_Bells",51.168749,56.559000,51.086640,12.454087,0.000000,36.377164,0.082109,44.140733,17.776128,94.483788,45.764600,51.086640,1.995913,4.008978,0.848772,51.086640,1.995913,4.159897,6.298277,3,7
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",47.308273,106.961000,47.047767,46.640587,0.000000,6.051141,0.260506,50.217306,93.688354,-nan,0.000000,47.047767,0.911770,33.782373,11.946444,47.047767,0.911770,43.471101,2.257716,2,5
"aerosmith/Nine_Lives/02-Falling_In_Love",27.723874,72.075000,16.621682,24.849009,0.000000,47.427118,11.102192,-nan,0.000000,40.080552,41.470690,16.621682,18.705987,6.005284,0.000000,16.621682,0.245949,3.567199,21.035860,2,9
