MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",75.941518,107.247000,75.583466,23.965239,0.000000,0.093243,0.358052,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.883177,40.482251,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.123857,59.066454,75.583466,16.501161,1.466708,5.997371,75.583466,10.088860,4.679851,9.196528,3,8
"a_ha/Hunting_High_and_Low/01-Take_On_Me",61.232018,228.000000,57.906140,35.047807,1.235526,2.484649,3.325877,-nan,0.000000,-nan,0.000000,0.000000,1.248684,78.192648,51.543860,-nan,0.000000,0.000000,10.005702,0.000000,0.614474,57.194568,30.776754,59.384649,16.310526,12.258333,5.000439,57.906140,5.288158,7.823684,21.935965,11,13
"abba/Arrival/02-Dancing_Queen",60.047826,230.000000,58.830435,39.506957,0.000000,0.445217,1.217391,-nan,0.000000,0.000000,29.204348,0.000000,5.118696,93.287878,48.335652,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.629295,15.678696,85.579130,1.656522,9.840870,1.260870,58.830435,27.948696,2.196957,9.361304,12,10
"abba/Live/03-I_Have_A_Dream",94.197195,250.310000,92.860853,4.602293,0.097080,1.103432,1.336343,-nan,0.000000,0.000000,0.339179,-nan,0.000000,95.515175,97.221046,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.200032,0.000000,3.787703,0.475410,92.860853,0.339179,4.263114,-0.000000,4,3
"abba/Live/06-Thank_You_for_The_Music",63.408974,209.412000,59.895803,35.504651,0.837106,0.249269,3.513170,-nan,0.000000,-nan,0.000000,0.000000,4.446259,75.677786,52.593930,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.263340,39.197372,61.188471,19.367085,7.477126,7.367773,59.895803,16.888717,10.123584,8.492350,13,14
"abba/Live/08-Fernando",90.397531,324.000000,88.135802,4.067593,0.000000,5.534877,2.261728,-nan,0.000000,-nan,0.000000,0.000000,0.317593,96.053552,81.609568,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.849076,10.276235,88.135802,0.173765,3.403086,0.490741,88.135802,0.099691,3.491667,0.476235,8,7
"abba/Live/10-Super_Trouper",77.802662,263.000000,74.429278,20.086312,2.111027,0.000000,3.373384,-nan,0.000000,0.000000,2.612928,0.000000,3.101901,90.958402,69.888213,-nan,0.000000,-nan,0.000000,0.000000,0.782890,53.654688,20.240684,78.236882,7.319011,8.235361,0.724335,74.429278,8.753992,5.747148,5.585171,10,10
"ac_dc/Back_In_Black/01-Hells_Bells",48.625329,56.559000,47.946392,15.594335,0.000000,35.780336,0.678937,-nan,0.000000,-nan,0.000000,0.000000,12.360544,90.466863,5.415584,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.061969,45.764600,48.172705,2.717516,12.187273,0.463233,47.946392,2.943829,0.516275,12.134232,4,4
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",43.763615,106.961000,41.968568,51.719786,0.000000,4.516600,1.795047,-nan,0.000000,0.000000,29.293855,-nan,0.000000,65.174151,64.394499,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.197577,0.000000,36.888212,9.602565,41.968568,5.229009,22.425931,24.064846,2,3
"aerosmith/Nine_Lives/02-Falling_In_Love",15.372875,72.075000,0.000000,41.470690,0.000000,43.156434,15.372875,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.470690,-nan,0.000000,5.706556,23.661464,10.283732,1.818939,0.000000,7.127298,0.000000,34.343392,2,8
"alanis_morissette/MTV_Unplugged/08-Ironic",59.805169,243.698000,47.695508,32.373265,6.828534,0.993032,12.109660,-nan,0.000000,0.000000,1.075922,0.000000,15.558601,63.797189,50.913836,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.629143,19.348948,59.108405,5.057900,9.311935,6.590534,47.695508,14.707548,9.574966,8.090752,9,11
"alanis_morissette/MTV_Unplugged/12-Uninvited",70.128009,92.103000,37.575323,6.450387,0.972824,22.448780,32.552686,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.079040,24.615919,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.769829,20.382615,37.575323,2.358229,4.092158,0.000000,37.575323,2.358229,3.155163,0.936994,3,4
"all_saints/All_Saints/01-Never_Ever",82.001292,387.000000,80.862274,16.369767,1.488372,0.140568,1.139018,-nan,0.000000,-nan,0.000000,0.000000,1.399483,93.875042,85.953230,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.527516,11.367700,81.779587,8.191990,5.215762,2.044703,80.862274,9.109302,5.239793,2.020672,8,6
"aqua/Aquarium/05-Doctor_Jones",52.712711,189.294000,49.622809,45.084894,1.639249,0.563145,3.089902,-nan,0.000000,0.000000,9.043076,0.000000,7.505256,74.271776,66.812472,-nan,0.000000,0.000000,2.214545,-nan,0.000000,0.000000,10.771604,59.387514,10.063182,16.852093,8.404915,49.622809,15.931831,16.983634,12.169430,8,6
"backstreet_boys/Millennium/02-I_Want_It_That_Way",83.764365,208.492000,83.641579,14.688333,0.000000,1.547302,0.122786,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.087167,61.429695,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.355863,36.900217,83.641579,6.617520,3.918616,4.152198,83.641579,2.625041,5.730676,6.332617,9,13
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",87.748643,232.864000,87.083018,11.624382,0.045520,0.581455,0.665625,-nan,0.000000,0.000000,0.319929,0.000000,0.304040,84.307325,60.381596,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.839590,37.747355,87.083018,3.791913,3.160214,4.672255,87.083018,2.100368,6.042583,3.481431,12,14
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",58.707949,218.691000,57.135868,32.935054,7.862235,0.494762,1.572081,-nan,0.000000,0.000000,1.811689,0.000000,9.673923,69.272157,65.695891,-nan,0.000000,0.000000,0.493847,-nan,0.000000,57.394700,20.257807,60.661847,7.444751,10.550503,11.004111,57.135868,7.413199,10.778221,14.743634,19,20
"beach_boys/Pet_Sounds/08-God_Only_Knows",38.202051,160.761000,37.012708,55.584999,0.000000,6.212950,1.189343,-nan,0.000000,0.000000,15.921150,0.000000,26.455421,81.333646,21.194195,-nan,0.000000,0.000000,0.634482,-nan,0.000000,69.647708,28.392458,64.612686,7.480048,14.721232,5.587176,37.012708,31.740907,6.551962,17.292129,14,19
