MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",75.129514,104.815000,74.763154,24.775080,0.000000,0.095406,0.366360,70.852040,39.101274,-nan,0.000000,-nan,0.000000,77.864777,60.436960,-nan,0.000000,74.763154,17.172160,1.500739,6.102180,0.000000,74.763154,12.897009,4.788437,7.089634,3,8
"a_ha/Hunting_High_and_Low/01-Take_On_Me",32.201316,228.000000,28.875439,64.078509,1.235526,2.484649,3.325877,77.824894,30.202193,0.000000,6.283333,0.000000,16.307018,34.419271,15.603509,0.000000,25.793421,28.875439,43.281140,13.844737,3.892982,3.059649,28.875439,34.318860,7.941667,21.817982,13,13
"abba/Arrival/02-Dancing_Queen",75.985652,230.000000,74.768261,23.569130,0.000000,0.445217,1.217391,87.506602,71.613478,0.000000,0.873478,0.000000,10.171739,90.797586,13.328261,0.000000,2.350435,74.768261,11.761304,9.713913,2.043478,0.050435,74.768261,12.010870,8.381304,3.176957,11,10
"abba/Live/03-I_Have_A_Dream",56.020135,250.310000,54.683792,42.779354,0.097080,1.103432,1.336343,98.023418,49.438297,-nan,0.000000,12.931077,48.121929,-nan,0.000000,-nan,0.000000,54.683792,38.516240,0.404698,3.858416,0.000000,54.683792,38.516240,0.864128,3.398985,3,4
"abba/Live/06-Thank_You_for_The_Music",39.248123,203.597000,35.634612,59.634474,0.861015,0.256389,3.613511,72.954418,31.550563,-nan,0.000000,8.277036,27.118769,40.000810,24.258216,5.066964,13.202552,35.634612,39.292327,10.530116,6.781534,3.030497,35.634612,40.866025,4.557533,14.210917,15,21
"abba/Live/08-Fernando",57.772840,324.000000,55.511111,36.692284,0.000000,5.534877,2.261728,97.424374,46.974074,-nan,0.000000,0.000000,34.953086,94.849076,10.276235,-nan,0.000000,55.511111,32.798457,1.457716,2.436111,0.000000,55.511111,32.724383,1.480864,2.487037,10,7
"abba/Live/10-Super_Trouper",81.610266,263.000000,78.236882,16.278707,2.111027,0.000000,3.373384,89.119174,75.603042,-nan,0.000000,-nan,0.000000,51.656659,21.023574,-nan,0.000000,78.236882,7.319011,8.235361,0.724335,0.000000,78.236882,4.946388,7.392776,3.939544,7,10
"ac_dc/Back_In_Black/01-Hells_Bells",7.107622,56.559000,6.428685,57.112042,0.000000,35.780336,0.678937,28.834295,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,2.847319,45.764600,6.428685,41.744020,14.904790,0.463233,0.000000,6.428685,44.461536,12.650507,0.000000,3,5
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",33.943213,106.961000,32.148166,61.540188,0.000000,4.516600,1.795047,42.872104,74.986210,-nan,0.000000,0.000000,18.702144,-nan,0.000000,-nan,0.000000,32.148166,15.049411,36.864839,9.625938,0.000000,32.148166,15.049411,37.452903,9.037874,3,4
"aerosmith/Nine_Lives/02-Falling_In_Love",21.079431,72.075000,5.706556,35.764135,0.000000,43.156434,15.372875,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.760455,41.470690,-nan,0.000000,5.706556,23.661464,10.283732,1.818939,0.000000,5.706556,1.420742,2.804024,31.539369,2,8
"alanis_morissette/MTV_Unplugged/08-Ironic",66.029828,208.530000,51.877907,28.815518,3.994150,1.160504,14.151921,72.558422,49.003980,39.754570,13.325661,-nan,0.000000,-nan,0.000000,49.306136,22.357934,51.877907,13.045605,9.638421,6.099842,0.031650,51.877907,15.019422,8.973769,4.822328,7,12
"alanis_morissette/MTV_Unplugged/12-Uninvited",64.611359,92.103000,32.058673,11.967037,0.972824,22.448780,32.552686,83.527377,16.319772,-nan,0.000000,33.503468,8.296147,76.769829,20.382615,-nan,0.000000,32.058673,7.874879,4.092158,0.000000,0.000000,32.058673,7.874879,3.155163,0.936994,4,5
"all_saints/All_Saints/01-Never_Ever",67.954522,387.000000,66.815504,30.416537,1.488372,0.140568,1.139018,87.227307,65.217054,-nan,0.000000,44.852624,22.135659,-nan,0.000000,0.000000,11.367700,66.815504,19.991473,7.860465,2.564599,0.000000,66.815504,23.156072,5.168992,2.091473,9,10
"aqua/Aquarium/05-Doctor_Jones",62.477416,189.294000,59.387514,35.320190,1.639249,0.563145,3.089902,71.083100,83.360804,-nan,0.000000,-nan,0.000000,1.017004,12.986149,-nan,0.000000,59.387514,10.063182,16.852093,8.404915,0.000000,59.387514,6.167126,22.462941,6.690122,4,6
"backstreet_boys/Millennium/02-I_Want_It_That_Way",81.249161,208.492000,81.126374,17.203538,0.000000,1.547302,0.122786,86.680149,58.107745,-nan,0.000000,0.000000,3.321950,83.355863,36.900217,-nan,0.000000,81.126374,9.009938,3.952190,3.646663,0.594747,81.126374,5.140245,5.580070,6.483222,11,13
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",77.314656,232.864000,76.649031,22.058369,0.045520,0.581455,0.665625,85.977390,44.861808,-nan,0.000000,11.776129,16.143758,95.839590,37.747355,-nan,0.000000,76.649031,13.355005,1.981414,6.327728,0.394222,76.649031,12.534355,4.144050,5.379964,12,16
