MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"3_doors_down/The_Better_Life/01-Kryptonite",50.010998,104.815000,49.656545,49.881689,0.000000,0.107314,0.354452,47.723557,39.101274,-nan,0.000000,-nan,0.000000,51.286541,60.436960,-nan,0.000000,49.656545,28.676401,7.950940,3.348314,0.251135,49.656545,38.609168,1.780611,9.491910,3,15
"a_ha/Hunting_High_and_Low/01-Take_On_Me",54.066359,228.000000,51.642522,42.546952,0.000000,3.386689,2.423837,68.573848,30.202193,19.291344,6.283333,35.904285,16.307018,74.946580,15.603509,47.183979,25.793421,51.642522,29.203508,8.934224,3.482369,0.051010,51.642522,23.494908,4.450459,14.601584,13,16
"abba/Arrival/02-Dancing_Queen",76.211828,230.000000,76.191637,22.145755,0.000000,1.642417,0.020191,86.390064,71.613478,0.000000,0.873478,32.156114,10.171739,65.304103,13.328261,99.980202,2.350435,76.191637,11.587026,6.962733,1.778782,0.181721,76.191637,11.984425,5.985209,4.176121,11,18
"abba/Live/03-I_Have_A_Dream",52.379218,250.310000,51.308182,46.252043,0.000000,1.368739,1.071036,69.836247,49.438297,-nan,0.000000,34.874602,48.121929,-nan,0.000000,-nan,0.000000,51.308182,39.117314,1.475851,5.102290,0.000000,51.308182,39.228632,2.464379,4.559033,3,10
"abba/Live/06-Thank_You_for_The_Music",40.142103,203.597000,36.605718,59.211138,0.313245,0.333514,3.536386,56.693882,31.550563,-nan,0.000000,25.135972,27.118769,29.880716,24.258216,35.246092,13.202552,36.605718,26.481903,7.692452,8.736069,0.912420,36.605718,32.836105,1.479869,24.895164,15,29
"abba/Live/08-Fernando",66.204337,324.000000,63.556147,28.647248,0.000000,5.148415,2.648190,96.305729,46.974074,-nan,0.000000,26.034252,34.953086,89.698691,10.276235,-nan,0.000000,63.556147,22.792470,2.232488,1.228628,0.000000,63.556147,22.370994,1.092148,5.184106,10,16
"abba/Live/10-Super_Trouper",79.135326,263.000000,76.288322,20.320636,0.017658,0.526381,2.847003,82.168226,75.603042,-nan,0.000000,-nan,0.000000,67.384566,21.023574,-nan,0.000000,76.288322,9.038041,7.812153,2.002457,0.214284,76.288322,7.681704,5.475293,7.163639,7,17
"ac_dc/Back_In_Black/01-Hells_Bells",51.168749,56.559000,51.086640,12.454087,0.000000,36.377164,0.082109,44.140733,17.776128,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.483788,45.764600,51.086640,0.000000,5.476331,1.377331,0.000000,51.086640,1.995913,2.226130,8.232043,3,9
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",12.599460,106.961000,12.338954,81.349400,0.000000,6.051141,0.260506,13.760140,74.986210,-nan,0.000000,10.804891,18.702144,-nan,0.000000,-nan,0.000000,12.338954,35.135438,31.323878,2.943640,0.000000,12.338954,35.620583,30.838733,14.890084,3,7
"aerosmith/Nine_Lives/02-Falling_In_Love",27.723874,72.075000,16.621682,24.849009,0.000000,47.427118,11.102192,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.080552,41.470690,-nan,0.000000,16.621682,4.450126,5.748280,0.000000,0.000000,16.621682,0.245949,1.984353,22.618707,2,11
"alanis_morissette/MTV_Unplugged/08-Ironic",71.460245,208.530000,62.287169,22.400406,0.000000,6.139348,9.173077,73.175465,49.003980,46.005103,13.325661,-nan,0.000000,-nan,0.000000,90.785644,22.357934,62.287169,5.401739,3.805470,5.237740,0.145086,62.287169,7.473061,4.525212,10.402134,7,15
"alanis_morissette/MTV_Unplugged/12-Uninvited",66.852653,92.103000,36.334169,8.664366,0.000000,24.482981,30.518485,76.738324,16.319772,-nan,0.000000,94.053057,8.296147,78.536877,20.382615,-nan,0.000000,36.334169,0.000000,5.952443,0.493367,0.000000,36.334169,0.000000,1.577697,7.086668,4,6
"all_saints/All_Saints/01-Never_Ever",61.838451,387.000000,61.822256,36.898157,0.000000,1.263391,0.016195,82.461947,65.217054,-nan,0.000000,29.813825,22.135659,-nan,0.000000,12.698408,11.367700,61.822256,17.682138,3.601438,7.223190,0.162944,61.822256,23.329334,2.949637,10.619186,9,27
"aqua/Aquarium/05-Doctor_Jones",65.324479,189.294000,63.797526,32.549426,0.000000,2.126094,1.526953,70.185742,83.360804,-nan,0.000000,-nan,0.000000,40.736691,12.986149,-nan,0.000000,63.797526,10.869852,9.256375,3.453975,0.112733,63.797526,15.027989,8.042939,9.478499,4,12
"backstreet_boys/Millennium/02-I_Want_It_That_Way",75.301393,208.492000,75.266372,23.063540,0.000000,1.635067,0.035021,78.570030,58.107745,-nan,0.000000,0.000000,3.321950,80.246410,36.900217,-nan,0.000000,75.266372,16.005281,1.081201,1.537552,0.140586,75.266372,16.298913,1.289622,5.475004,11,17
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",68.629470,232.864000,68.234571,30.448524,0.069826,0.852181,0.394899,66.918812,44.861808,-nan,0.000000,15.610115,16.143758,94.559005,37.747355,-nan,0.000000,68.234571,18.153451,3.277748,4.935520,0.646416,68.234571,19.070102,4.208690,7.169732,12,24
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",58.709678,218.691000,58.688443,39.244714,0.000000,2.045608,0.021235,55.873619,54.593467,66.274829,20.267867,0.000000,2.320169,38.846976,4.529679,80.094805,16.221975,58.688443,15.802673,3.316820,7.200363,3.331455,58.688443,17.347087,5.192064,16.705564,21,31
"beach_boys/Pet_Sounds/08-God_Only_Knows",65.707085,146.457000,65.669741,26.205008,0.000000,8.087907,0.037345,84.523910,64.148521,-nan,0.000000,93.145950,1.429771,100.000000,0.696450,36.799516,25.600005,65.669741,10.514671,3.817868,3.567543,0.034985,65.669741,17.172277,3.408184,5.624546,10,20
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",62.724016,126.000000,62.097446,35.629538,0.000000,1.646446,0.626570,63.541761,97.726984,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.097446,6.948803,4.219247,1.688790,0.511027,62.097446,26.315378,4.190456,5.123703,4,15
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",46.382302,130.598000,46.064708,50.499558,0.000000,3.118140,0.317594,47.703680,96.564266,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.064708,15.294347,7.931250,5.936387,2.633312,46.064708,26.653914,7.385043,16.460601,3,20
"beck/Mellow_Gold/01-Loser",52.440636,183.507000,50.647256,37.261820,5.417609,4.879935,1.793380,58.083569,87.197219,-nan,0.000000,0.000000,6.129466,-nan,0.000000,-nan,0.000000,50.647256,4.640418,2.389237,8.334695,0.000000,50.647256,4.741646,2.591692,29.928482,2,15
"bette_midler/The_Rose/12-The_Rose",85.210752,181.821000,85.121103,12.393485,0.000000,2.395763,0.089649,92.767228,86.192464,0.000000,1.978319,0.000000,1.302380,97.201165,3.444047,39.480984,4.597379,85.121103,3.678395,3.892328,1.062883,0.000000,85.121103,1.596913,4.112214,6.684358,8,9
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",48.039135,298.000000,48.009611,32.757503,0.000000,19.203362,0.029524,55.638496,41.316779,80.546128,17.777852,-nan,0.000000,42.522390,17.889597,81.819039,3.782886,48.009611,20.127394,1.566622,1.089596,0.265145,48.009611,25.560795,1.394280,5.802427,8,18
"billy_joel/Piano_Man/02-Piano_Man",63.400820,338.000000,63.345861,36.561535,0.000000,0.037645,0.054958,74.680111,74.496746,55.431651,3.967751,15.447719,14.115089,40.327961,2.694970,48.456945,4.632840,63.345861,18.848908,6.994146,6.368855,0.131564,63.345861,15.882677,6.080049,14.598809,12,23
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",56.575465,274.417000,56.558542,41.478387,0.000000,1.946148,0.016923,66.507672,34.609007,63.176441,17.002591,70.020458,10.582435,0.000000,3.092738,46.990295,32.750158,56.558542,10.717003,12.142517,8.847167,0.715264,56.558542,18.352858,5.577289,17.548240,16,27
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",58.531900,235.000000,58.512139,38.659182,0.691658,2.117260,0.019762,67.237030,84.451915,-nan,0.000000,17.602057,6.707660,9.695796,5.657021,0.000000,1.046383,58.512139,14.428950,6.730822,4.375317,0.931147,58.512139,20.735645,8.543272,9.380264,9,27
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",40.726835,181.141000,40.701197,57.134743,0.000000,2.138423,0.025637,52.020493,56.171159,59.402798,6.297856,24.042057,18.834499,9.511731,10.861704,38.412107,5.670721,40.701197,35.139349,8.805098,2.272548,0.141063,40.701197,37.759350,5.734673,13.640720,22,30
"black_sabbath/Paranoid/01-War_Pigs_Luke_s_Wall",19.734739,174.486000,19.445402,74.254953,0.000000,6.010309,0.289337,14.020989,45.294178,-nan,0.000000,-nan,0.000000,0.000000,12.459452,36.428104,35.946724,19.445402,51.470041,7.079660,4.180512,0.239867,19.445402,54.406405,1.737114,18.111434,5,18
"black_sabbath/Paranoid/04-Iron_Man",4.283367,209.249000,0.000000,5.844233,0.000000,89.872400,4.283367,0.000000,5.844233,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.816470,3.083019,0.000000,0.208987,0.000000,1.106275,0.349205,4.388754,1,8
"blessid_union_of_souls/The_Singles/14-I_Believe",66.636919,234.269000,66.617096,32.868702,0.169727,0.324652,0.019823,72.728091,75.338606,90.843087,1.099591,-nan,0.000000,40.112654,15.259381,59.122298,7.957946,66.617096,14.619580,10.794032,2.174585,0.066971,66.617096,15.624475,7.118483,10.125744,6,12
"blink_182/Enema_Of_The_State/10-Mutt",67.473592,32.148000,62.850981,31.929410,0.000000,0.596998,4.622611,66.312220,94.780391,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.850981,27.446374,2.785791,0.422521,0.000000,62.850981,28.721098,2.543558,0.664754,2,7
"blondie/Parallel_Lines/02-One_Way_or_Another",71.339210,137.456000,71.035143,24.006907,0.000000,4.653883,0.304068,80.224267,76.049063,-nan,0.000000,59.712414,16.789373,-nan,0.000000,0.000000,2.203614,71.035143,18.546176,4.088848,1.324505,0.017006,71.035143,20.394699,1.832910,1.779299,8,18
"bob_marley/Exodus/01-Natural_Mystic",44.006260,207.273000,43.625372,54.117699,0.072853,1.803188,0.380888,75.232065,9.234198,-nan,0.000000,-nan,0.000000,41.406163,88.581726,-nan,0.000000,43.625372,41.740813,7.436022,3.305285,0.201647,43.625372,41.942460,4.700648,7.474591,3,10
"bob_marley/Exodus/06-Jamming",41.418746,211.000000,40.813357,53.429297,0.000000,5.151958,0.605388,48.582368,23.182938,-nan,0.000000,78.319331,16.819905,17.018834,42.859242,79.812853,11.380569,40.813357,36.848257,8.097232,3.483979,0.906074,40.813357,38.800204,1.082318,13.546774,8,18
"bob_marley/Live_/05-No_Woman_No_Cry",44.359625,420.000000,44.337511,55.201060,0.000000,0.439314,0.022114,48.016704,87.068095,-nan,0.000000,-nan,0.000000,18.873887,11.394524,35.288946,1.075952,44.337511,34.419529,14.557269,1.928091,0.072351,44.337511,23.529615,13.117730,18.553716,5,17
"bon_jovi/Bon_Jovi_Remastered_/01-Runaway",58.468120,185.325000,58.443061,39.010062,0.000000,2.521818,0.025059,73.345928,37.905301,-nan,0.000000,-nan,0.000000,51.456233,59.547821,-nan,0.000000,58.443061,17.284721,10.001733,3.773358,0.032859,58.443061,24.183838,4.426310,10.399913,7,19
"bon_jovi/New_Jersey/10-I_ll_Be_There_For_You",56.228482,324.154000,56.214155,42.284301,0.759304,0.727913,0.014326,63.961709,78.350105,-nan,0.000000,-nan,0.000000,29.176342,20.907655,-nan,0.000000,56.214155,28.176468,3.548875,2.403612,0.017896,56.214155,32.713837,2.586850,6.983614,9,28
"bon_jovi/Slippery_When_Wet/02-You_Give_Love_a_Bad_Name",33.013674,90.159000,24.102634,58.082173,0.000000,8.904153,8.911040,88.080739,21.630675,-nan,0.000000,-nan,0.000000,8.339936,60.554132,-nan,0.000000,24.102634,55.067677,0.410902,2.603594,0.000000,24.102634,55.067677,0.174879,2.839617,4,7
"bonnie_tyler/Faster_Than_The_Speed_Of_Night/04-Total_Eclipse_Of_The_Heart",64.445368,421.000000,64.434337,33.684428,0.000000,1.870204,0.011031,72.244042,66.259857,-nan,0.000000,24.304355,8.231116,59.160605,21.000000,81.486326,2.627791,64.434337,14.371776,10.059609,3.583182,0.000000,64.434337,12.491993,6.095786,15.096649,12,30
"britney_spears/_Baby_One_More_Time/01-_Babt_One_More_Time",52.358345,207.167000,49.578680,39.633167,0.011340,7.997148,2.779665,64.725391,36.180473,0.000000,1.220754,43.148526,14.936742,70.936123,25.020877,16.578280,11.864341,49.578680,20.661955,8.030941,2.908909,0.947699,49.578680,24.193022,2.792266,12.647880,10,20
"bryan_adams/On_A_Day_Like_Today/08-When_You_re_Gone_With_Melanie_C_",63.869362,204.240000,63.846624,36.001594,0.000000,0.129044,0.022738,62.670713,77.091657,-nan,0.000000,-nan,0.000000,68.256066,22.756561,-nan,0.000000,63.846624,7.927973,10.988050,3.079017,0.000000,63.846624,16.329018,9.314914,10.357662,5,15
"bryan_adams/Reckless/06-Summer_of_69",88.088978,198.687000,87.678281,11.911022,0.000000,0.000000,0.410696,90.703359,91.828856,-nan,0.000000,-nan,0.000000,56.522822,7.760447,-nan,0.000000,87.678281,3.226708,3.365393,1.215908,0.008651,87.678281,7.071321,3.761160,1.078541,7,11
"bryan_adams/So_Far_So_Good/08-Heaven",81.399764,230.021000,81.379575,17.098391,0.000000,1.501846,0.020189,87.329106,70.257933,-nan,0.000000,-nan,0.000000,79.086678,25.318993,0.000000,2.901039,81.379575,11.085422,1.357800,1.667135,0.000000,81.379575,11.789349,1.474991,3.834051,7,17
"bryan_adams/So_Far_So_Good/10-_Everything_I_Do_I_Do_It_For_You",76.814041,389.319000,76.802113,23.138810,0.000000,0.047149,0.011928,77.696612,87.344825,-nan,0.000000,0.000000,1.891251,83.496230,10.704846,-nan,0.000000,76.802113,5.522756,11.039807,0.674928,0.127926,76.802113,7.722648,10.502394,4.913768,9,18
"carly_simon/No_Secerts/03-You_re_So_Vain",49.796193,258.000000,49.749997,49.681786,0.000000,0.522022,0.046195,61.221363,53.995349,-nan,0.000000,0.000000,3.513178,11.343782,25.847674,85.603157,16.075581,49.749997,31.156095,2.753772,1.531893,0.111309,49.749997,42.168269,1.447135,6.066382,8,18
"cat_stevens/Teaser_And_The_Firecat/07-Morning_Has_Broken",80.163045,197.239000,80.139500,19.593113,0.156353,0.087488,0.023545,87.182412,71.790569,-nan,0.000000,33.667705,12.236424,84.674373,15.861975,-nan,0.000000,80.139500,11.161088,2.724302,3.518039,0.000000,80.139500,12.742687,2.182054,4.668372,15,21
"celine_dion/AU_COEUR_DU_STADE/11-My_Heart_Will_Go_On",77.718062,298.354000,62.671150,22.254475,0.000000,0.027464,15.046911,72.848020,65.928394,-nan,0.000000,99.998667,0.399190,81.474503,14.544132,59.070810,4.053909,62.671150,4.973587,8.920455,2.955717,0.000000,62.671150,8.795564,8.191441,5.267470,13,23
"celine_dion/Falling_Into_You/01-It_s_All_Coming_Back_To_Me_Now",56.452951,444.121000,56.306559,43.518714,0.000000,0.028335,0.146392,70.870923,50.826014,48.204092,9.501915,16.472513,12.026903,61.413609,15.656994,34.780054,11.813447,56.306559,20.671649,9.330433,8.604172,0.353387,56.306559,20.036666,7.119611,16.362437,12,20
"celine_dion/Falling_Into_You/03-Falling_Into_You",52.595789,186.678000,50.506120,46.488736,0.187994,0.727481,2.089669,69.540604,23.153773,33.230335,7.974694,-nan,0.000000,56.605653,43.476468,31.644597,22.577915,50.506120,25.679306,6.823477,2.832222,0.058584,50.506120,15.044619,2.531378,28.912739,7,19
"celine_dion/Falling_Into_You/06-All_By_Myself",70.905958,297.948000,70.751767,27.438522,0.000000,1.655520,0.154191,84.421197,35.213863,36.540511,0.362144,69.037638,20.099480,58.164539,23.752131,70.352189,18.762670,70.751767,3.736359,3.567025,5.488420,0.868601,70.751767,6.930116,1.297359,19.211046,26,39
"cher/Heart_Of_Stone/01-If_I_Could_Turn_Back_Time",86.076536,198.461000,86.053136,12.758218,0.000000,1.165247,0.023400,88.201205,78.447655,-nan,0.000000,-nan,0.000000,82.801065,20.363699,-nan,0.000000,86.053136,4.476813,5.785818,0.787767,0.000000,86.053136,5.603698,4.191618,2.962902,9,15
"chicago/Chicago_X/04-If_You_Leave_Me_Now",66.720088,234.649000,66.601340,30.543757,0.000000,2.736155,0.118747,80.565217,50.408056,87.893318,2.011515,37.449182,2.440241,23.428489,12.320956,68.152798,29.964330,66.601340,14.149817,11.910830,3.971889,0.016441,66.601340,19.194645,4.194274,7.154839,15,19
"christina_aguilera/Christina_Aguilera/01-Genie_In_A_Bottle",40.299683,198.924000,40.276337,54.366843,0.000000,5.333474,0.023346,33.944057,51.869056,-nan,0.000000,85.698440,4.150831,64.667094,26.607649,15.865018,12.015644,40.276337,18.910741,7.128347,3.666400,2.198718,40.276337,21.973185,1.152858,31.240800,5,25
"christina_aguilera/Christina_Aguilera/02-What_A_Girl_Wants",32.676905,180.135000,32.187073,61.085641,0.773418,5.464036,0.489832,29.347959,17.756682,21.573422,7.239570,28.121701,24.533267,50.270481,19.767397,34.658426,24.749216,32.187073,21.964415,10.120001,7.744869,3.946349,32.187073,27.403221,6.821583,26.860837,15,33
"coldplay/Parachutes/05-Yellow",61.124939,185.076000,61.038831,37.307254,0.000000,1.567807,0.086108,61.499530,72.800903,90.515951,17.970996,-nan,0.000000,0.000000,7.574186,-nan,0.000000,61.038831,23.173354,7.973745,0.591491,0.090677,61.038831,26.517359,4.860707,5.929188,6,8
"corrs/In_Blue/08-One_night",77.077624,278.000000,76.856609,19.445909,0.000000,3.476467,0.221015,91.541014,39.850000,0.000000,0.750719,60.975035,25.587410,60.838983,12.766187,98.043383,17.348201,76.856609,10.311427,3.564516,4.701471,0.033245,76.856609,8.124321,0.358958,10.962631,8,13
"cranberries/No_Need_To_Argue/04-Zombie",40.879449,293.896000,40.863648,59.032914,0.000000,0.087636,0.015801,37.664143,50.388913,40.633287,13.047473,-nan,0.000000,45.483812,36.460176,-nan,0.000000,40.863648,26.444895,15.918308,6.041949,0.029274,40.863648,28.875561,6.920810,23.236543,5,23
"creedence_clearwater_revival/Pendulum/04-Have_You_Ever_Seen_The_Rain-",83.201660,160.000000,82.998485,16.339270,0.212245,0.246825,0.203175,89.530058,86.601250,14.967062,3.951250,-nan,0.000000,24.023308,5.134375,94.211359,3.863125,82.998485,9.000316,2.815166,0.750546,0.000000,82.998485,9.622085,3.342089,3.375096,6,9
"creedence_clearwater_revival/The_Concert/08-Proud_Mary",80.373515,213.000000,66.581685,12.684043,0.000000,6.942442,13.791830,92.980491,65.397653,-nan,0.000000,43.929011,6.901408,39.371858,6.966667,-nan,0.000000,66.581685,7.929959,2.941365,0.348530,0.177826,66.581685,8.280764,1.312356,3.090923,7,14
"creedence_clearwater_revival/Willy_and_the_Poor_Boys/03-Cotton_fields",76.428720,174.182000,76.162103,22.457732,0.000000,1.113548,0.266617,92.648809,80.859101,-nan,0.000000,7.021716,17.760733,-nan,0.000000,-nan,0.000000,76.162103,11.390275,4.542910,1.592129,0.000000,76.162103,16.158922,4.494582,1.804227,4,8
"cyndi_lauper/Twelve_Deadly_Cyns/02-Girls_Just_Want_to_Have_Fun",63.519277,236.000000,63.463472,32.700511,0.000000,3.780212,0.055805,74.500188,65.760593,-nan,0.000000,-nan,0.000000,47.598989,30.403390,-nan,0.000000,63.463472,19.647216,4.791335,0.604322,0.061958,63.463472,20.967523,4.215791,7.517197,4,17
