Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"3_doors_down/The_Better_Life/01-Kryptonite",233.750000,140,188,0.831149,0.846183,0.861771,0.831149
"a_ha/Hunting_High_and_Low/01-Take_On_Me",228.000000,156,177,0.732408,0.769703,0.732408,0.811000
"abba/Arrival/02-Dancing_Queen",230.000000,123,116,0.843739,0.874122,0.843739,0.906774
"abba/Live/03-I_Have_A_Dream",263.000000,73,81,0.902255,0.907203,0.912205,0.902255
"abba/Live/06-Thank_You_for_The_Music",219.000000,139,195,0.771132,0.788698,0.807082,0.771132
"abba/Live/08-Fernando",324.000000,75,71,0.906731,0.919728,0.906731,0.933102
"abba/Live/10-Super_Trouper",263.000000,87,112,0.880487,0.889351,0.898395,0.880487
"ac_dc/Back_In_Black/01-Hells_Bells",312.000000,218,169,0.732542,0.800249,0.732542,0.881747
"ac_dc/Back_In_Black/08-Have_A_Drink_On_Me",239.000000,133,97,0.690268,0.767130,0.690268,0.863255
"aerosmith/Nine_Lives/02-Falling_In_Love",205.000000,131,175,0.750571,0.801014,0.858727,0.750571
"alanis_morissette/MTV_Unplugged/08-Ironic",253.000000,150,225,0.787178,0.827908,0.873083,0.787178
"alanis_morissette/MTV_Unplugged/12-Uninvited",277.000000,24,54,0.826011,0.886764,0.957162,0.826011
"all_saints/All_Saints/01-Never_Ever",387.000000,100,124,0.814530,0.828092,0.814530,0.842114
"aqua/Aquarium/05-Doctor_Jones",203.000000,190,172,0.709759,0.755575,0.709759,0.807714
"backstreet_boys/Millennium/02-I_Want_It_That_Way",213.000000,127,161,0.860653,0.872321,0.884310,0.860653
"backstreet_boys/Millennium/03-Show_Me_The_Meaning_Of_Being_Lonely",235.000000,122,149,0.885166,0.890430,0.895757,0.885166
"backstreet_boys/Millennium/11-No_One_Else_Comes_Close",223.000000,173,191,0.745188,0.757892,0.745188,0.771036
"beach_boys/Pet_Sounds/08-God_Only_Knows",171.000000,86,129,0.779094,0.827323,0.881918,0.779094
"beach_boys/Surfin_USA_Surfin_Safari/01-Surfin_Safari",126.000000,52,54,0.879294,0.882937,0.879294,0.886611
"beach_boys/Surfin_USA_Surfin_Safari/13-Surfin_USA",149.394000,63,51,0.851098,0.893067,0.851098,0.939388
"beck/Mellow_Gold/01-Loser",235.000000,138,33,0.234774,0.370341,0.234774,0.876404
"bette_midler/The_Rose/12-The_Rose",220.000000,56,74,0.806936,0.841163,0.878423,0.806936
"billy_idol/Rebel_Yell_Expanded_Edition_/03-Eyes_Without_A_Face",298.000000,93,126,0.804836,0.829333,0.855369,0.804836
"billy_joel/Piano_Man/02-Piano_Man",338.000000,314,331,0.774450,0.785356,0.774450,0.796574
"billy_joel/The_Stranger/03-Just_the_Way_You_Are",290.000000,177,232,0.785959,0.793892,0.801986,0.785959
"billy_joel/The_Stranger/06-Only_the_Good_Die_Young",235.000000,158,145,0.846506,0.866518,0.846506,0.887498
"billy_joel/The_Stranger/07-She_s_Always_a_Woman",201.000000,171,149,0.653259,0.738029,0.653259,0.848080
