MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",71.537257,235.998912,69.632425,16.216059,2.148963,10.097721,1.904832,79.130052,87.997446,85.848484,69.632425,0.000000,16.216059,0.000000,7,5
"1003",54.088139,217.521633,49.228032,9.613927,36.236326,0.061607,4.860107,51.776315,95.078286,58.841959,49.228032,0.000000,9.613927,0.000000,7,8
"1006",83.752565,164.048980,81.282567,9.955416,2.885097,3.406922,2.469998,86.357742,94.123080,91.237983,81.282567,0.000000,9.955416,0.000000,3,4
"1007",94.544730,218.331429,92.339391,4.049618,0.181596,1.224056,2.205339,95.618528,96.570605,96.389009,92.339391,0.000000,4.049618,0.000000,6,6
"1009",84.923429,181.482404,79.496131,13.398048,1.543297,0.135226,5.427299,84.178585,94.437475,92.894179,79.496131,0.000000,13.398048,-0.000000,7,8
"1011",92.575120,252.813061,91.202936,5.691280,1.620169,0.113430,1.372184,92.578292,98.514385,96.894216,91.202936,0.000000,5.691280,0.000000,5,5
"1012",29.530391,295.523265,28.571795,9.933464,60.536144,0.000000,0.958596,28.848334,99.041404,38.505259,28.571795,0.000000,9.933464,-0.000000,7,7
"1013",35.004126,247.797551,31.921078,2.326234,62.669640,0.000000,3.083048,32.936527,96.916952,34.247312,31.921078,0.000000,2.326234,0.000000,10,9
"1014",78.739616,198.635102,76.501028,4.189544,16.953942,0.116898,2.238588,78.346467,97.644515,80.690572,76.501028,0.000000,4.189544,0.000000,4,7
"1016",74.625925,217.372200,70.942587,24.783584,0.569367,0.021124,3.683338,73.671728,96.295537,95.726170,70.942587,0.000000,24.783584,0.000000,4,8
"1018",85.725693,159.085714,82.679716,8.480660,0.000000,5.793647,3.045977,90.696989,91.160376,91.160376,82.679716,0.000000,8.480660,-0.000000,5,5
"1019",57.076957,267.964082,55.118619,7.341939,35.513879,0.067226,1.958338,56.258164,97.974436,62.460558,55.118619,0.000000,7.341939,-0.000000,7,7
"1020",53.454491,211.200000,51.997403,19.881385,26.664124,0.000000,1.457088,52.766253,98.542912,71.878788,51.997403,0.000000,19.881385,-0.000000,5,6
"1021",92.673890,160.208980,88.388874,0.317352,5.512800,1.495958,4.285015,93.812129,94.219026,88.706226,88.388874,0.000000,0.317352,-0.000000,4,4
"1022",91.571422,256.000000,90.250711,7.449289,0.979289,0.000000,1.320711,91.458615,98.679289,97.700000,90.250711,0.000000,7.449289,-0.000000,9,9
"1024",85.467426,170.499478,67.925782,5.195849,9.336725,0.000000,17.541644,82.375862,82.458356,73.121631,67.925782,0.000000,5.195849,0.000000,3,4
"1025",58.917089,307.644082,54.853616,21.230919,19.588560,0.263432,4.063473,57.334422,95.673095,76.084535,54.853616,0.000000,21.230919,0.000000,7,9
"1032",55.045212,286.380408,52.430226,30.627290,13.848574,0.478925,2.614985,54.104160,96.906090,83.057516,52.430226,0.000000,30.627290,-0.000000,4,6
"1033",84.462868,207.960816,83.373809,13.802286,1.415651,0.319195,1.089059,84.564695,98.591746,97.176095,83.373809,0.000000,13.802286,0.000000,6,6
"1034",78.807310,199.131429,77.738177,19.437679,1.355110,0.399902,1.069133,78.897204,98.530966,97.175856,77.738177,0.000000,19.437679,-0.000000,7,7
"1037",66.525562,172.120816,62.188137,22.499069,9.695054,1.280315,4.337424,65.889646,94.382261,84.687207,62.188137,0.000000,22.499069,0.000000,10,11
"1039",93.551696,237.871020,90.841395,4.299781,0.000000,2.148522,2.710301,95.480630,95.141177,95.141177,90.841395,0.000000,4.299781,0.000000,5,5
"1040",79.509420,230.844082,77.613603,7.254592,11.936932,1.299056,1.895817,80.175096,96.805127,84.868195,77.613603,0.000000,7.254592,-0.000000,3,6
"1041",91.031502,169.613061,88.410218,7.094787,0.631449,1.242262,2.621284,91.963261,96.136454,95.505004,88.410218,0.000000,7.094787,-0.000000,4,4
"1042",62.598642,221.657846,61.059140,14.357996,23.043362,0.000000,1.539502,62.013844,98.460498,75.417136,61.059140,0.000000,14.357996,-0.000000,7,8
"1043",78.586772,234.886939,77.299174,20.563809,0.849419,0.000000,1.287598,78.307460,98.712402,97.862983,77.299174,0.000000,20.563809,0.000000,7,7
"1044",72.354420,169.195102,70.280414,27.386716,0.258865,0.000000,2.074005,71.768905,97.925995,97.667130,70.280414,0.000000,27.386716,0.000000,11,12
"1045",94.289255,197.877551,91.901137,5.345854,0.000000,0.364891,2.388119,94.502808,97.246990,97.246990,91.901137,0.000000,5.345854,-0.000000,6,6
"1046",42.463915,145.240816,40.392322,4.113074,53.423012,0.000000,2.071593,41.246787,97.928407,44.505396,40.392322,0.000000,4.113074,0.000000,6,6
"1048",70.859160,191.190204,69.073397,11.846886,16.737259,0.556694,1.785763,70.730222,97.657543,80.920284,69.073397,0.000000,11.846886,0.000000,5,7
"1051",88.176484,211.173878,86.961464,8.019981,3.803535,0.000000,1.215020,88.031059,98.784980,94.981445,86.961464,0.000000,8.019981,0.000000,4,5
"1052",73.918933,239.960816,61.410858,14.151480,5.611891,6.317696,12.508074,75.653146,81.174229,75.562339,61.410858,0.000000,14.151480,-0.000000,5,5
"1053",66.656284,207.275261,61.153369,7.994489,21.751307,3.597919,5.502915,67.276051,90.899166,69.147858,61.153369,0.000000,7.994489,0.000000,7,6
"1054",77.643103,200.228571,73.569417,3.462547,18.894350,0.000000,4.073687,76.693677,95.926313,77.031963,73.569417,0.000000,3.462547,0.000000,3,4
"1055",43.935265,155.491633,41.405902,1.528671,53.182723,1.353340,2.529363,43.078513,96.117297,42.934573,41.405902,0.000000,1.528671,-0.000000,7,6
"1056",29.196377,280.894694,25.255151,4.037063,66.393565,0.372995,3.941226,26.393840,95.685779,29.292215,25.255151,0.000000,4.037063,0.000000,10,10
"1058",78.735008,126.380408,72.545528,7.984729,0.631520,12.648743,6.189480,89.383858,81.161777,80.530257,72.545528,0.000000,7.984729,0.000000,4,4
"1059",85.855157,166.767120,84.099943,3.320732,7.598620,3.225491,1.755214,88.508279,95.019295,87.420675,84.099943,0.000000,3.320732,-0.000000,10,10
"1061",67.280624,274.808163,65.616070,32.485747,0.149134,0.084495,1.664554,66.784158,98.250951,98.101817,65.616070,0.000000,32.485747,0.000000,5,6
"1062",85.427992,202.579592,83.463668,14.243904,0.098861,0.229243,1.964324,85.335560,97.806433,97.707572,83.463668,0.000000,14.243904,0.000000,4,6
"1063",93.188182,158.432653,91.107391,5.703530,0.565540,0.542748,2.080791,93.562027,97.376461,96.810921,91.107391,0.000000,5.703530,-0.000000,7,6
"1066",93.201170,274.233469,92.386729,4.523265,0.700133,1.575432,0.814441,94.648713,97.610127,96.909993,92.386729,0.000000,4.523265,-0.000000,4,4
"1067",52.159416,222.693878,49.759667,20.535934,27.304650,0.000000,2.399749,50.983134,97.600251,70.295601,49.759667,0.000000,20.535934,0.000000,5,6
"1068",23.792216,178.050612,22.409848,26.547018,49.660766,0.000000,1.382368,22.723977,98.617632,48.956866,22.409848,0.000000,26.547018,0.000000,5,7
"1069",79.765740,180.580159,67.252657,17.075118,0.726555,2.432588,12.513083,79.070234,85.054329,84.327775,67.252657,0.000000,17.075118,0.000000,5,5
"1070",83.592194,243.304626,82.513052,11.709143,4.487800,0.210864,1.079141,83.591385,98.709995,94.222195,82.513052,0.000000,11.709143,0.000000,10,10
"1071",87.238915,215.693991,87.113742,7.988108,1.305553,3.467424,0.125173,90.360013,96.407403,95.101850,87.113742,0.000000,7.988108,0.000000,5,6
"1072",92.380889,135.915102,89.887242,7.131735,0.410447,0.076929,2.493647,92.258825,97.429424,97.018977,89.887242,0.000000,7.131735,-0.000000,3,4
"1073",80.128383,215.353469,78.591912,19.528337,0.213893,0.129387,1.536471,79.923321,98.334142,98.120249,78.591912,0.000000,19.528337,0.000000,6,6
"1076",47.325085,216.482562,45.390725,4.808237,47.866678,0.000000,1.934360,46.286064,98.065640,50.198962,45.390725,0.000000,4.808237,0.000000,6,6
"1078",31.628650,216.973061,30.170848,33.955085,34.416265,0.000000,1.457802,30.617186,98.542198,64.125933,30.170848,0.000000,33.955085,-0.000000,7,9
"1082",74.671917,223.973878,74.266035,20.598543,4.611612,0.117928,0.405882,74.657096,99.476190,94.864578,74.266035,0.000000,20.598543,-0.000000,7,7
"1084",86.582256,269.844898,84.850515,8.880366,4.537378,0.000000,1.731741,86.345801,98.268259,93.730881,84.850515,0.000000,8.880366,-0.000000,6,6
"1086",87.027000,221.701224,83.963310,10.491739,2.481262,0.000000,3.063690,86.616986,96.936310,94.455049,83.963310,0.000000,10.491739,0.000000,6,7
"1087",7.281224,195.134694,4.699823,30.918651,61.800125,0.000000,2.581401,4.824359,97.418599,35.618474,4.699823,0.000000,30.918651,-0.000000,6,10
"1089",93.868201,245.420408,92.867128,5.728106,0.007975,0.395719,1.001073,94.182663,98.603208,98.595234,92.867128,0.000000,5.728106,0.000000,5,6
"1091",58.936570,156.780249,55.538324,34.922050,6.141380,0.000000,3.398246,57.492045,96.601754,90.460374,55.538324,0.000000,34.922050,0.000000,10,12
"1094",26.196963,143.177143,23.356849,9.542257,64.260780,0.000000,2.840114,24.039601,97.159886,32.899106,23.356849,0.000000,9.542257,0.000000,4,5
"1096",56.400328,195.787755,35.222857,7.449635,34.039340,2.110696,21.177471,45.915807,76.711833,42.672492,35.222857,0.000000,7.449635,0.000000,2,4
"1097",29.196377,280.894694,25.255151,4.037063,66.393565,0.372995,3.941226,26.393840,95.685779,29.292215,25.255151,0.000000,4.037063,0.000000,10,10
"1098",58.034125,433.606531,56.991590,10.668309,31.150369,0.147198,1.042535,57.677802,98.810268,67.659899,56.991590,0.000000,10.668309,-0.000000,8,8
"1099",49.055479,136.097959,46.014319,20.384914,30.559608,0.000000,3.041160,47.457580,96.958840,66.399232,46.014319,0.000000,20.384914,0.000000,9,12
"1100",80.134335,146.233469,75.589223,19.144595,0.658531,0.062539,4.545113,79.240341,95.392348,94.733817,75.589223,0.000000,19.144595,0.000000,8,8
"1101",78.300359,146.677551,74.506503,3.627704,0.562333,17.509605,3.793856,94.675704,78.696540,78.134207,74.506503,0.000000,3.627704,-0.000000,3,3
"1102",25.059475,204.564898,21.993258,12.108390,62.832136,0.000000,3.066217,22.688950,96.933783,34.101647,21.993258,0.000000,12.108390,-0.000000,4,7
"1103",90.413452,156.299456,88.239504,7.904145,1.682403,0.000000,2.173948,90.200414,97.826052,96.143649,88.239504,0.000000,7.904145,0.000000,3,5
"1106",47.708083,265.236032,44.357650,33.433586,14.078583,4.779748,3.350433,48.283158,91.869818,77.791235,44.357650,0.000000,33.433586,0.000000,3,5
"1107",88.214535,189.011270,87.065048,11.271892,0.452148,0.061425,1.149486,88.132252,98.789089,98.336941,87.065048,0.000000,11.271892,-0.000000,5,7
"1110",69.560994,197.250612,67.572148,14.716410,15.338660,0.383937,1.988846,69.214456,97.627217,82.288557,67.572148,0.000000,14.716410,-0.000000,6,5
"1111",64.609954,149.133061,62.705748,2.285591,33.037115,0.067340,1.904206,63.966885,98.028454,64.991339,62.705748,0.000000,2.285591,-0.000000,2,2
"1112",80.110163,324.497324,79.482030,14.477451,5.412386,0.000000,0.628134,79.984439,99.371866,93.959480,79.482030,0.000000,14.477451,-0.000000,6,7
"1113",26.892905,129.541224,24.902942,8.000870,65.106225,0.000000,1.989964,25.408563,98.010036,32.903811,24.902942,0.000000,8.000870,-0.000000,4,5
"1114",77.526864,187.428571,74.952357,8.483183,13.698664,0.291289,2.574507,77.163712,97.134204,83.435540,74.952357,0.000000,8.483183,0.000000,6,6
"1116",85.837634,186.266213,83.728825,6.430307,5.464337,2.267722,2.108809,87.560957,95.623469,90.159131,83.728825,0.000000,6.430307,0.000000,3,5
"1117",80.134335,146.233469,75.589223,19.144595,0.658531,0.062539,4.545113,79.240341,95.392348,94.733817,75.589223,0.000000,19.144595,0.000000,8,8
"1118",16.530793,164.963265,10.230577,4.777128,78.103584,0.588495,6.300217,10.987472,93.111288,15.007704,10.230577,0.000000,4.777128,0.000000,6,6
"1119",78.732602,222.774830,74.461784,1.956185,19.311213,0.000000,4.270819,77.783788,95.729181,76.417969,74.461784,0.000000,1.956185,0.000000,4,4
"1120",79.048992,236.930612,77.640196,17.712616,3.238393,0.000000,1.408796,78.749617,98.591204,95.352811,77.640196,0.000000,17.712616,-0.000000,4,5
"1121",58.205802,137.521814,56.891210,18.407389,23.386808,0.000000,1.314592,57.649060,98.685408,75.298600,56.891210,0.000000,18.407389,-0.000000,6,5
"1123",26.892905,129.541224,24.902942,8.000870,65.106225,0.000000,1.989964,25.408563,98.010036,32.903811,24.902942,0.000000,8.000870,-0.000000,4,5
"1124",77.956397,214.778776,77.541656,17.396275,2.622233,2.025095,0.414741,79.480858,97.560164,94.937931,77.541656,0.000000,17.396275,0.000000,4,4
"1125",76.619511,126.432653,73.699401,9.924566,13.455923,0.000000,2.920110,75.916239,97.079890,83.623967,73.699401,0.000000,9.924566,-0.000000,3,5
"1126",74.375776,209.345306,72.248252,25.458262,0.165962,0.000000,2.127524,73.818764,97.872476,97.706514,72.248252,0.000000,25.458262,0.000000,7,9
"1127",44.014489,210.703673,42.347685,20.488914,35.397416,0.099182,1.666804,43.108983,98.234014,62.836598,42.347685,0.000000,20.488914,-0.000000,10,10
"1133",91.350701,270.027755,89.058360,5.665770,2.760382,0.223147,2.292341,91.356420,97.484512,94.724130,89.058360,0.000000,5.665770,0.000000,5,6
"1134",62.496313,158.040816,58.614603,18.613308,16.179447,2.710932,3.881710,62.751591,93.407358,77.227911,58.614603,0.000000,18.613308,0.000000,5,4
"1136",95.581755,276.767347,93.608407,3.374132,1.044114,0.000000,1.973347,95.492812,98.026653,96.982539,93.608407,0.000000,3.374132,0.000000,4,5
"1139",90.876857,176.431020,88.601168,7.737688,1.015694,0.369760,2.275688,91.008759,97.354551,96.338857,88.601168,0.000000,7.737688,0.000000,2,2
"1141",69.440623,158.511020,66.322888,19.596690,10.962687,0.000000,3.117735,68.457203,96.882265,85.919578,66.322888,0.000000,19.596690,0.000000,8,8
"1142",55.448128,153.469388,53.170143,7.644325,36.503292,0.404255,2.277985,54.635601,97.317760,60.814468,53.170143,0.000000,7.644325,0.000000,6,7
"1143",79.616322,190.432653,77.164562,12.797627,0.354824,7.231227,2.451760,85.437460,90.317013,89.962189,77.164562,0.000000,12.797627,0.000000,4,4
"1145",56.806430,257.593469,52.995761,7.825657,35.367913,0.000000,3.810669,55.095259,96.189331,60.821418,52.995761,0.000000,7.825657,-0.000000,11,11
"1146",87.171984,199.862857,84.903000,8.267302,3.266240,1.294475,2.268984,88.040279,96.436541,93.170301,84.903000,0.000000,8.267302,0.000000,7,7
"1147",80.908215,197.773061,69.889415,13.974592,2.967464,2.149729,11.018800,80.488576,86.831471,83.864007,69.889415,0.000000,13.974592,0.000000,6,7
"1148",72.276088,228.126803,71.355955,16.735404,10.988508,0.000000,0.920133,72.018622,99.079867,88.091359,71.355955,0.000000,16.735404,0.000000,4,8
"1149",21.377303,254.223673,17.813801,4.702982,73.879984,0.039731,3.563502,18.479667,96.396767,22.516783,17.813801,0.000000,4.702982,-0.000000,4,7
"1150",25.059475,204.564898,21.993258,12.108390,62.832136,0.000000,3.066217,22.688950,96.933783,34.101647,21.993258,0.000000,12.108390,-0.000000,4,7
"1151",93.743244,188.786939,92.936547,3.905730,0.000000,2.351026,0.806697,95.966917,96.842277,96.842277,92.936547,0.000000,3.905730,0.000000,6,6
"1152",93.703503,165.773061,92.259024,3.669535,1.034247,1.592714,1.444479,95.148879,96.962806,95.928559,92.259024,0.000000,3.669535,-0.000000,5,5
"1153",94.174435,189.361633,90.178942,3.530952,2.249506,0.045107,3.995494,93.976142,95.959400,93.709894,90.178942,0.000000,3.530952,0.000000,4,5
"1154",95.181563,139.937959,91.681469,3.453945,0.000000,1.364492,3.500093,96.369444,95.135414,95.135414,91.681469,0.000000,3.453945,-0.000000,3,4
"1155",57.623978,299.311020,51.173463,40.725069,0.022692,1.628262,6.450515,55.670998,91.921223,91.898532,51.173463,0.000000,40.725069,0.000000,5,6
"1157",72.841224,264.333061,71.075898,19.074315,7.198010,0.886451,1.765326,73.012014,97.348223,90.150212,71.075898,0.000000,19.074315,0.000000,10,11
"1160",65.033581,125.309388,62.890575,7.923617,22.676673,4.366129,2.143006,67.269219,93.490865,70.814192,62.890575,0.000000,7.923617,0.000000,5,7
"1161",80.899907,180.819592,75.815153,9.282956,2.535876,7.281261,5.084754,86.513415,87.633985,85.098109,75.815153,0.000000,9.282956,-0.000000,6,6
"1162",91.350701,270.027755,89.058360,5.665770,2.760382,0.223147,2.292341,91.356420,97.484512,94.724130,89.058360,0.000000,5.665770,0.000000,5,6
"1163",63.714800,247.771429,61.982825,6.004406,28.113044,2.167750,1.731974,64.498073,96.100275,67.987231,61.982825,0.000000,6.004406,0.000000,6,7
"1164",26.886447,196.388571,21.324148,15.240097,57.873456,0.000000,5.562299,22.580122,94.437701,36.564246,21.324148,0.000000,15.240097,-0.000000,7,7
"1166",87.449427,156.238367,81.524216,3.876200,6.823493,1.850880,5.925211,88.398136,92.223909,85.400416,81.524216,0.000000,3.876200,-0.000000,3,4
"1167",72.244854,290.664490,70.095927,21.523093,2.202650,4.029403,2.148927,74.711873,93.821670,91.619020,70.095927,0.000000,21.523093,-0.000000,6,6
