Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1002",239.830204,164,111,0.767340,0.833394,0.767340,0.911891
"1003",217.521633,96,116,0.800645,0.805148,0.800645,0.809702
"1006",164.048980,50,78,0.748197,0.821982,0.911912,0.748197
"1007",218.331429,62,62,0.931018,0.937856,0.931018,0.944794
"1009",181.482404,127,125,0.887391,0.894834,0.887391,0.902403
"1011",252.813061,97,104,0.944647,0.956682,0.969027,0.944647
"1012",295.523265,269,122,0.429196,0.582768,0.429196,0.907478
"1013",247.797551,197,108,0.471162,0.628334,0.471162,0.942856
"1014",198.635102,15,77,0.351539,0.511471,0.938395,0.351539
"1016",217.372200,57,127,0.400672,0.557149,0.914163,0.400672
"1018",159.085714,120,124,0.869696,0.887498,0.906044,0.869696
"1019",267.964082,156,157,0.785559,0.821790,0.785559,0.861525
"1020",211.200000,58,89,0.719860,0.749720,0.782164,0.719860
"1021",160.208980,15,93,0.312475,0.471556,0.960600,0.312475
"1022",256.000000,109,110,0.923681,0.942078,0.923681,0.961223
"1024",170.499478,41,52,0.886354,0.914261,0.943983,0.886354
"1025",307.644082,163,199,0.695803,0.747667,0.807886,0.695803
"1032",286.380408,148,231,0.632714,0.723564,0.844876,0.632714
"1033",207.960816,56,54,0.766237,0.842338,0.766237,0.935222
"1034",199.131429,155,84,0.540316,0.687551,0.540316,0.945085
"1037",172.120816,81,115,0.720230,0.767340,0.821045,0.720230
"1039",237.871020,77,69,0.906735,0.935705,0.906735,0.966587
"1040",230.844082,50,172,0.450921,0.615239,0.967972,0.450921
"1041",169.613061,56,53,0.865844,0.885665,0.865844,0.906414
"1042",221.657846,104,125,0.825149,0.854328,0.885646,0.825149
"1043",250.409796,181,167,0.797689,0.822366,0.797689,0.848619
"1044",169.195102,113,94,0.838719,0.859236,0.838719,0.880781
"1045",197.877551,107,107,0.949565,0.951234,0.952909,0.949565
"1046",145.240816,90,58,0.646115,0.747119,0.646115,0.885553
"1048",191.190204,108,106,0.824402,0.850666,0.824402,0.878658
"1051",211.173878,71,94,0.867460,0.904424,0.944678,0.867460
"1052",239.960816,33,76,0.636651,0.739738,0.882658,0.636651
"1053",207.275261,173,122,0.715650,0.792753,0.715650,0.888475
"1054",200.228571,39,48,0.811262,0.818070,0.811262,0.824993
"1055",155.491633,64,50,0.697605,0.760228,0.697605,0.835202
"1056",280.894694,161,97,0.495083,0.638602,0.495083,0.899299
"1058",126.380408,56,78,0.764337,0.822334,0.889857,0.764337
"1059",166.767120,52,53,0.920250,0.924350,0.920250,0.928487
"1061",274.808163,127,126,0.796162,0.807396,0.796162,0.818951
"1062",202.579592,63,50,0.647410,0.647881,0.648352,0.647410
"1063",158.432653,79,75,0.894834,0.915971,0.894834,0.938130
"1066",274.233469,115,98,0.871798,0.907445,0.871798,0.946131
"1067",222.693878,84,123,0.780582,0.787936,0.795431,0.780582
"1068",178.050612,59,88,0.673734,0.705304,0.739977,0.673734
"1069",180.580159,114,85,0.797120,0.847624,0.797120,0.904962
"1070",243.304626,118,131,0.895234,0.903502,0.911924,0.895234
"1071",215.693991,93,92,0.860617,0.876919,0.860617,0.893851
"1072",135.915102,78,84,0.880457,0.901220,0.922985,0.880457
"1073",215.353469,110,84,0.758147,0.835457,0.758147,0.930326
"1076",216.482562,95,94,0.722122,0.754756,0.722122,0.790479
"1078",216.973061,93,131,0.692106,0.724568,0.760225,0.692106
"1082",223.973878,90,92,0.769679,0.825956,0.769679,0.891112
"1084",269.844898,106,135,0.862216,0.893995,0.928207,0.862216
"1086",221.701224,140,136,0.865535,0.882438,0.865535,0.900014
"1087",195.134694,79,112,0.694332,0.700431,0.694332,0.706638
"1089",245.420408,91,90,0.951491,0.951611,0.951732,0.951491
"1091",156.780249,72,97,0.803593,0.854769,0.912906,0.803593
"1094",143.177143,67,75,0.636352,0.712723,0.636352,0.809925
"1096",195.787755,14,63,0.568672,0.707012,0.934295,0.568672
"1097",280.894694,161,97,0.495083,0.638602,0.495083,0.899299
"1098",433.606531,265,218,0.705144,0.780351,0.705144,0.873517
"1099",136.097959,56,87,0.688502,0.767001,0.865703,0.688502
"1100",146.233469,111,117,0.829294,0.845858,0.863097,0.829294
"1101",146.677551,45,77,0.752890,0.839970,0.949827,0.752890
"1102",204.564898,74,73,0.607334,0.627185,0.607334,0.648378
"1103",156.299456,46,43,0.927095,0.939397,0.927095,0.952030
"1106",265.236032,160,170,0.716299,0.733325,0.716299,0.751181
"1107",189.011270,89,80,0.889441,0.914770,0.889441,0.941583
"1110",197.250612,72,130,0.693961,0.772733,0.871677,0.693961
"1111",149.133061,4,73,0.195851,0.327304,0.995425,0.195851
"1112",324.497324,179,184,0.872107,0.875347,0.878611,0.872107
"1113",129.541224,148,44,0.356880,0.512101,0.356880,0.906271
"1114",187.428571,66,76,0.902613,0.918891,0.935768,0.902613
"1116",186.266213,68,85,0.829188,0.830106,0.831026,0.829188
"1117",146.233469,111,117,0.829294,0.845858,0.863097,0.829294
"1118",164.963265,63,28,0.414980,0.566985,0.414980,0.894713
"1119",222.774830,71,79,0.877469,0.885341,0.893355,0.877469
"1120",236.930612,76,104,0.794690,0.852060,0.918357,0.794690
"1121",137.521814,58,59,0.764404,0.792172,0.764404,0.822033
"1123",129.541224,148,44,0.356880,0.512101,0.356880,0.906271
"1124",214.778776,92,72,0.631878,0.750856,0.631878,0.925035
"1125",126.432653,38,56,0.741240,0.810637,0.894370,0.741240
"1126",209.345306,174,109,0.682332,0.770099,0.682332,0.883777
"1127",210.703673,118,124,0.745167,0.770267,0.745167,0.797116
"1133",270.027755,91,119,0.877865,0.918028,0.962041,0.877865
