MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",90.796788,172.863864,86.269037,3.848777,5.283358,0.071076,4.527752,90.427648,95.401172,-nan,0.000000,86.269037,0.592374,2.758849,0.497554,86.269037,0.592374,2.441890,0.814514,3,6
"1302",65.284781,152.328747,62.571307,29.354277,5.151942,0.209000,2.713474,42.309068,53.418009,91.550819,43.659517,62.571307,16.029488,9.880784,3.444006,62.571307,13.936256,6.975480,8.442542,6,10
"1305",26.013273,280.118277,25.904241,28.464510,45.464192,0.058025,0.109032,23.886766,96.310005,82.286326,3.522937,25.904241,18.013784,1.578556,8.872170,25.904241,17.683959,8.531536,2.249015,3,9
"1306",63.779955,144.247435,62.613089,22.726652,13.493393,0.000000,1.166866,64.001009,96.028979,41.138014,2.804154,62.613089,1.094184,11.456098,10.176371,62.613089,1.094184,21.387054,0.245414,9,12
"1309",36.540058,211.202647,32.553887,23.205869,40.254072,0.000000,3.986171,-nan,0.000000,33.905415,96.013829,32.553887,11.041989,8.368146,3.795735,32.553887,11.034775,4.438008,7.733086,3,7
"1310",50.651738,126.102248,47.523100,43.316790,5.231727,0.799745,3.128638,53.484157,74.664637,35.452681,21.406980,47.523100,26.815931,11.429195,5.071663,47.523100,22.495403,6.226447,14.594940,9,12
"1311",22.190665,323.683265,21.519759,66.230221,11.579114,0.000000,0.670906,-nan,0.000000,21.665112,99.329094,21.519759,62.414720,2.352342,1.463159,21.519759,59.369768,0.625346,6.235106,2,8
"1312",57.610830,147.644082,52.684157,23.267746,7.338012,11.783412,4.926673,63.390398,78.768999,60.876496,4.520916,52.684157,4.344051,15.025175,3.898521,52.684157,2.610151,18.859939,1.797656,6,10
"1313",64.407835,167.444898,58.764507,14.194474,8.205345,13.192346,5.643329,70.832347,57.710728,76.263964,23.453598,58.764507,2.653806,4.071780,7.468888,58.764507,2.216849,9.153336,2.824289,4,12
"1318",39.120858,189.092744,37.997183,50.092382,2.258998,8.527763,1.123676,40.838580,82.011155,54.033488,8.337407,37.997183,26.671268,16.594350,6.826763,37.997183,24.626048,16.239454,9.226879,6,13
"1319",46.371374,84.627163,45.149635,24.554763,29.073863,0.000000,1.221739,0.000000,23.723798,60.155829,75.054463,45.149635,18.999143,5.505333,0.050288,45.149635,1.296367,5.555621,17.702776,4,8
"1321",76.234599,138.830927,71.974315,14.803317,8.962083,0.000000,4.260285,77.724610,68.673118,68.713482,27.066598,71.974315,5.743696,6.735716,2.323905,71.974315,4.452227,6.327691,4.023400,9,8
"1322",35.061486,190.856372,33.502693,36.840510,28.098003,0.000000,1.558793,-nan,0.000000,34.033200,98.441207,33.502693,18.140899,5.678952,13.020659,33.502693,17.269040,13.434428,6.137043,2,8
"1324",69.800589,237.533605,67.932724,3.955806,26.138953,0.104652,1.867865,76.546509,88.746991,0.000000,9.280491,67.932724,1.470324,0.504229,1.981253,67.932724,0.000000,0.803747,3.152059,5,5
"1327",9.143144,171.937959,3.788817,20.927075,69.408663,0.521118,5.354327,10.910954,34.724893,0.000000,59.399662,3.788817,3.875079,14.352947,2.699049,3.788817,3.875079,6.614535,10.437461,4,9
"1329",80.426121,216.737959,79.347418,14.654753,1.299265,3.619861,1.078703,83.259415,95.301436,-nan,0.000000,79.347418,0.908788,6.483372,7.262594,79.347418,0.908788,13.414546,0.331419,6,6
"1330",77.745466,198.542154,73.981392,20.486559,1.271710,0.496265,3.764074,82.450405,77.060028,55.916982,18.679632,73.981392,10.010080,8.303433,2.173046,73.981392,4.752697,9.158414,6.575449,4,9
"1331",26.456229,128.040249,24.324423,12.563977,60.979794,0.000000,2.131806,24.854268,97.868194,-nan,0.000000,24.324423,6.849696,3.246997,2.467285,24.324423,6.849696,4.866398,0.847884,3,8
