MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",90.796788,172.863864,86.269037,3.848777,5.283358,0.071076,4.527752,-nan,0.000000,0.000000,0.975147,0.000000,1.633335,92.969647,92.792690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.269037,0.592374,2.758849,0.497554,86.269037,0.592374,2.134562,1.121841,5,6
"1302",65.284781,152.328747,62.571307,29.354277,5.151942,0.209000,2.713474,-nan,0.000000,0.000000,0.432032,-nan,0.000000,42.654043,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.550819,43.659517,62.571307,16.029488,9.880784,3.444006,62.571307,13.936256,6.543447,8.874574,7,10
"1305",26.013273,280.118277,25.904241,28.464510,45.464192,0.058025,0.109032,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.886766,96.310005,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.286326,3.522937,25.904241,18.013784,1.578556,8.872170,25.904241,17.683959,8.531536,2.249015,3,9
"1306",63.551999,144.247435,62.385133,22.954608,13.493393,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,64.039701,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.138014,2.804154,62.613089,1.094184,11.456098,10.176371,62.385133,1.322139,21.387054,0.245414,10,12
"1309",36.540058,211.202647,32.553887,23.205869,40.254072,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.905415,96.013829,32.553887,11.041989,8.368146,3.795735,32.553887,11.034775,4.438008,7.733086,3,7
"1310",49.904781,126.102248,46.776143,44.063747,5.231727,0.799745,3.128638,-nan,0.000000,0.000000,0.791179,0.000000,3.984211,56.069847,69.889247,-nan,0.000000,-nan,0.000000,0.000000,0.788343,36.808197,20.618636,47.523100,26.815931,11.429195,5.071663,46.776143,23.242360,3.856017,16.965370,12,12
"1311",22.190665,323.683265,21.519759,66.230221,11.579114,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.665112,99.329094,21.519759,62.414720,2.352342,1.463159,21.519759,59.369768,0.625346,6.235106,2,8
"1312",57.610830,147.644082,52.684157,23.267746,7.338012,11.783412,4.926673,-nan,0.000000,0.000000,4.476663,-nan,0.000000,67.210138,74.292336,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.876496,4.520916,52.684157,4.344051,15.025175,3.898521,52.684157,2.610151,15.363414,5.294180,7,10
"1313",64.407835,167.444898,58.764507,14.194474,8.205345,13.192346,5.643329,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.832347,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.263964,23.453598,58.764507,2.653806,4.071780,7.468888,58.764507,2.216849,9.153336,2.824289,4,12
"1318",39.120858,189.092744,37.997183,50.092382,2.258998,8.527763,1.123676,-nan,0.000000,0.000000,1.316442,-nan,0.000000,41.504814,80.694713,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.033488,8.337407,37.997183,26.671268,16.594350,6.826763,37.997183,24.626048,15.464545,10.001788,8,13
