MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",88.374729,172.863864,83.846977,6.270837,5.283358,0.071076,4.527752,90.584468,92.562201,-nan,0.000000,0.000000,2.838971,-nan,0.000000,-nan,0.000000,83.846977,3.014433,2.658897,0.597507,0.000000,83.846977,3.014433,2.341937,0.914466,4,6
"1302",9.829816,152.328747,7.116341,84.809242,5.151942,0.209000,2.713474,-nan,0.000000,-nan,0.000000,2.607787,53.418009,-nan,0.000000,13.108971,43.659517,7.116341,59.098249,13.759274,9.904781,2.046938,7.116341,69.391221,1.808734,13.609287,6,15
"1305",18.224357,280.118277,18.115325,36.253426,45.464192,0.058025,0.109032,0.000000,4.221087,-nan,0.000000,16.523627,92.088918,-nan,0.000000,82.286326,3.522937,18.115325,25.268554,0.534146,9.262656,1.188070,18.115325,25.472874,3.634830,7.145721,3,16
"1306",63.779955,144.247435,62.613089,22.726652,13.493393,0.000000,1.166866,64.001009,96.028979,-nan,0.000000,-nan,0.000000,41.138014,2.804154,-nan,0.000000,62.613089,1.094184,11.456098,10.176371,0.000000,62.613089,1.094184,21.387054,0.245414,9,12
"1309",36.540058,211.202647,32.553887,23.205869,40.254072,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.905415,96.013829,32.553887,0.007214,13.193261,9.107665,0.897729,32.553887,11.034775,4.438008,7.733086,3,11
"1310",31.020977,113.025541,27.530365,62.249729,5.837022,0.892273,3.490612,49.225821,51.256845,-nan,0.000000,0.000000,24.056760,7.723417,11.478976,16.003028,8.824533,27.530365,33.450280,19.028022,9.771426,0.000000,27.530365,40.494514,4.582785,17.172430,10,21
"1311",12.869344,323.683265,12.198438,75.551541,11.579114,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.076003,49.936586,20.576039,49.392508,12.198438,35.583351,38.505032,0.751352,0.711807,12.198438,68.691089,0.574542,6.285910,3,11
"1312",49.428565,147.644082,44.501892,31.450011,7.338012,11.783412,4.926673,61.763022,71.350811,-nan,0.000000,0.000000,7.418188,-nan,0.000000,9.588209,4.520916,44.501892,10.805178,16.682556,3.962277,0.000000,44.501892,10.792416,18.859939,1.797656,7,13
"1313",64.407835,167.444898,58.764507,14.194474,8.205345,13.192346,5.643329,70.832347,57.710728,-nan,0.000000,-nan,0.000000,76.263964,23.453598,-nan,0.000000,58.764507,2.653806,4.071780,7.468888,0.000000,58.764507,2.216849,9.153336,2.824289,4,12
"1318",32.810031,189.092744,31.686355,56.403209,2.258998,8.527763,1.123676,39.983084,67.982159,-nan,0.000000,0.000000,14.028995,-nan,0.000000,54.033488,8.337407,31.686355,18.545345,27.490212,9.957767,0.409884,31.686355,30.936875,14.778171,10.688162,7,18
"1319",60.794025,64.550385,59.192295,13.638102,25.567873,0.000000,1.601730,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.155829,98.398270,59.192295,5.948537,7.623636,0.065929,0.000000,59.192295,1.699569,7.283557,4.654976,3,10
"1321",66.247059,136.437412,61.912036,24.633637,9.119305,0.000000,4.335023,0.000000,7.307322,80.186080,53.609508,0.000000,7.206722,-nan,0.000000,68.713482,27.541426,61.912036,11.391165,10.618157,2.624315,0.000000,61.912036,14.232109,5.747642,4.653887,10,10
