MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",79.286138,218.800000,79.073889,11.251522,9.462340,0.000000,0.212249,76.131351,78.095969,90.441498,21.691782,79.073889,4.677957,3.371147,3.202418,79.073889,0.000000,4.496846,6.754676,5,5
"25",80.469388,251.400010,75.611115,15.933830,3.596782,0.000000,4.858273,79.238475,47.094716,79.701067,48.047011,75.611115,8.180449,0.202045,7.551336,75.611115,7.633878,6.954324,1.345628,6,8
"37",33.574593,164.600000,28.418524,62.410152,4.015255,0.000000,5.156069,29.963460,94.843931,-nan,0.000000,28.418524,0.000000,32.442163,29.967989,28.418524,0.000000,30.449034,31.961118,3,4
"43",78.463442,204.800000,77.963442,18.452515,3.062500,0.021543,0.500000,76.354107,84.410430,89.677381,15.068027,77.963442,3.855161,2.919790,11.677563,77.963442,3.325962,14.377397,0.749155,12,14
"74",13.268319,180.800000,9.190697,0.933197,85.798485,0.000000,4.077622,12.015199,76.492257,0.000000,19.430122,9.190697,0.353982,0.579215,0.000000,9.190697,0.353982,0.579215,0.000000,4,4
"78",26.301556,259.664030,22.147854,61.893956,11.804488,0.000000,4.153702,20.617793,56.577983,26.695117,39.268315,22.147854,21.456830,18.779159,21.657967,22.147854,12.948343,18.775492,30.170120,5,12
"92",31.630128,243.000000,28.919823,40.927091,27.442782,0.000000,2.710305,36.394665,50.357683,22.569483,46.932012,28.919823,13.844288,14.794016,12.288786,28.919823,8.197091,12.927342,19.802658,4,13
"99",13.695922,276.600000,4.643366,5.259743,79.887430,1.156905,9.052556,8.827347,37.923420,2.498180,51.867119,4.643366,4.380181,0.464440,0.415123,4.643366,4.335372,0.464440,0.459931,6,9
"114",24.559791,245.400010,22.942839,41.784318,30.366751,3.289140,1.616952,27.379705,74.901802,12.058905,20.192106,22.942839,10.868977,16.063047,14.852294,22.942839,7.869975,16.065439,17.848903,6,15
"147",59.873148,116.600000,56.895120,19.729237,20.397616,0.000000,2.978027,58.641479,97.021973,-nan,0.000000,56.895120,2.744425,16.499151,0.485660,56.895120,2.744425,16.106595,0.878216,4,8
"159",47.239214,154.000000,47.239214,47.757351,4.332468,0.670968,0.000000,47.558315,99.329032,-nan,0.000000,47.239214,37.808545,9.948805,0.000000,47.239214,37.808545,6.531377,3.417429,3,6
"170",72.375671,283.000000,72.375671,27.520389,0.042403,0.061537,0.000000,95.103567,16.600965,67.901681,83.337498,72.375671,25.387014,1.635230,0.498145,72.375671,23.596364,1.398936,2.525088,5,10
"209",72.302871,256.000000,71.463867,24.686133,3.010996,0.000000,0.839004,72.068525,99.160996,-nan,0.000000,71.463867,1.514059,13.614031,9.558043,71.463867,1.203855,21.036133,2.446145,5,10
"236",55.268216,455.302340,53.044660,33.862762,10.869022,0.000000,2.223555,67.833556,59.111585,33.485627,38.664859,53.044660,27.926096,2.159108,3.777558,53.044660,26.236309,4.031091,3.595363,8,12
"322",82.343481,133.000000,78.637985,17.487609,0.053902,0.115008,3.705496,81.761694,96.179496,-nan,0.000000,78.637985,5.126496,9.868015,2.493098,78.637985,5.126496,12.194376,0.166737,4,6
"329",87.817549,212.367280,85.406631,10.474095,1.708356,0.000000,2.410918,0.000000,4.689484,91.934339,92.899598,85.406631,5.422370,0.349884,4.701840,85.406631,5.254397,2.232288,2.987409,3,9
"332",71.658041,221.743990,71.478375,24.710925,0.404070,0.578144,2.828487,83.702548,80.025163,27.131931,16.568206,71.478375,7.286781,12.456252,4.967891,71.478375,0.000000,12.342156,12.368768,5,6
"377",85.723442,156.000000,76.836647,4.943365,1.923462,7.409731,8.886795,91.481597,79.893013,98.393424,3.810462,76.836647,1.907090,2.417449,0.618827,76.836647,1.907090,2.805750,0.230526,6,8
"382",85.903775,265.400000,82.418922,12.447694,0.925094,0.723436,3.484853,89.784786,75.931375,71.721344,19.860335,82.418922,6.480196,2.675780,3.291718,82.418922,4.575968,5.094887,2.776839,12,14
"414",80.274418,194.688810,79.379914,17.242886,2.482695,0.000000,0.894504,81.569002,92.915546,57.991277,6.189950,79.379914,5.531756,7.794696,3.916435,79.379914,2.695584,11.263128,3.284174,10,11
"430",53.246727,286.000000,52.664909,44.386178,2.344056,0.023038,0.581818,53.306939,91.406185,49.306429,7.988958,52.664909,8.511619,26.858951,9.015608,52.664909,6.668028,31.833402,5.884748,7,10
"444",37.762059,165.400010,36.678625,7.006015,55.192264,0.039661,1.083434,38.116809,94.805702,13.306068,4.071203,36.678625,5.150961,1.772049,0.083005,36.678625,3.637243,1.855054,1.513718,6,7
"481",75.152628,239.000000,74.657138,23.940351,0.907021,0.000000,0.495490,76.621901,56.412828,72.943443,43.091682,74.657138,7.534473,10.035582,6.370297,74.657138,5.293473,9.554054,9.092824,14,18
"503",65.480841,271.800020,63.780139,33.238445,0.957141,0.323572,1.700703,72.650667,74.781411,40.746818,23.194314,63.780139,15.728233,5.174948,12.335264,63.780139,8.516320,8.934514,15.787611,3,14
"517",33.936749,191.941280,33.350022,13.685050,52.378201,0.000000,0.586726,50.212607,51.141880,15.890055,48.271393,33.350022,12.415750,0.851349,0.417951,33.350022,8.863185,0.802204,4.019662,5,9
"591",81.985293,222.200000,80.948389,16.627669,1.378938,0.008101,1.036904,80.617604,92.413281,98.552391,6.541715,80.948389,2.979815,13.647853,0.000000,80.948389,0.000000,13.647853,2.979815,4,6
"709",52.059079,317.000000,51.816808,39.740864,7.936909,0.263148,0.242271,83.520167,46.909050,24.033779,52.585530,51.816808,9.199000,3.116300,27.425565,51.816808,7.893498,7.334530,24.512836,14,17
"723",73.781753,186.000000,64.614376,21.513559,4.604667,0.100022,9.167376,72.283595,53.212382,69.697228,37.520220,64.614376,4.041500,14.223452,3.248608,64.614376,1.488855,8.915478,11.109226,6,13
"736",28.762902,570.000000,27.668454,50.725932,19.904851,0.606316,1.094447,25.629886,89.766930,54.631098,8.532307,27.668454,26.030547,17.195193,7.500191,27.668454,22.912356,14.045265,13.768311,13,18
"765",80.099579,137.800000,79.644615,13.800958,6.099463,0.000000,0.454964,78.005607,89.476887,97.809702,10.068149,79.644615,4.858832,7.693716,1.248411,79.644615,1.704006,8.680943,3.416009,4,9
"769",83.205364,275.000000,82.757851,11.357058,5.437578,0.000000,0.447513,84.598042,64.237025,80.459334,35.315462,82.757851,3.380193,5.332753,2.644113,82.757851,1.759545,5.541313,4.056200,7,9
"770",63.070709,213.000000,60.834352,24.198512,12.730779,0.000000,2.236357,66.565059,48.652892,57.927287,49.110751,60.834352,14.003662,7.723498,2.471352,60.834352,8.457164,8.609793,7.131554,10,11
"783",71.228407,189.600000,70.358882,23.615802,5.155791,0.000000,0.869525,71.590729,96.864810,44.695859,2.265665,70.358882,5.045844,12.975316,5.594641,70.358882,4.402579,15.679251,3.533972,4,11
"812",58.685446,218.186310,58.685446,38.681125,2.074709,0.558720,0.000000,59.730831,48.576609,58.331714,50.864672,58.685446,22.005789,9.343263,7.332073,58.685446,19.277928,8.300557,11.102640,5,10
"849",71.741739,174.200000,71.188565,8.388932,19.869328,0.000000,0.553175,72.787739,96.187773,36.073676,3.259053,71.188565,2.365476,2.948175,3.075281,71.188565,2.365476,5.929650,0.093806,5,6
"886",78.107842,219.377600,77.710924,15.884498,6.007660,0.000000,0.396918,79.940474,97.210987,0.000000,2.392095,77.710924,3.969184,9.155023,2.760291,77.710924,0.618536,11.450262,3.815700,7,9
"905",82.200310,174.000000,81.243989,4.579764,13.195402,0.024523,0.956322,81.617225,95.436075,93.542768,3.583080,81.243989,0.263563,4.278167,0.038034,81.243989,0.000000,4.316201,0.263563,4,5
"958",69.627228,290.000000,68.718448,14.878793,15.493979,0.000000,0.908779,95.857047,2.253931,68.731681,96.837290,68.718448,1.620200,13.057617,0.200976,68.718448,1.172010,13.017690,0.689093,5,10
"969",61.049556,174.915900,59.433665,35.554052,3.067503,0.328889,1.615891,82.553857,67.151225,12.935992,30.903994,59.433665,6.954897,8.617095,19.982060,59.433665,2.355138,10.248594,22.950321,10,11
"978",43.847755,627.606710,43.051355,15.093419,41.058826,0.000000,0.796400,33.817970,39.816853,49.819370,59.386747,43.051355,8.595655,5.499297,0.998466,43.051355,5.037408,1.727158,8.328853,7,10
"987",75.962837,148.461240,71.854236,23.333733,0.703429,0.000000,4.108601,74.932931,95.891399,-nan,0.000000,71.854236,0.431089,19.923146,2.979498,71.854236,0.431089,22.126684,0.775960,6,8
"995",64.747100,228.600000,64.411142,32.849843,2.236220,0.166837,0.335958,80.939148,76.835923,9.799978,22.661282,64.411142,0.165560,12.796859,19.887423,64.411142,0.000000,12.271347,20.578495,7,6
"1012",44.857148,264.966690,44.037773,13.112939,42.029913,0.000000,0.819375,47.054866,75.281561,36.043819,23.899064,44.037773,6.476776,3.235441,3.400722,44.037773,5.153402,4.983502,2.976034,8,10
"1114",76.642808,179.150560,74.549586,18.863776,4.493416,0.000000,2.093223,80.082565,88.386824,39.571095,9.519953,74.549586,6.047020,7.898345,4.918411,74.549586,1.239410,12.535986,5.088379,8,10
"1212",53.124817,191.200000,49.918713,46.215178,0.660005,0.000000,3.206104,39.396398,76.713217,98.086667,20.080680,49.918713,19.092824,26.540947,0.581407,49.918713,0.000000,26.774268,19.440910,4,6
"1218",79.748844,186.000000,73.776237,17.164059,0.091909,2.995188,5.972608,84.053487,81.906505,54.033805,9.125699,73.776237,4.834849,8.350290,3.978919,73.776237,3.566801,10.356296,3.240962,10,18
"1225",81.638920,129.400010,80.357019,17.466784,0.399706,0.494590,1.281901,81.810373,98.223509,-nan,0.000000,80.357019,0.692427,12.170981,4.603377,80.357019,0.692427,16.774357,0.000000,3,4
"1235",68.226957,219.200000,66.356159,5.468130,26.304384,0.000529,1.870798,70.528675,87.837532,42.808773,10.291141,66.356159,3.477039,1.854443,0.136647,66.356159,3.468695,1.523800,0.475634,6,7
"1239",68.152704,158.400010,67.133897,22.482259,9.365037,0.000000,1.018807,76.366146,80.136977,31.502377,18.844216,67.133897,9.082929,10.867708,2.531622,67.133897,3.847083,13.145731,5.489444,8,12
"1282",72.083303,239.800000,69.518995,27.148228,0.768470,0.000000,2.564308,76.339967,56.573236,64.438136,40.862456,69.518995,8.433432,8.315459,10.399337,69.518995,3.107281,12.045125,11.995822,7,12
