MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",74.814205,218.800000,74.601956,15.723455,9.462340,0.000000,0.212249,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.193825,75.899205,-nan,0.000000,-nan,0.000000,0.000000,3.528629,89.830585,20.359918,77.842459,2.596463,5.311353,4.575137,74.601956,3.240503,7.884991,4.597962,7,5
"25",59.095881,251.400010,54.237607,37.307337,3.596782,0.000000,4.858273,-nan,0.000000,0.000000,4.655063,-nan,0.000000,75.956472,38.856932,-nan,0.000000,0.000000,14.510178,-nan,0.000000,66.604393,37.119553,54.237607,6.827784,22.278090,8.201463,54.237607,5.988437,6.294614,25.024287,8,8
"37",19.986298,88.275980,11.490158,73.837424,6.176278,0.000000,8.496139,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.557020,91.503861,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,11.490158,0.000000,70.228866,3.608558,11.490158,0.000000,29.441871,44.395554,3,4
"43",51.188062,204.800000,50.688062,45.727896,3.062500,0.021543,0.500000,-nan,0.000000,0.000000,22.528350,0.000000,1.502266,70.761548,56.797046,-nan,0.000000,-nan,0.000000,0.000000,2.256235,64.030949,16.394561,54.675166,5.609824,22.169097,13.961870,50.688062,5.658584,13.883374,26.185937,14,14
"74",13.317113,180.800000,7.157821,2.414950,83.716814,0.551123,6.159292,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.775434,73.222539,-nan,0.000000,-nan,0.000000,0.000000,10.030310,0.000000,10.036737,7.157821,0.353982,1.301947,0.759021,7.157821,0.353982,2.051012,0.009956,4,4
"78",22.789552,268.000000,16.914925,64.756608,10.734328,1.719511,5.874627,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.633907,54.787817,-nan,0.000000,-nan,0.000000,0.000000,10.678590,22.858430,26.939455,21.925522,25.281799,16.104299,18.359914,16.914925,19.195888,14.968869,30.591851,5,12
"92",14.738572,243.000000,14.050572,55.796342,29.465086,0.000000,0.688000,-nan,0.000000,0.000000,5.351103,0.000000,4.013325,38.566434,22.713519,-nan,0.000000,0.000000,41.389807,-nan,0.000000,20.471782,25.844247,30.504251,11.352226,10.198016,17.792420,14.050572,24.095840,5.898626,25.801877,7,13
"99",4.778416,276.600000,4.182386,6.877628,88.343955,0.000000,0.596030,-nan,0.000000,0.000000,10.837657,-nan,0.000000,5.588687,74.836656,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,13.729657,4.460043,1.170441,2.190195,3.239335,4.182386,0.277657,4.475879,2.124093,6,12
"114",24.490362,245.400010,23.023740,44.992557,30.517081,0.000000,1.466622,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.211582,95.093908,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.439470,23.023740,18.274364,15.931055,10.787139,23.023740,12.196874,8.848936,23.946747,6,16
"147",48.652890,116.600000,48.284477,28.339880,23.007230,0.000000,0.368413,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.463021,99.631587,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.284477,2.744425,24.135249,1.460206,48.284477,2.744425,24.717238,0.878216,5,8
