MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",78.054707,218.800000,77.842459,12.482952,9.462340,0.000000,0.212249,78.008030,99.787751,90.325411,77.842459,0.000000,12.482952,0.000000,5,5
"25",65.084317,251.400010,60.226044,31.318901,3.596782,0.000000,4.858273,63.301399,95.141727,91.544945,60.226044,0.000000,31.318901,0.000000,6,6
"37",33.258420,164.600000,28.701889,62.126786,4.614793,0.000000,4.556531,30.072136,95.443469,90.828676,28.701889,0.000000,62.126786,0.000000,3,3
"43",56.846646,204.800000,56.346646,40.069312,3.062500,0.021543,0.500000,56.642058,99.478457,96.415957,56.346646,0.000000,40.069312,0.000000,8,10
"74",13.671095,180.800000,7.511803,2.060968,83.716814,0.551123,6.159292,8.052135,93.289585,9.572771,7.511803,0.000000,2.060968,0.000000,3,3
"78",41.985440,268.000000,36.110813,45.560720,10.734328,1.719511,5.874627,39.078488,92.405862,81.671534,36.110813,0.000000,45.560720,0.000000,4,6
"92",38.834412,243.000000,38.146412,31.700502,29.465086,0.000000,0.688000,38.410677,99.312000,69.846914,38.146412,0.000000,31.700502,0.000000,4,7
"99",5.056074,276.600000,4.460043,6.599971,88.343955,0.000000,0.596030,4.486786,99.403970,11.060014,4.460043,0.000000,6.599971,0.000000,5,9
"114",36.687236,245.400010,35.220614,32.795683,30.517081,0.000000,1.466622,35.744856,98.533378,68.016297,35.220614,0.000000,32.795683,0.000000,5,10
"147",51.397316,116.600000,51.028902,25.595455,23.007230,0.000000,0.368413,51.217595,99.631587,76.624357,51.028902,0.000000,25.595455,-0.000000,5,6
"159",81.461325,154.000000,78.623273,14.699649,1.494416,2.344610,2.838052,82.920777,94.817338,93.322922,78.623273,0.000000,14.699649,0.000000,4,3
"170",81.408813,283.000000,81.408813,18.487247,0.042403,0.061537,0.000000,81.458940,99.938463,99.896060,81.408813,0.000000,18.487247,0.000000,5,6
"209",83.333469,256.000000,82.494465,13.655535,3.010996,0.000000,0.839004,83.192453,99.160996,96.150000,82.494465,0.000000,13.655535,-0.000000,5,6
"236",57.833122,533.600040,55.935839,31.212580,10.954298,0.000000,1.897282,57.017625,98.102718,87.148419,55.935839,0.000000,31.212580,0.000000,6,7
"322",75.459398,133.000000,74.839617,21.400985,3.139617,0.000000,0.619782,75.306352,99.380218,96.240602,74.839617,0.000000,21.400985,-0.000000,3,4
"329",85.851822,251.400010,83.815227,11.772195,1.632462,0.743520,2.036595,86.212021,97.219885,95.587423,83.815227,0.000000,11.772195,0.000000,4,6
"332",79.193694,266.797000,79.044367,17.723588,0.400679,0.480515,2.350851,81.347616,97.168634,96.767955,79.044367,0.000000,17.723588,0.000000,4,5
"377",58.784237,156.000000,57.355314,31.834429,9.381333,0.000000,1.428923,58.186758,98.571077,89.189744,57.355314,0.000000,31.834429,-0.000000,6,6
"382",38.340712,265.400000,34.855859,60.010757,0.925094,0.723436,3.484853,36.387135,95.791711,94.866616,34.855859,0.000000,60.010757,0.000000,7,10
"414",62.200588,229.600000,61.442095,33.317487,4.481925,0.000000,0.758493,61.911691,99.241507,94.759582,61.442095,0.000000,33.317487,0.000000,6,7
"430",60.725941,286.000000,60.144122,36.906965,2.344056,0.023038,0.581818,60.510122,99.395143,97.051087,60.144122,0.000000,36.906965,0.000000,6,6
"444",26.987399,165.400010,25.903965,17.780676,55.192264,0.039661,1.083434,26.198195,98.876905,43.684641,25.903965,0.000000,17.780676,-0.000000,6,6
"481",58.649561,239.000000,58.154071,40.443418,0.907021,0.000000,0.495490,58.443653,99.504510,98.597490,58.154071,0.000000,40.443418,-0.000000,7,10
"503",73.726459,271.800020,71.952180,20.650193,0.883565,4.739783,1.774279,76.965778,93.485939,92.602374,71.952180,0.000000,20.650193,0.000000,3,5
"517",37.120972,220.200000,36.609541,4.447679,58.431349,0.000000,0.511431,36.797736,99.488569,41.057221,36.609541,0.000000,4.447679,-0.000000,7,6
"591",71.564131,222.200000,70.527228,24.890896,1.378938,2.166035,1.036904,72.860918,96.797061,95.418123,70.527228,0.000000,24.890896,0.000000,3,6
"709",21.295789,317.000000,21.053517,70.504155,7.936909,0.263148,0.242271,21.160466,99.494580,91.557672,21.053517,0.000000,70.504155,0.000000,7,9
"723",71.739043,186.000000,68.911452,17.316505,10.944452,0.000000,2.827591,70.916686,97.172409,86.227957,68.911452,0.000000,17.316505,-0.000000,6,8
"736",30.962942,570.000000,17.749205,31.315432,7.785561,29.936065,13.213737,31.221009,56.850198,49.064637,17.749205,0.000000,31.315432,-0.000000,10,9
"765",78.834107,137.800000,78.276778,14.833048,5.997097,0.335747,0.557329,78.982149,99.106923,93.109826,78.276778,0.000000,14.833048,0.000000,5,6
"769",40.615218,275.000000,40.167705,53.947204,5.437578,0.000000,0.447513,40.348269,99.552487,94.114909,40.167705,0.000000,53.947204,0.000000,6,6
"770",57.075014,213.000000,54.250601,29.371488,12.142723,1.410775,2.824413,56.649828,95.764812,83.622089,54.250601,0.000000,29.371488,0.000000,6,8
"783",64.255527,189.600000,63.386002,30.588681,5.155791,0.000000,0.869525,63.941994,99.130475,93.974684,63.386002,0.000000,30.588681,0.000000,3,7
"812",67.655285,222.400010,67.655285,27.192458,3.366911,1.785346,0.000000,68.885123,98.214654,94.847743,67.655285,0.000000,27.192458,0.000000,3,6
"849",67.996148,174.200000,67.442974,12.134524,19.869328,0.000000,0.553175,67.818126,99.446825,79.577497,67.442974,0.000000,12.134524,0.000000,4,4
"886",71.497244,238.000000,71.131382,22.663576,5.839181,0.000000,0.365861,71.392580,99.634139,93.794958,71.131382,0.000000,22.663576,-0.000000,4,7
"905",78.664098,174.000000,77.707776,8.115977,13.195402,0.024523,0.956322,78.477519,99.019155,85.823753,77.707776,0.000000,8.115977,-0.000000,4,4
"958",62.182838,290.000000,61.466221,22.131021,15.686141,0.000000,0.716617,61.909878,99.283383,83.597241,61.466221,0.000000,22.131021,0.000000,4,6
"969",76.688047,179.200000,76.396501,18.532070,4.779883,0.000000,0.291546,76.619883,99.708454,94.928571,76.396501,0.000000,18.532070,0.000000,5,7
"978",40.948976,674.000000,40.897300,16.645727,42.405297,0.000000,0.051677,40.918445,99.948323,57.543027,40.897300,0.000000,16.645727,0.000000,6,6
"987",47.839801,161.000000,47.544143,48.018590,4.141609,0.000000,0.295658,47.685128,99.704342,95.562733,47.544143,0.000000,48.018590,-0.000000,5,6
"995",54.111715,228.600000,53.801912,43.625910,2.262375,0.000000,0.309803,53.969110,99.690197,97.427822,53.801912,0.000000,43.625910,0.000000,6,6
"1012",34.773896,291.600000,34.029359,25.844441,39.381663,0.000000,0.744537,34.284620,99.255463,59.873800,34.029359,0.000000,25.844441,0.000000,7,8
"1114",77.552561,187.800000,75.555745,18.160974,4.286464,0.000000,1.996816,77.095194,98.003184,93.716720,75.555745,0.000000,18.160974,0.000000,6,6
"1212",77.356935,191.200000,74.076600,20.060915,0.585774,1.996376,3.280335,78.203154,94.723290,94.137516,74.076600,0.000000,20.060915,-0.000000,2,5
"1218",61.564425,186.000000,61.151522,26.792651,5.651613,5.991312,0.412903,65.335764,93.595785,87.944172,61.151522,0.000000,26.792651,0.000000,10,11
"1225",87.311809,129.400010,85.630202,12.054984,0.000000,0.633207,1.681607,87.659353,97.685186,97.685186,85.630202,0.000000,12.054984,-0.000000,3,3
"1235",44.551442,219.200000,44.317865,24.409015,27.941606,3.097938,0.233577,45.845205,96.668485,68.726880,44.317865,0.000000,24.409015,-0.000000,6,5
"1239",73.973253,158.400010,72.954446,16.661710,9.365037,0.000000,1.018807,73.705361,98.981193,89.616156,72.954446,0.000000,16.661710,0.000000,6,8
"1282",39.490651,239.800000,38.619174,58.048048,2.461301,0.000000,0.871476,38.958690,99.128524,96.667223,38.619174,0.000000,58.048048,0.000000,5,6
