MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",65.354831,218.800000,65.142582,25.182829,9.462340,0.000000,0.212249,84.429128,61.996942,19.727757,10.378940,0.000000,0.880832,44.869295,22.126883,18.695888,4.404154,65.142582,20.678291,2.973707,0.651590,0.879241,65.142582,19.385699,0.803720,4.993410,9,8
"25",55.611800,251.400010,49.019234,42.413717,1.862490,0.111993,6.592565,64.942743,41.332258,0.000000,0.600358,0.000000,4.461110,47.283839,46.901717,-nan,0.000000,49.019234,8.203194,30.794370,3.401261,0.014893,49.019234,10.541105,27.144780,4.727832,10,11
"37",33.529806,164.600000,28.973275,61.855401,4.614793,0.000000,4.556531,34.604172,83.727691,-nan,0.000000,0.000000,11.715778,-nan,0.000000,-nan,0.000000,28.973275,0.000000,22.094399,39.508663,0.252339,28.973275,0.000000,18.800796,43.054605,3,5
"43",72.081357,204.800000,71.581357,24.834600,3.062500,0.021543,0.500000,82.301109,71.258521,20.723778,1.507930,0.000000,9.399087,-nan,0.000000,72.906851,17.312920,71.581357,4.737813,6.342974,13.419058,0.334756,71.581357,6.566182,5.494478,12.773940,14,16
"74",6.833545,180.800000,2.755924,7.367970,85.798485,0.000000,4.077622,4.000513,68.889264,-nan,0.000000,0.000000,17.529347,-nan,0.000000,0.000000,9.503767,2.755924,6.327533,0.353982,0.322362,0.364093,2.755924,6.681515,0.000000,0.686455,5,6
"78",16.530235,257.284000,12.338109,72.288459,11.181305,0.000000,4.192126,17.574468,48.444528,12.203527,9.322842,32.111722,0.929576,0.000000,7.423101,8.043777,29.687827,12.338109,12.046381,27.576647,32.167589,0.497843,12.338109,17.109537,17.641894,37.537029,7,21
"92",20.713395,243.000000,20.025395,49.821519,29.465086,0.000000,0.688000,58.206071,25.728292,0.000000,0.496893,-nan,0.000000,6.082672,67.291399,16.510496,5.795416,20.025395,22.892198,12.046449,12.503189,2.379683,20.025395,18.209148,3.560045,28.052325,7,21
"99",12.160264,276.600000,3.533051,6.370058,80.312773,1.156905,8.627213,8.868180,34.099591,0.000000,4.642314,0.000000,9.276229,-nan,0.000000,1.206316,42.197748,3.533051,1.494060,2.932397,1.854194,0.089407,3.533051,1.832997,1.760174,2.776887,9,10
"114",22.031046,245.400010,20.414095,44.313063,30.366751,3.289140,1.616952,23.337809,87.472197,-nan,0.000000,0.000000,7.621711,-nan,0.000000,-nan,0.000000,20.414095,12.833903,19.123328,11.378630,0.977200,20.414095,12.929714,8.359865,23.023483,6,23
"147",38.508096,116.600000,38.139683,38.484674,23.007230,0.000000,0.368413,57.195031,66.683559,-nan,0.000000,0.000000,27.242599,0.000000,4.888945,0.000000,0.816484,38.139683,20.916389,6.978182,10.377273,0.212830,38.139683,18.131878,6.226672,14.126123,12,10
"159",0.000000,154.000000,0.000000,76.382903,4.332468,19.284630,0.000000,-nan,0.000000,-nan,0.000000,0.000000,80.715370,-nan,0.000000,-nan,0.000000,0.000000,47.441052,8.548597,19.010039,1.383214,0.000000,54.737617,0.000000,21.645286,4,9
