MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"12",66.864968,218.800000,66.652719,23.672692,9.462340,0.000000,0.212249,-nan,0.000000,-nan,0.000000,0.000000,4.855174,77.264278,73.240795,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.394287,21.691782,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.652719,16.210471,4.160315,2.589282,0.712623,66.652719,12.421170,4.279424,6.972098,6,8
"25",56.327197,251.400010,51.468924,40.076021,3.596782,0.000000,4.858273,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.564782,40.296848,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,6.797868,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.994682,28.789394,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,1.515585,19.257617,51.468924,27.554191,4.943242,7.557462,0.021126,51.468924,31.776069,6.912180,1.387772,10,11
"37",33.574593,164.600000,28.418524,62.410152,4.015255,0.000000,5.156069,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.963460,94.843931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.418524,0.000000,32.442163,29.656932,0.311057,28.418524,0.000000,30.449034,31.961118,3,5
"43",62.509927,204.800000,62.009927,34.406030,3.062500,0.021543,0.500000,-nan,0.000000,-nan,0.000000,0.000000,1.678003,74.765323,82.732427,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,14.880952,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.726490,0.187075,62.443315,16.049326,6.075820,11.274507,0.572988,62.009927,19.279478,12.951235,2.175317,14,16
"74",6.576692,180.800000,2.499071,7.624823,85.798485,0.000000,4.077622,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.889035,64.259403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,12.232854,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,19.430122,2.499071,6.691626,0.620791,0.312406,0.000000,2.499071,7.045608,0.266809,0.312406,4,6
"78",23.471649,259.664030,19.317947,64.723863,11.804488,0.000000,4.153702,-nan,0.000000,0.000000,0.693030,0.000000,5.995805,18.203752,49.889147,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,8.448671,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.213395,30.819644,19.578615,7.367905,26.984719,28.272141,1.838429,19.317947,15.778250,11.618741,37.326872,8,21
"92",25.200325,243.000000,22.490021,47.356893,27.442782,0.000000,2.710305,-nan,0.000000,-nan,0.000000,0.000000,2.011436,37.289722,48.346247,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.507028,46.932012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,22.490021,17.759436,15.261988,12.868461,1.467008,22.490021,14.626893,8.758852,23.971148,5,21
"99",12.816674,276.600000,3.764118,6.138991,79.887430,1.156905,9.052556,-nan,0.000000,-nan,0.000000,0.000000,1.548836,9.203217,36.374584,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.802986,51.867119,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.764118,5.259429,0.464440,0.415123,0.000000,3.764118,5.214620,0.445553,0.478818,7,10
"114",21.759131,245.400010,20.142179,44.584978,30.366751,3.289140,1.616952,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.533408,74.901802,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.747053,20.192106,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.142179,11.603818,16.532379,16.135822,0.312958,20.142179,10.670635,15.695594,18.218748,6,23
"147",52.143954,116.600000,49.165926,27.458431,20.397616,0.000000,2.978027,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.675043,97.021973,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.165926,10.473619,16.060043,0.924768,0.000000,49.165926,10.473619,15.822067,1.162744,4,10
