Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"12",218.800000,92,124,0.816747,0.869043,0.928494,0.816747
"25",251.400010,204,96,0.575864,0.711771,0.575864,0.931645
"37",164.600000,81,91,0.819949,0.828360,0.819949,0.836946
"43",204.800000,134,120,0.780733,0.828673,0.780733,0.882887
"74",180.800000,111,24,0.377774,0.539112,0.377774,0.940987
"78",268.000000,100,174,0.626024,0.713815,0.830245,0.626024
"92",243.000000,31,148,0.364725,0.524965,0.936341,0.364725
"99",276.600000,96,49,0.412971,0.565187,0.412971,0.895117
"114",245.400010,137,151,0.684119,0.719983,0.759815,0.684119
"147",116.600000,43,72,0.697904,0.783796,0.893798,0.697904
"159",154.000000,37,77,0.522046,0.663705,0.910874,0.522046
"170",283.000000,67,97,0.830174,0.894762,0.970247,0.830174
"209",256.000000,118,152,0.826269,0.871282,0.921482,0.826269
"236",533.600040,136,181,0.713853,0.758438,0.808964,0.713853
"322",133.000000,71,64,0.890166,0.897120,0.904183,0.890166
"329",251.400010,27,67,0.746877,0.847981,0.980743,0.746877
"332",266.797000,107,118,0.918881,0.933209,0.947990,0.918881
"377",156.000000,31,47,0.842986,0.898262,0.961296,0.842986
"382",265.400000,53,83,0.857970,0.902846,0.952675,0.857970
"414",229.600000,98,99,0.907728,0.917403,0.907728,0.927286
"430",286.000000,365,224,0.646965,0.745012,0.646965,0.878085
"444",165.400010,43,60,0.694879,0.739665,0.790622,0.694879
"481",239.000000,114,136,0.826096,0.833558,0.841157,0.826096
"503",271.800020,191,207,0.802424,0.827850,0.854940,0.802424
"517",220.200000,142,116,0.685545,0.769229,0.685545,0.876183
"591",222.200000,59,88,0.801043,0.864328,0.938470,0.801043
"709",317.000000,144,217,0.785834,0.845332,0.914577,0.785834
"723",186.000000,79,83,0.886999,0.889185,0.891381,0.886999
"736",570.000000,306,311,0.736863,0.752766,0.769370,0.736863
"765",137.800000,60,75,0.865794,0.907492,0.953408,0.865794
"769",275.000000,107,127,0.898485,0.913639,0.929314,0.898485
"770",213.000000,137,105,0.740235,0.783450,0.740235,0.832025
"783",189.600000,97,109,0.821526,0.843682,0.867067,0.821526
"812",222.400010,234,224,0.819319,0.833869,0.819319,0.848946
"849",174.200000,118,123,0.845351,0.868055,0.892013,0.845351
"886",238.000000,163,161,0.884263,0.888046,0.884263,0.891862
"905",174.000000,66,67,0.899157,0.906341,0.899157,0.913641
"958",290.000000,69,108,0.775612,0.810152,0.847912,0.775612
"969",179.200000,128,81,0.730575,0.811793,0.730575,0.913328
"978",674.000000,278,288,0.709678,0.767263,0.709678,0.835019
"987",161.000000,121,88,0.718424,0.800941,0.718424,0.904872
"995",228.600000,73,76,0.937920,0.947180,0.956624,0.937920
"1012",291.600000,241,174,0.674466,0.764967,0.674466,0.883520
"1114",187.800000,68,77,0.862079,0.874444,0.862079,0.887169
"1212",191.200000,190,58,0.289787,0.444752,0.289787,0.955951
"1218",186.000000,80,106,0.755303,0.826871,0.913423,0.755303
"1225",129.400010,63,54,0.816246,0.854010,0.816246,0.895439
"1235",219.200000,81,93,0.844131,0.846852,0.849589,0.844131
"1239",158.400010,53,82,0.789739,0.856193,0.934858,0.789739
"1282",239.800000,223,190,0.831110,0.846947,0.831110,0.863400
