MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",86.594654,175.804082,82.796728,12.334017,1.041599,0.029730,3.797926,89.248194,92.771320,0.000000,3.401023,82.796728,5.495802,6.339122,0.499092,82.796728,2.246289,6.384702,3.703026,4,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",59.839420,110.184490,55.812525,34.682970,5.477609,0.000000,4.026895,58.890127,75.368789,55.462891,20.604316,55.812525,0.306016,33.449162,0.927792,55.812525,0.000000,33.279175,1.403796,4,9
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",38.821398,177.580408,36.704952,12.525704,48.652898,0.000000,2.116446,45.820535,69.493225,17.128313,28.390328,36.704952,2.516225,8.706941,1.302538,36.704952,1.505115,8.382648,2.637941,7,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",38.620179,146.494694,34.329793,7.959793,52.808401,0.611626,4.290386,36.297768,94.578247,0.000000,0.519740,34.329793,1.398003,6.519556,0.042234,34.329793,1.398003,6.561791,-0.000000,3,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",69.129993,147.513469,65.677063,16.842859,14.027148,0.000000,3.452930,68.025952,96.547070,-nan,0.000000,65.677063,3.743327,12.622915,0.476617,65.677063,3.743327,11.463012,1.636520,3,7
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",62.568636,140.576508,59.530844,29.154769,8.024295,0.252301,3.037791,68.008314,60.457631,50.795786,36.252276,59.530844,6.469092,13.167904,9.517772,59.530844,4.029964,16.742656,8.382149,9,11
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",76.898119,123.376327,73.313652,18.606737,4.495144,0.000000,3.584467,80.448993,88.106312,29.280858,8.309221,73.313652,2.229270,13.567493,2.809974,73.313652,1.881225,15.028748,1.696765,7,10
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",30.362118,142.759184,27.164180,10.403981,59.233900,0.000000,3.197939,28.061571,96.802061,-nan,0.000000,27.164180,0.038164,10.054781,0.311036,27.164180,0.000000,9.866013,0.537969,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.537187,125.753469,85.991458,6.125285,4.337527,0.000000,3.545730,88.620598,85.200057,93.179837,11.254214,85.991458,0.000000,2.583957,3.541329,85.991458,0.000000,5.135575,0.989710,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",88.575540,158.066939,85.587604,9.041987,1.376632,1.005841,2.987936,92.069498,62.214002,83.769234,33.792221,85.587604,5.231061,2.926315,0.884611,85.587604,3.837382,3.577049,1.627555,5,8
