MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",85.436198,175.804082,81.638272,13.492473,1.041599,0.029730,3.797926,-nan,0.000000,-nan,0.000000,0.000000,2.535909,90.472544,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,82.796728,5.495802,6.339122,0.499092,81.638272,3.404745,5.007249,5.080479,5,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",59.839420,110.184490,55.812525,34.682970,5.477609,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.890127,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.462891,20.604316,55.812525,0.306016,33.449162,0.927792,55.812525,0.000000,33.279175,1.403796,4,9
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",38.519488,177.580408,36.403042,12.827614,48.652898,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,46.181457,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.128313,28.390328,36.704952,2.516225,8.706941,1.302538,36.403042,1.807025,8.123868,2.896721,8,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",38.620179,146.494694,34.329793,7.959793,52.808401,0.611626,4.290386,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.297768,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,34.329793,1.398003,6.519556,0.042234,34.329793,1.398003,6.561791,0.000000,3,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",69.129993,147.513469,65.677063,16.842859,14.027148,0.000000,3.452930,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.025952,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.677063,3.743327,12.622915,0.476617,65.677063,3.743327,11.463012,1.636520,3,7
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",62.568636,140.576508,59.530844,29.154769,8.024295,0.252301,3.037791,-nan,0.000000,0.000000,2.560239,-nan,0.000000,71.015660,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.795786,36.252276,59.530844,6.469092,13.167904,9.517772,59.530844,4.029964,15.434669,9.690137,10,11
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",74.880098,123.376327,71.295631,20.624758,4.495144,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.448993,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,9.999998,4.149906,73.313652,2.229270,13.567493,2.809974,71.295631,3.899246,15.028748,1.696765,7,10
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",30.362118,142.759184,27.164180,10.403981,59.233900,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.061571,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.164180,0.038164,10.054781,0.311036,27.164180,0.000000,9.866013,0.537969,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.537187,125.753469,85.991458,6.125285,4.337527,0.000000,3.545730,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.620598,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.179837,11.254214,85.991458,0.000000,2.583957,3.541329,85.991458,0.000000,5.135575,0.989710,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",88.575540,158.066939,85.587604,9.041987,1.376632,1.005841,2.987936,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.069498,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.769234,33.792221,85.587604,5.231061,2.926315,0.884611,85.587604,3.837382,3.577049,1.627555,5,8
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",35.044723,119.353469,31.201577,38.400087,26.555190,0.000000,3.843147,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.518802,45.786020,-nan,0.000000,-nan,0.000000,-nan,0.000000,22.386069,50.370833,31.201577,6.121355,19.855942,12.422790,31.201577,4.570120,25.950100,7.879866,13,18
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",21.541363,125.152653,17.319043,10.806609,67.652028,0.000000,4.222320,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.169783,39.992892,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.736919,55.784789,17.319043,5.117471,4.706400,0.982737,17.319043,3.737683,4.399921,2.669005,6,10
