MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",88.840943,175.804082,85.043017,10.087728,1.041599,0.029730,3.797926,88.427726,96.172344,95.130745,85.043017,0.000000,10.087728,0.000000,3,6
"Beatles/01_-_Please_Please_Me/02_-_Misery",59.839420,110.184490,55.812525,34.682970,5.477609,0.000000,4.026895,58.154339,95.973105,90.495495,55.812525,0.000000,34.682970,-0.000000,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",40.326513,177.580408,38.210067,11.020589,48.652898,0.000000,2.116446,39.036248,97.883554,49.230656,38.210067,0.000000,11.020589,0.000000,5,6
"Beatles/01_-_Please_Please_Me/04_-_Chains",40.018182,146.494694,35.727796,6.561791,52.808401,0.611626,4.290386,37.569455,95.097988,42.289586,35.727796,0.000000,6.561791,0.000000,3,5
"Beatles/01_-_Please_Please_Me/05_-_Boys",72.873320,147.513469,69.420390,13.099532,14.027148,0.000000,3.452930,71.903156,96.547070,82.519922,69.420390,0.000000,13.099532,0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",67.777087,147.774694,64.887268,24.349475,7.633427,0.240011,2.889819,66.983746,96.870170,89.236743,64.887268,0.000000,24.349475,-0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",78.779344,123.376327,75.194877,16.725513,4.495144,0.000000,3.584467,77.990418,96.415533,91.920389,75.194877,0.000000,16.725513,0.000000,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",30.362118,142.759184,27.164180,10.403981,59.233900,0.000000,3.197939,28.061571,96.802061,37.568161,27.164180,0.000000,10.403981,0.000000,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.537187,125.753469,85.991458,6.125285,4.337527,0.000000,3.545730,89.152567,96.454270,92.116743,85.991458,0.000000,6.125285,0.000000,8,6
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",92.412923,158.066939,89.424987,5.204604,1.376632,1.005841,2.987936,93.144990,96.006223,94.629591,89.424987,0.000000,5.204604,0.000000,5,6
