MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",85.368741,175.804082,81.570815,13.559930,1.041599,0.029730,3.797926,91.522664,89.126356,-nan,0.000000,0.000000,3.644964,0.000000,3.401023,-nan,0.000000,81.570815,6.721715,4.961670,1.876545,0.000000,81.570815,3.472202,5.007249,5.080479,5,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",59.839420,110.184490,55.812525,34.682970,5.477609,0.000000,4.026895,58.890127,75.368789,-nan,0.000000,-nan,0.000000,55.462891,20.604316,-nan,0.000000,55.812525,0.306016,33.449162,0.927792,0.000000,55.812525,0.000000,33.279175,1.403796,4,9
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",36.658997,177.580408,34.542551,14.688105,48.652898,0.000000,2.116446,45.868793,64.705795,-nan,0.000000,0.000000,4.787431,17.128313,28.390328,-nan,0.000000,34.542551,4.678626,8.581808,1.427671,0.000000,34.542551,3.667516,8.211752,2.808837,7,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",35.458162,146.494694,31.167776,11.121810,52.808401,0.611626,4.290386,43.403605,71.809188,-nan,0.000000,0.000000,22.769059,0.000000,0.519740,-nan,0.000000,31.167776,3.861018,6.776299,0.442258,0.042234,31.167776,4.560020,6.077298,0.484493,5,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",67.568102,147.513469,64.115172,18.404751,14.027148,0.000000,3.452930,66.408201,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.115172,3.271191,13.827502,1.306057,0.000000,64.115172,5.305219,11.029153,2.070379,3,11
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",53.474738,138.919232,50.400707,38.149928,8.120023,0.255311,3.074032,71.686522,47.810678,0.000000,7.906845,0.000000,4.268376,51.760613,12.354255,40.000227,24.330503,50.400707,11.316445,12.599304,13.865619,0.368559,50.400707,12.827659,11.522387,13.799882,13,20
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",76.171886,123.376327,72.587419,19.332971,4.495144,0.000000,3.584467,79.624724,88.106312,-nan,0.000000,-nan,0.000000,29.280858,8.309221,-nan,0.000000,72.587419,2.111755,14.217514,3.003702,0.000000,72.587419,2.607458,14.835020,1.890492,7,12
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",30.362118,142.759184,27.164180,10.403981,59.233900,0.000000,3.197939,28.061571,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.164180,0.038164,10.054781,0.311036,0.000000,27.164180,0.000000,9.866013,0.537969,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.537187,125.753469,85.991458,6.125285,4.337527,0.000000,3.545730,90.885738,83.076620,-nan,0.000000,0.000000,2.123436,93.179837,11.254214,-nan,0.000000,85.991458,0.000000,2.583957,3.514007,0.027322,85.991458,0.000000,4.963102,1.162183,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",88.575540,158.066939,85.587604,9.041987,1.376632,1.005841,2.987936,92.069498,62.214002,-nan,0.000000,-nan,0.000000,83.769234,33.792221,-nan,0.000000,85.587604,5.231061,2.926315,0.884611,0.000000,85.587604,3.837382,3.577049,1.627555,5,8
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",35.893150,116.532244,31.956961,37.745647,26.361204,0.000000,3.936189,45.129574,45.220725,-nan,0.000000,0.000000,1.673766,23.488306,49.169320,-nan,0.000000,31.956961,5.594614,19.119235,12.605338,0.426461,31.956961,4.005824,25.360931,8.378891,13,18
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",22.851429,117.977687,18.372323,11.463827,65.684744,0.000000,4.479105,17.169783,42.425111,-nan,0.000000,-nan,0.000000,23.609146,46.964950,0.000000,6.130833,18.372323,5.104808,5.316515,1.042504,0.000000,18.372323,3.964995,4.667508,2.831324,7,10
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",72.959571,112.875102,67.873452,25.227682,1.812747,0.000000,5.086119,91.044535,68.861146,0.000000,5.799865,-nan,0.000000,25.572382,20.252870,-nan,0.000000,67.873452,16.989293,6.279424,1.958965,0.000000,67.873452,16.276791,4.997243,3.953648,9,10
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",81.775318,153.155918,80.437784,12.743560,5.309234,0.171888,1.337534,85.234967,94.371814,-nan,0.000000,0.000000,4.118765,-nan,0.000000,-nan,0.000000,80.437784,2.367393,7.379031,2.997137,0.000000,80.437784,2.033093,9.874527,0.835940,4,6
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",64.026239,125.498415,60.235813,32.320168,3.653594,0.000000,3.790426,78.726214,65.681959,72.658873,2.667084,0.000000,5.014094,32.949876,19.997100,0.000000,2.849336,60.235813,17.466973,13.549403,1.117487,0.186304,60.235813,16.601975,10.940278,4.777915,9,13
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",75.061503,121.392510,71.376206,20.813399,3.901394,0.223703,3.685297,85.135127,47.438695,-nan,0.000000,-nan,0.000000,63.695262,48.652304,-nan,0.000000,71.376206,5.949603,13.424451,1.439345,0.000000,71.376206,4.410456,11.850216,4.552727,5,10
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",83.906741,123.367620,80.528273,14.466080,1.627178,0.000000,3.378468,88.519439,63.676814,-nan,0.000000,0.000000,2.465649,79.273797,30.479068,-nan,0.000000,80.528273,9.667285,3.739259,1.059536,0.000000,80.528273,7.187324,3.764228,3.514528,7,10
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",75.078932,149.394286,71.230789,24.215968,0.705100,0.000000,3.848144,74.339601,50.735422,-nan,0.000000,-nan,0.000000,73.793284,45.416434,-nan,0.000000,71.230789,13.397320,7.360059,3.458588,0.000000,71.230789,12.069398,7.100028,5.046542,8,11
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",68.742779,108.016327,64.949716,26.769751,4.487470,0.000000,3.793063,71.921492,90.306409,-nan,0.000000,0.000000,5.900528,-nan,0.000000,-nan,0.000000,64.949716,13.356507,10.505919,2.907325,0.000000,64.949716,13.356507,12.239061,1.174184,7,9
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",36.727935,123.016417,32.455408,33.032658,30.239407,0.000000,4.272527,89.036494,34.038206,0.000000,3.467810,0.000000,26.312436,2.332305,30.342355,91.998317,1.566667,32.455408,25.438681,3.286199,3.360619,0.947159,32.455408,24.875882,1.075033,7.081743,15,15
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",79.238680,156.734694,75.761649,14.096974,6.444636,0.219710,3.477030,90.792447,68.950351,-nan,0.000000,-nan,0.000000,48.111662,27.352909,-nan,0.000000,75.761649,8.033085,4.631286,1.432603,0.000000,75.761649,6.977906,4.185556,2.933512,4,9
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",51.382661,167.627755,48.612661,38.590081,10.027258,0.000000,2.770000,49.997595,97.230000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.612661,5.171279,32.478527,0.940276,0.000000,48.612661,5.323998,28.128807,5.137276,3,9
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",59.753080,152.581224,57.279893,32.175878,7.932565,0.138477,2.473187,68.418992,81.112583,-nan,0.000000,0.000000,4.633910,15.319581,11.641843,-nan,0.000000,57.279893,19.745614,11.909781,0.520483,0.000000,57.279893,20.848545,9.252624,2.074709,8,14
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",75.248874,182.143129,72.174300,23.072079,1.562102,0.116944,3.074574,87.882296,63.784149,-nan,0.000000,0.000000,4.315187,56.147005,28.709145,-nan,0.000000,72.174300,13.234588,7.252192,2.585299,0.000000,72.174300,13.080717,6.182258,3.809103,6,12
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",76.679583,118.987755,71.564818,20.733755,2.586662,0.000000,5.114765,75.422501,94.885235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.564818,5.786395,8.743353,6.204007,0.000000,71.564818,10.519656,9.115753,1.098347,5,10
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",71.859338,144.771973,68.457601,25.158836,2.981826,0.000000,3.401738,81.846409,71.301309,-nan,0.000000,-nan,0.000000,39.925912,25.296953,-nan,0.000000,68.457601,10.184915,12.209776,2.711908,0.052237,68.457601,12.595064,8.051708,4.512063,6,11
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",51.766322,126.481996,48.635848,29.745445,14.477347,4.010886,3.130474,68.585698,37.999523,-nan,0.000000,0.000000,4.552861,44.872371,50.306255,-nan,0.000000,48.635848,19.726449,6.557998,3.061291,0.399706,48.635848,19.322433,6.670994,3.752018,6,13
"Beatles/02_-_With_the_Beatles/14_-_Money",22.561943,167.444898,21.969246,76.817650,0.107771,0.512636,0.592697,35.775428,52.539565,-nan,0.000000,0.000000,41.399536,64.028837,4.955567,-nan,0.000000,21.969246,44.666582,24.206963,7.435145,0.508960,21.969246,54.723630,5.544314,16.549706,7,13
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",63.586379,148.511640,60.310331,11.186401,25.227220,0.000000,3.276049,61.908245,82.675806,-nan,0.000000,0.000000,2.368719,78.147588,11.679426,-nan,0.000000,60.310331,5.876275,4.392044,0.918082,0.000000,60.310331,4.353598,5.202636,1.630166,7,8
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",81.056832,164.101224,78.430489,18.446302,0.496866,0.000000,2.626343,80.606051,79.472355,-nan,0.000000,0.000000,3.391582,99.043692,14.509720,-nan,0.000000,78.430489,3.302151,13.895661,1.248490,0.000000,78.430489,2.732228,13.770901,1.943173,7,5
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",69.600873,137.607256,65.437091,28.907772,1.491354,0.000000,4.163782,90.847465,40.514555,-nan,0.000000,0.000000,9.694157,85.705257,31.242355,12.890405,14.385150,65.437091,23.594798,2.883282,2.194817,0.234875,65.437091,23.582197,2.240541,3.085034,12,10
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",62.863180,108.312164,58.890656,30.871822,6.264997,0.000000,3.972524,70.992743,53.187669,-nan,0.000000,-nan,0.000000,49.326252,42.839807,-nan,0.000000,58.890656,18.523943,8.148194,3.407526,0.792159,58.890656,15.857464,9.077383,5.936976,7,16
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",62.714667,151.092245,59.715013,34.838869,2.033195,0.413269,2.999654,88.603085,39.663762,-nan,0.000000,-nan,0.000000,43.166313,56.923315,-nan,0.000000,59.715013,29.851018,3.302591,1.685259,0.000000,59.715013,28.192008,2.352606,4.294255,12,21
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",56.479881,129.509298,52.715436,42.297091,0.023543,1.199486,3.764445,94.223492,49.739017,-nan,0.000000,0.000000,2.521632,13.675136,42.775420,-nan,0.000000,52.715436,34.159886,6.222081,1.915123,0.000000,52.715436,20.751398,3.483699,18.061994,9,10
