MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",85.368741,175.804082,81.570815,13.559930,1.041599,0.029730,3.797926,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.522664,89.126356,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.535909,-nan,0.000000,0.000000,1.109055,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.570815,6.721715,4.961670,1.876545,0.000000,81.570815,3.472202,5.007249,5.080479,6,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",59.839420,110.184490,55.812525,34.682970,5.477609,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.890127,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.462891,20.604316,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.812525,0.306016,33.449162,0.927792,0.000000,55.812525,0.000000,33.279175,1.403796,4,9
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",36.357087,177.580408,34.240641,14.990015,48.652898,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,46.257831,63.508937,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.787431,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.128313,28.390328,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,34.542551,4.678626,8.581808,1.427671,0.000000,34.240641,3.969426,7.952971,3.067618,8,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",35.458162,146.494694,31.167776,11.121810,52.808401,0.611626,4.290386,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.403605,71.809188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,22.769059,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.167776,3.861018,6.776299,0.442258,0.042234,31.167776,4.560020,6.077298,0.484493,5,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",67.568102,147.513469,64.115172,18.404751,14.027148,0.000000,3.452930,-nan,0.000000,-nan,0.000000,-nan,0.000000,66.408201,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.115172,3.271191,13.827502,1.306057,0.000000,64.115172,5.305219,11.029153,2.070379,3,11
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",53.474738,138.919232,50.400707,38.149928,8.120023,0.255311,3.074032,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.686522,47.810678,-nan,0.000000,0.000000,2.590782,-nan,0.000000,-nan,0.000000,0.000000,5.316064,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.268376,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.760613,12.354255,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.000227,24.330503,50.400707,11.316445,12.599304,13.865619,0.368559,50.400707,12.827659,11.522387,13.799882,14,20
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",74.153865,123.376327,70.569398,21.350991,4.495144,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.624724,88.106312,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.159316,-nan,0.000000,9.999998,4.149906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.587419,2.111755,14.217514,3.003702,0.000000,70.569398,4.625479,14.835020,1.890492,7,12
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",30.362118,142.759184,27.164180,10.403981,59.233900,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.061571,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.164180,0.038164,10.054781,0.311036,0.000000,27.164180,0.000000,9.866013,0.537969,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",89.537187,125.753469,85.991458,6.125285,4.337527,0.000000,3.545730,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.885738,83.076620,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.123436,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.179837,11.254214,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.991458,0.000000,2.583957,3.514007,0.027322,85.991458,0.000000,4.963102,1.162183,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",88.575540,158.066939,85.587604,9.041987,1.376632,1.005841,2.987936,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.069498,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.769234,33.792221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.587604,5.231061,2.926315,0.884611,0.000000,85.587604,3.837382,3.577049,1.627555,5,8
