Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,64,0.923564,0.924506,0.925449,0.923564
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,99,0.578608,0.718658,0.948156,0.578608
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,87,0.744401,0.756494,0.768987,0.744401
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,61,0.709586,0.713887,0.709586,0.718241
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,68,0.771035,0.804885,0.841843,0.771035
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,93,0.812657,0.812992,0.813328,0.812657
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,72,0.839250,0.853112,0.839250,0.867441
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,58,0.599871,0.675652,0.599871,0.773350
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,61,0.891441,0.915809,0.891441,0.941548
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,63,0.890683,0.918652,0.948435,0.890683
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,97,0.731062,0.780946,0.731062,0.838136
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,46,0.569863,0.667814,0.569863,0.806428
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,65,0.914974,0.916126,0.917280,0.914974
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,105,0.836597,0.856819,0.836597,0.878043
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,76,0.812738,0.856419,0.905063,0.812738
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",124.551837,45,53,0.840544,0.871072,0.903903,0.840544
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",129.567347,71,71,0.886040,0.890613,0.886040,0.895234
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",149.394286,77,96,0.841824,0.877397,0.916110,0.841824
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",108.016327,63,58,0.792705,0.819962,0.792705,0.849160
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",136.751020,91,78,0.736834,0.799019,0.736834,0.872667
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",156.734694,41,63,0.842846,0.892200,0.947693,0.842846
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",167.627755,65,93,0.710639,0.761250,0.819623,0.710639
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",152.581224,85,90,0.793195,0.811380,0.793195,0.830418
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",182.909388,55,89,0.782735,0.859949,0.954065,0.782735
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",118.987755,30,44,0.640308,0.753189,0.914388,0.640308
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",147.670204,70,80,0.808650,0.843010,0.880419,0.808650
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",128.339592,65,88,0.804060,0.845077,0.890505,0.804060
