MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",61.819485,229.663764,55.459406,13.645916,24.122025,0.412574,6.360080,40.400059,54.409019,86.243102,38.818328,55.459406,7.292299,4.106127,2.247489,55.459406,3.739528,4.093169,5.813219,9,16
"JayChou-02",61.452662,321.917800,60.206440,20.312556,16.874171,1.360611,1.246222,55.601478,58.878406,71.321164,38.514761,60.206440,5.966615,12.163851,2.182090,60.206440,3.400374,11.174629,5.737553,11,17
"JayChou-03",84.563468,195.357143,72.845361,12.579770,1.822970,1.033792,11.718107,83.848730,53.030347,82.939661,34.217753,72.845361,3.874852,5.506770,3.198147,72.845361,1.253812,6.965397,4.360561,8,12
"JayChou-04",63.589681,246.819320,59.018522,25.820976,8.115560,2.473783,4.571159,62.152848,61.991264,66.171433,30.963794,59.018522,9.113768,12.157780,4.549428,59.018522,6.563588,14.413226,4.844162,8,15
"JayChou-05",61.334163,286.002018,57.780456,25.055100,11.957363,1.653375,3.553707,59.729512,62.148904,63.286391,32.644014,57.780456,14.199069,9.595389,1.260642,57.780456,5.427540,9.527109,10.100450,17,20
"JayChou-06",82.715219,210.971882,81.069775,9.280825,6.652159,1.351796,1.645444,82.128191,66.111205,86.670413,30.891555,81.069775,3.655457,4.096979,1.528389,81.069775,0.915095,3.507248,4.858482,7,11
"JayChou-07",50.795102,222.881587,45.016503,18.482629,29.791816,0.930453,5.778599,41.420067,49.252636,55.896848,44.038312,45.016503,6.798463,4.239346,7.444820,45.016503,3.876687,10.244867,4.361074,9,11
"JayChou-08",31.368504,229.551383,29.397638,14.791699,53.839798,0.000000,1.970866,16.887818,53.560598,45.768139,44.468536,29.397638,8.451721,5.962973,0.377005,29.397638,4.516418,4.900332,5.374948,8,11
"JayChou-09",79.279322,306.033288,77.775302,15.698430,2.781726,2.240522,1.504020,82.781211,63.963608,76.878386,32.291850,77.775302,7.696800,7.085542,0.916088,77.775302,4.610398,6.759321,4.328711,15,16
"JayChou-10",47.267828,292.740385,43.792558,9.378257,43.317688,0.036227,3.475270,35.915811,55.941296,58.452332,40.547207,43.792558,5.174287,1.306478,2.897491,43.792558,1.194159,1.193253,6.990844,9,11
"JayChou-11",75.306742,226.495692,73.829147,17.299698,7.393560,0.000000,1.477595,73.697113,70.173690,78.004111,28.348714,73.829147,6.843141,5.688008,4.768549,73.829147,5.303404,8.992347,3.003947,16,20
"JayChou-12",71.255354,289.258073,64.149898,13.656410,15.088236,0.000000,7.105457,61.856341,67.219411,87.907744,25.675132,64.149898,3.056231,8.940494,1.659684,64.149898,1.838200,8.469279,3.348931,6,8
"JayChou-13",46.680875,217.481610,44.304640,22.068632,30.945489,0.305005,2.376234,54.064750,55.242391,34.313747,42.076370,44.304640,17.954795,3.783150,0.330687,44.304640,7.049235,1.832190,13.187207,9,13
"JayChou-14",71.804232,236.171678,70.628037,18.896917,8.997241,0.301610,1.176196,63.628202,70.233883,91.696813,28.288311,70.628037,1.946436,14.553082,2.397399,70.628037,0.548402,14.793188,3.555327,5,7
"JayChou-15",44.399050,256.435601,42.676683,16.796906,38.129978,0.674066,1.722367,40.877138,74.587644,52.951986,23.015923,42.676683,4.255696,11.155038,1.386172,42.676683,2.665662,10.652327,3.478918,13,17
"JayChou-16",52.114757,248.726689,51.318229,2.087000,45.798243,0.000000,0.796529,32.680147,53.879428,74.376313,45.324044,51.318229,0.451429,1.257954,0.377617,51.318229,0.000000,1.197258,0.889742,7,7
"JayChou-17",26.017925,292.381973,25.209692,5.432458,68.549617,0.000000,0.808234,17.531789,64.034304,39.773441,35.157462,25.209692,3.423464,1.423953,0.585041,25.209692,2.371154,1.505582,1.555723,10,12
"JayChou-18",85.886053,248.416961,84.295302,12.888542,0.688707,0.536697,1.590751,87.164161,65.274380,84.052066,32.598172,84.295302,1.701714,7.813577,3.373251,84.295302,1.242792,8.155687,3.490063,9,13
"JayChou-19",70.817775,225.834490,68.956972,18.590933,10.591291,0.000000,1.860803,65.273728,62.902848,79.173748,35.236348,68.956972,3.691635,5.809155,9.090144,68.956972,2.291717,12.217030,4.082186,9,13
"JayChou-20",79.554540,230.537664,77.049964,18.834303,0.871546,0.739610,2.504576,79.647455,68.445606,79.599488,28.310208,77.049964,3.399414,8.935061,6.499829,77.049964,1.814599,13.711963,3.307742,9,11
"JayChou-21",42.922489,227.925782,42.420820,4.668113,51.916681,0.492717,0.501669,39.053033,70.053555,52.026635,28.952059,42.420820,3.062450,0.973924,0.631739,42.420820,1.744308,1.101598,1.822207,8,11
"JayChou-22",70.058078,222.908798,67.350771,18.454609,10.425144,1.062169,2.707307,62.096295,45.006977,76.923814,51.223546,67.350771,4.605286,12.940991,0.908332,67.350771,0.689071,12.055919,5.709619,14,17
"JayChou-23",48.731300,252.586349,43.906759,5.146241,45.689005,0.433453,4.824541,22.766716,46.252636,68.832722,48.489370,43.906759,2.339413,1.489332,1.317496,43.906759,1.933072,1.736278,1.476891,15,13
"JayChou-24",64.707593,278.120023,62.956811,13.162147,22.130260,0.000000,1.750782,51.814876,52.897968,78.383273,45.351250,62.956811,5.516827,4.485111,3.160209,62.956811,3.798471,6.864651,2.499025,16,17
"JayChou-25",63.876610,255.530317,61.158191,22.982192,12.792420,0.348778,2.718419,39.391651,43.258629,82.195774,53.674174,61.158191,15.560811,5.805982,1.615398,61.158191,6.634588,5.283035,11.064569,8,12
"JayChou-26",75.917692,251.105986,73.656582,21.645166,0.407655,2.029487,2.261110,75.918114,55.079921,78.369063,40.629482,73.656582,8.086669,9.943586,3.614912,73.656582,3.419452,9.399605,8.826109,8,14
"JayChou-27",71.907481,292.466961,70.308889,23.137241,4.955279,0.000000,1.598591,64.525479,59.390750,81.994831,39.010659,70.308889,9.765189,11.521514,1.850538,70.308889,4.738573,11.111428,7.287239,10,15
"JayChou-28",63.200879,243.380816,61.938176,21.750528,14.622352,0.426241,1.262704,62.795487,65.821738,63.421138,32.489318,61.938176,6.862116,10.033414,4.854997,61.938176,3.022286,9.122628,9.605614,9,13
"JayChou-29",58.979644,213.463333,55.473392,30.367575,8.672113,1.980668,3.506252,51.272996,60.223643,71.727412,34.289437,55.473392,16.982719,11.493740,1.891116,55.473392,6.703037,8.730896,14.933642,10,15
