MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",56.948715,229.663764,50.588635,18.516686,24.122025,0.412574,6.360080,-nan,0.000000,0.000000,4.720822,0.000000,12.127262,45.553993,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.243102,38.818328,55.459406,7.292299,4.106127,2.247489,50.588635,8.610298,2.066521,7.839867,13,16
"JayChou-02",58.145062,321.917800,56.898841,23.620155,16.874171,1.360611,1.246222,-nan,0.000000,0.000000,7.257095,0.000000,7.827923,67.872603,43.793387,-nan,0.000000,0.000000,6.179378,-nan,0.000000,84.041462,32.335384,60.206440,5.966615,12.163851,2.182090,56.898841,6.707973,2.575628,14.336554,18,17
"JayChou-03",77.498473,195.357143,65.780366,19.644765,1.822970,1.033792,11.718107,-nan,0.000000,0.000000,1.752451,0.000000,8.017341,86.453530,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,84.055094,33.763675,72.845361,3.874852,5.506770,3.198147,65.780366,8.318807,4.518455,6.807503,12,12
"JayChou-04",57.815127,246.819320,53.243968,31.595530,8.115560,2.473783,4.571159,-nan,0.000000,0.000000,8.514403,0.000000,11.990465,78.953066,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,67.766279,30.235076,59.018522,9.113768,12.157780,4.549428,53.243968,12.338143,3.860817,15.396570,16,15
"JayChou-05",51.971343,286.002018,48.417636,34.417920,11.957363,1.653375,3.553707,-nan,0.000000,0.000000,8.518968,0.000000,17.317901,76.444124,36.312035,-nan,0.000000,-nan,0.000000,0.000000,5.130936,75.088721,27.513078,57.780456,14.199069,9.595389,1.260642,48.417636,14.790361,0.653734,18.973825,28,20
"JayChou-06",61.844211,210.971882,60.198767,30.151834,6.652159,1.351796,1.645444,-nan,0.000000,0.000000,8.079378,0.000000,18.528439,84.612814,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.670413,30.891555,81.069775,3.655457,4.096979,1.528389,60.198767,21.786104,2.363632,6.002098,12,11
"JayChou-07",46.119892,222.881587,40.341293,23.157838,29.791816,0.930453,5.778599,-nan,0.000000,0.000000,5.422207,0.000000,10.171066,47.401325,33.659363,-nan,0.000000,0.000000,5.484726,-nan,0.000000,63.253026,38.553586,45.016503,6.798463,4.239346,7.444820,40.341293,8.551897,6.431179,8.174763,12,11
"JayChou-08",31.368504,229.551383,29.397638,14.791699,53.839798,0.000000,1.970866,-nan,0.000000,0.000000,11.295926,0.000000,4.095833,23.697908,38.168839,-nan,0.000000,0.000000,0.369300,0.000000,10.321414,60.253799,33.777823,29.397638,8.451721,5.962973,0.377005,29.397638,4.516418,2.351840,7.923441,12,11
"JayChou-09",76.122090,306.033288,74.618069,18.855662,2.781726,2.240522,1.504020,-nan,0.000000,0.000000,1.557305,0.000000,6.405206,88.913647,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,83.724598,29.651325,77.775302,7.696800,7.085542,0.916088,74.618069,7.767630,2.640030,8.448003,22,16
"JayChou-10",44.830964,292.740385,41.355693,11.815122,43.317688,0.036227,3.475270,-nan,0.000000,0.000000,3.373006,0.000000,13.556059,45.254795,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.452332,40.547207,43.792558,5.174287,1.306478,2.897491,41.355693,3.631024,0.492777,7.691320,12,11
