MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",34.057135,221.561293,27.464468,40.511038,25.004165,0.427662,6.592667,26.157540,42.588892,3.514858,8.909488,0.000000,4.900371,0.000000,19.475137,93.600538,17.105784,27.464468,29.162817,6.910173,4.180677,0.257372,27.464468,31.288384,0.467108,8.755547,14,21
"JayChou-02",41.737540,317.632608,40.474505,39.781671,17.101821,1.378967,1.263035,49.218541,36.344754,37.010313,17.217927,0.000000,6.110055,1.527126,19.308450,86.624789,18.376812,40.474505,21.851471,12.158687,5.622339,0.149175,40.474505,22.641327,6.841286,10.299059,20,24
"JayChou-03",69.400479,195.357143,57.682373,27.742758,1.822970,1.033792,11.718107,87.161972,50.452094,-nan,0.000000,0.000000,2.578254,37.469359,23.033284,45.392488,11.184469,57.682373,17.930851,6.285248,3.513563,0.013098,57.682373,16.416800,4.374879,6.951079,12,15
"JayChou-04",51.574995,246.819320,47.003836,37.835662,8.115560,2.473783,4.571159,64.424811,58.050644,0.000000,1.430775,0.000000,2.509846,26.373984,18.154457,37.603549,12.809337,47.003836,17.110779,15.367618,5.273276,0.083989,47.003836,18.578275,12.651573,6.605814,13,19
"JayChou-05",47.230374,269.364354,43.457167,40.856095,10.158034,1.755498,3.773207,53.017719,52.685157,0.000000,4.236546,0.000000,8.381216,0.000000,12.692188,94.225069,16.476187,43.457167,21.900608,17.113916,1.735504,0.106066,43.457167,20.055934,6.922482,13.877679,25,24
"JayChou-06",73.121524,210.971882,71.476080,18.874521,6.652159,1.351796,1.645444,86.430408,53.326243,26.910200,5.362634,0.000000,7.422328,64.851555,4.022846,79.400975,26.868708,71.476080,12.334057,3.482821,2.873523,0.184119,71.476080,10.508791,1.750721,6.615009,12,13
"JayChou-07",30.459475,222.881587,24.680876,38.818255,29.791816,0.930453,5.778599,24.379200,35.146125,36.307108,4.536428,0.000000,9.570084,5.706978,23.567338,64.093210,20.470974,24.680876,21.772852,7.653503,4.715846,4.676054,24.680876,24.212314,5.955031,8.650911,17,16
"JayChou-08",21.914206,209.766803,19.757454,25.923840,52.161954,0.000000,2.156752,36.591052,18.714638,1.926106,13.607920,0.000000,16.858014,7.320907,36.648979,82.942251,12.013697,19.757454,15.611401,8.711451,1.465992,0.134995,19.757454,16.702631,0.997281,8.223928,11,16
"JayChou-09",44.489182,279.683492,42.843464,50.766725,2.292484,2.451608,1.645718,88.463358,36.253411,3.617557,16.446409,0.000000,11.849806,84.706163,12.015088,0.000000,19.337959,42.843464,38.267512,10.549283,1.751713,0.198217,42.843464,38.739505,3.347443,8.679777,24,17
"JayChou-10",39.943678,268.031134,36.148029,18.764269,41.252488,0.039566,3.795648,44.060120,24.137320,27.322492,18.935053,0.000000,8.807240,1.388045,5.500359,52.245247,38.784813,36.148029,13.853137,1.894908,2.954378,0.061845,36.148029,10.856049,0.449684,7.458536,12,16
"JayChou-11",53.963029,222.563356,52.459327,38.512779,7.524192,0.000000,1.503702,80.682557,52.049741,0.000000,3.526464,0.000000,14.070502,9.958620,17.028187,74.174714,11.821404,52.459327,25.359198,6.910465,5.970653,0.272463,52.459327,26.356783,3.580779,8.575218,25,25
"JayChou-12",61.233763,283.100930,53.973770,24.794322,13.971915,0.000000,7.259993,62.412320,63.608405,81.340673,1.474014,0.000000,1.424049,0.000000,10.826928,84.868215,15.406611,53.973770,11.440060,10.955398,2.008008,0.390856,53.973770,12.768447,8.061263,3.964613,10,10
"JayChou-13",38.404129,211.849955,35.964726,32.080892,29.201866,0.313113,2.439402,65.024686,36.753594,19.101153,6.642649,0.000000,10.656346,28.520441,13.250040,23.436496,29.944856,35.964726,21.617465,10.095831,0.269377,0.098219,35.964726,16.754300,1.767025,13.559567,13,17
"JayChou-14",52.998993,236.171678,51.822798,37.702156,8.997241,0.301610,1.176196,76.560308,45.949836,6.254177,21.664666,0.000000,2.619381,47.284404,8.591966,56.994611,19.696345,51.822798,20.139249,15.067013,2.222842,0.273052,51.822798,19.353641,6.522441,11.826074,9,10
"JayChou-15",31.331372,187.378481,28.974238,34.586351,33.159789,0.922488,2.357134,15.001230,52.287142,50.657702,10.810235,0.000000,2.124709,0.000000,9.802562,72.153862,21.695730,28.974238,17.595014,5.933433,10.348062,0.709842,28.974238,19.733168,1.815197,13.037986,15,22
"JayChou-16",42.062223,230.529252,41.202818,15.271346,42.666431,0.000000,0.859405,33.276743,43.926172,51.498458,3.168013,0.000000,11.038358,8.161493,14.150904,88.614084,26.857148,41.202818,13.402668,1.184503,0.504675,0.179500,41.202818,13.045293,0.944348,1.281706,11,12
"JayChou-17",11.757189,259.322132,10.845917,20.623203,67.619608,0.000000,0.911272,10.663558,49.944019,0.000000,2.017645,0.000000,11.503295,0.000000,17.162774,29.901465,18.460995,10.845917,16.566620,3.024557,0.855784,0.176242,10.845917,17.263845,0.889621,2.469738,16,14
