Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,113,0.863550,0.870504,0.863550,0.877571
"JayChou-02",334.300771,130,177,0.806389,0.849512,0.897509,0.806389
"JayChou-03",202.197460,77,83,0.898482,0.900162,0.901848,0.898482
"JayChou-04",265.362222,122,150,0.805556,0.832504,0.861318,0.805556
"JayChou-05",317.449184,144,154,0.829868,0.855107,0.829868,0.881929
"JayChou-06",231.501066,83,103,0.858660,0.870403,0.882473,0.858660
"JayChou-07",251.205465,103,112,0.745462,0.798114,0.745462,0.858769
"JayChou-08",232.944807,148,119,0.691838,0.774777,0.691838,0.880310
"JayChou-09",326.906803,133,150,0.868175,0.876893,0.885789,0.868175
"JayChou-10",297.602721,137,151,0.777145,0.813417,0.777145,0.853241
"JayChou-11",238.204785,114,124,0.851597,0.853164,0.851597,0.854737
"JayChou-12",301.863061,128,148,0.869318,0.879680,0.890292,0.869318
"JayChou-13",239.781542,87,110,0.834057,0.834966,0.835877,0.834057
"JayChou-14",260.263946,169,194,0.842621,0.847892,0.853229,0.842621
"JayChou-15",256.435601,106,137,0.800169,0.804211,0.808293,0.800169
"JayChou-16",261.531383,104,100,0.780674,0.829816,0.780674,0.885560
"JayChou-17",294.022517,143,90,0.500717,0.639111,0.500717,0.883226
"JayChou-18",263.845556,146,148,0.878546,0.886891,0.878546,0.895396
"JayChou-19",247.249410,130,155,0.835080,0.848266,0.861876,0.835080
"JayChou-20",243.906349,187,162,0.808994,0.860438,0.808994,0.918869
"JayChou-21",235.893197,115,99,0.684723,0.772692,0.684723,0.886597
"JayChou-22",255.506825,132,151,0.873135,0.882741,0.892560,0.873135
"JayChou-23",258.666077,124,111,0.764126,0.819020,0.764126,0.882411
"JayChou-24",282.777256,136,139,0.833551,0.855794,0.833551,0.879257
"JayChou-25",263.250590,122,139,0.857244,0.867372,0.877743,0.857244
"JayChou-26",258.221429,89,117,0.851936,0.886115,0.923151,0.851936
"JayChou-27",299.862993,104,148,0.829679,0.878997,0.934548,0.829679
"JayChou-28",258.075465,110,129,0.821795,0.829999,0.838369,0.821795
"JayChou-29",242.912585,123,147,0.821342,0.843752,0.867420,0.821342
