MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",76.757730,197.812000,74.714881,20.891048,1.811821,0.539401,2.042849,67.442893,64.887873,95.151364,32.529877,74.714881,11.059491,6.321153,3.510404,74.714881,10.074212,5.899035,4.917801,15,18
"N002-M01-T02",50.664270,209.704000,46.113570,21.104032,25.489261,2.742437,4.550700,63.455682,60.126655,24.431369,32.580208,46.113570,4.998951,11.918228,4.186854,46.113570,0.928928,12.172872,8.002232,6,11
"N003-M01-T03",69.591084,192.289000,65.380755,28.992298,1.264763,0.151855,4.210329,76.794346,54.226711,57.322081,41.411105,65.380755,4.861953,12.684553,11.445793,65.380755,2.669419,19.525818,6.797061,20,19
"N004-M01-T04",70.625642,192.634000,68.252230,25.820468,3.155725,0.398164,2.373413,70.888137,32.206153,69.855894,65.022270,68.252230,12.984728,7.162287,5.673453,68.252230,4.036151,5.985963,15.798353,12,14
"N005-M01-T05",69.580056,206.861000,67.287696,28.905400,1.076568,0.437975,2.292361,84.726925,47.974244,54.042737,49.295421,67.287696,15.539420,9.882965,3.483015,67.287696,13.271230,7.360015,8.274155,10,14
"N006-M01-T06",45.277940,206.573000,41.285163,47.062298,7.461285,0.198477,3.992777,42.574492,90.086797,51.226734,5.721948,41.285163,29.971487,9.007470,8.083341,41.285163,29.215338,8.716047,9.130913,7,12
"N007-M01-T07",65.696128,284.962000,63.145963,33.650803,0.599027,0.054042,2.550165,76.049376,37.838729,57.709101,59.557064,63.145963,25.838533,4.603772,3.208498,63.145963,20.895067,5.073659,7.682077,14,14
"N008-M01-T08",90.205368,178.996000,87.451116,9.390154,0.067599,0.336879,2.754251,90.666091,71.208295,89.061583,25.700574,87.451116,3.016269,4.079979,2.293906,87.451116,2.049766,3.939194,3.401193,8,10
"N009-M01-T09",87.188061,265.877000,81.113071,12.754770,0.057169,0.000000,6.074990,93.654439,47.008579,79.050024,46.916431,81.113071,7.210853,3.146944,2.396973,81.113071,5.368648,3.345156,4.040966,15,16
"N010-M01-T10",89.776605,211.867000,84.488854,7.082745,1.001572,2.139078,5.287751,92.471868,62.916830,88.711166,29.656341,84.488854,2.054591,2.191941,2.836213,84.488854,0.000000,2.803174,4.279572,8,7
