MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",85.280073,209.213000,83.348549,11.890752,2.319168,0.510007,1.931524,85.434458,97.558469,95.239302,83.348549,0.000000,11.890752,0.000000,12,12
"N002-M01-T02",51.493218,222.707000,47.208215,20.385978,25.538488,2.582317,4.285002,50.689205,93.132681,67.594193,47.208215,0.000000,20.385978,0.000000,6,7
"N003-M01-T03",72.538391,195.360000,68.394247,26.067260,1.244881,0.149468,4.144144,71.462572,95.706388,94.461507,68.394247,0.000000,26.067260,0.000000,12,12
"N004-M01-T04",74.221775,242.507000,72.336469,22.513165,2.948781,0.316280,1.885306,73.964869,97.798414,94.849633,72.336469,0.000000,22.513165,-0.000000,8,8
"N005-M01-T05",79.496026,228.107000,77.417177,18.926206,1.180586,0.397182,2.078849,79.382718,97.523969,96.343383,77.417177,0.000000,18.926206,0.000000,11,10
"N006-M01-T06",74.493278,206.573000,70.500501,17.846960,7.461285,0.198477,3.992777,73.584620,95.808746,88.347461,70.500501,0.000000,17.846960,-0.000000,7,8
"N007-M01-T07",84.044127,298.680000,81.611089,14.418776,1.485536,0.051560,2.433039,83.690461,97.515401,96.029865,81.611089,0.000000,14.418776,-0.000000,10,10
"N008-M01-T08",92.676924,192.187000,90.111714,6.946360,0.062960,0.313757,2.565210,92.782903,97.121033,97.058074,90.111714,0.000000,6.946360,0.000000,5,6
"N009-M01-T09",89.739027,277.040000,83.908822,10.206107,0.054866,0.000000,5.830205,89.103753,94.169795,94.114929,83.908822,0.000000,10.206107,-0.000000,10,9
"N010-M01-T10",89.726602,215.693000,84.532646,7.188458,0.983806,2.101134,5.193956,91.184649,92.704909,91.721104,84.532646,0.000000,7.188458,0.000000,6,6
"N011-M01-T11",45.786429,267.920000,43.317408,5.795760,48.417811,0.000000,2.469021,44.413999,97.530979,49.113168,43.317408,0.000000,5.795760,-0.000000,5,6
"N012-M01-T12",74.697731,204.867000,73.089370,20.357598,4.922218,0.022454,1.608361,74.301083,98.369186,93.446968,73.089370,0.000000,20.357598,0.000000,8,9
"N013-M01-T13",91.373070,219.093000,88.904255,8.474940,0.023734,0.128256,2.468815,91.274724,97.402929,97.379195,88.904255,0.000000,8.474940,-0.000000,8,8
"N014-M01-T14",89.581054,234.947000,86.299889,6.665759,2.195389,1.557798,3.281166,90.688261,95.161036,92.965648,86.299889,0.000000,6.665759,-0.000000,6,6
"N015-M01-T15",86.241275,162.893000,81.600805,10.218978,3.028982,0.510765,4.640470,86.032543,94.848766,91.819784,81.600805,0.000000,10.218978,0.000000,7,7
"N016-M01-T16",71.604100,262.147000,70.276219,13.637005,11.612569,3.146326,1.327881,73.567795,95.525793,83.913224,70.276219,0.000000,13.637005,0.000000,8,8
"N017-M02-T01",84.852966,241.440000,83.074056,13.671306,0.779076,0.696653,1.778910,85.182810,97.524437,96.745361,83.074056,0.000000,13.671306,0.000000,8,8
"N018-M02-T02",78.326453,254.107000,76.049459,21.258368,0.403373,0.011806,2.276994,77.830852,97.711200,97.307827,76.049459,0.000000,21.258368,0.000000,11,11
"N019-M02-T03",80.909909,289.040000,78.575284,15.864932,3.117908,0.107252,2.334625,80.542020,97.558123,94.440216,78.575284,0.000000,15.864932,-0.000000,9,9
"N020-M02-T04",24.199371,250.147000,22.287695,6.241930,69.484343,0.074356,1.911676,22.739305,98.013968,28.529625,22.287695,0.000000,6.241930,0.000000,7,6
"N021-M02-T05",83.436570,268.960000,81.806588,12.620464,1.332540,2.610425,1.629982,85.429132,95.759593,94.427052,81.806588,0.000000,12.620464,0.000000,6,7
