MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",58.192377,186.997000,56.031380,39.731119,1.505907,0.570597,2.160997,65.884240,56.682728,0.000000,4.333759,0.000000,2.334797,26.794097,20.619047,98.974545,13.298074,56.031380,22.112119,12.332818,5.010241,0.275940,56.031380,30.041124,4.305417,5.384578,19,25
"N002-M01-T02",36.827927,200.090000,32.058574,33.691339,26.606527,2.874207,4.769354,46.874577,22.131041,49.319580,33.236544,0.000000,2.843221,29.106740,6.428607,12.344254,27.717027,32.058574,15.100205,12.859713,4.004198,1.727223,32.058574,12.549353,10.064971,11.077015,13,18
"N003-M01-T03",61.946178,190.630000,57.699208,36.624875,1.275770,0.153176,4.246971,76.548191,44.336149,4.476144,6.398783,0.000000,3.093427,58.224472,40.316844,0.000000,1.454650,57.699208,12.724125,11.950900,11.008760,0.941090,57.699208,10.760111,16.998898,8.865866,31,22
"N004-M01-T04",61.611602,189.836000,59.203207,34.782128,3.202238,0.404033,2.408395,25.894569,9.892750,67.947539,19.479972,8.730615,1.834215,0.000000,5.318801,71.289012,60.661834,59.203207,17.464022,9.124191,7.645547,0.548368,59.203207,13.434754,3.481426,17.865947,19,22
"N005-M01-T05",67.511288,201.984000,65.163577,30.937599,1.102563,0.448550,2.347711,85.108535,46.505169,0.000000,1.747663,-nan,0.000000,53.463349,47.852800,0.000000,1.098107,65.163577,18.328679,9.162112,3.437896,0.008912,65.163577,16.435955,7.106503,7.395140,12,14
"N006-M01-T06",7.915394,203.578000,3.863875,84.689407,7.193803,0.201397,4.051518,69.796954,0.193538,-nan,0.000000,0.840695,89.747419,-nan,0.000000,51.226734,5.806128,3.863875,67.092711,6.336638,11.143640,0.116417,3.863875,66.730688,2.645669,15.313050,6,14
"N007-M01-T07",36.664052,269.021000,33.962776,62.644180,0.634523,0.057245,2.701276,59.174251,11.271982,35.263764,14.191457,0.000000,8.691887,3.936882,27.797086,60.057934,35.289067,33.962776,31.312425,25.935893,3.856205,1.539657,33.962776,49.310649,3.368139,9.965393,27,24
"N008-M01-T08",66.714899,178.996000,63.960647,32.880623,0.067599,0.336879,2.754251,88.380380,51.892780,-nan,0.000000,0.000000,19.315515,89.776349,20.158551,0.000000,5.542023,63.960647,25.889964,4.431384,2.559275,0.000000,63.960647,25.540236,3.807906,3.532481,14,10
"N009-M01-T09",79.750539,264.170000,73.636295,20.191922,0.057539,0.000000,6.114245,94.835984,42.824318,0.000000,2.554037,0.000000,1.287807,72.435685,43.466707,40.982449,3.752886,73.636295,14.567135,3.174850,2.426846,0.023091,73.636295,13.404247,2.587728,4.199947,18,19
"N010-M01-T10",73.173736,211.867000,67.885985,23.685614,1.001572,2.139078,5.287751,91.952404,55.612247,12.354614,7.304583,-nan,0.000000,24.007968,17.770582,97.430704,11.885759,67.885985,16.747299,3.997791,2.884829,0.055695,67.885985,16.602869,2.747478,4.335267,11,9
"N011-M01-T11",32.064843,243.912000,29.352799,23.414182,44.520975,0.000000,2.712044,7.400166,24.742530,49.038294,23.489619,7.512555,16.246433,0.000000,14.195694,79.416753,18.613680,29.352799,15.687625,3.876808,2.482453,1.367296,29.352799,17.190216,1.255781,4.968185,16,18
"N012-M01-T12",41.169581,187.845000,39.415476,55.581463,3.224467,0.024488,1.754106,63.275785,42.922622,-nan,0.000000,0.000000,14.364503,6.692789,30.297320,96.156349,10.636961,39.415476,35.287072,14.314461,5.784556,0.195374,39.415476,36.475818,4.331763,14.773883,14,24
"N013-M01-T13",59.094937,215.565000,56.585717,40.750586,0.024123,0.130355,2.509220,90.943606,55.838378,0.000000,7.556421,0.000000,8.038411,93.743912,6.191636,0.000000,19.735579,56.585717,28.479577,7.636212,4.276204,0.358593,56.585717,32.299306,4.011319,4.439960,14,13
"N014-M01-T14",78.187365,227.492000,74.798674,18.512739,1.691048,1.608848,3.388691,89.511719,56.508800,81.804842,5.991419,-nan,0.000000,27.516779,9.038560,71.720559,23.463682,74.798674,11.515570,4.184323,2.560969,0.251877,74.798674,11.841735,2.928455,3.742549,10,14
"N015-M01-T15",72.678672,161.987000,68.012248,23.761783,3.045923,0.513621,4.666424,84.997169,74.144221,0.000000,2.236599,0.000000,0.558687,83.894550,5.573287,2.568218,12.307160,68.012248,6.322112,11.951576,5.300425,0.187669,68.012248,13.565903,6.230747,3.965133,13,12
